...1,es_score,brier_score,location,target_date,X24A_50_CI,X24B_50_CI,X24C_50_CI,X24D_50_CI,X24E_50_CI,X24G_50_CI,other_50_CI,X24A_95_CI,X24B_95_CI,X24C_95_CI,X24D_95_CI,X24E_95_CI,X24G_95_CI,other_95_CI
136,1.61766996754329,0.34678426908578053,AZ,2024-06-25,1,1,1,1,1,1,1,0,0,0,1,0,1,1
137,2.92083651767099,0.437305180854761,AZ,2024-06-26,1,0,0,1,1,1,1,1,0,0,1,1,0,1
138,NA,NA,AZ,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,0.442642999656037,0.3101089163636365,AZ,2024-06-28,1,1,1,1,1,1,1,0,0,0,1,1,1,1
140,1.26720918827634,0.390530535932957,AZ,2024-06-29,0,1,1,1,1,1,1,0,0,1,1,1,0,1
141,4.14474577420941,0.425194803171892,AZ,2024-06-30,0,1,0,1,1,0,0,0,0,0,1,1,0,0
142,9.5350720816162,0.422601957202812,AZ,2024-07-01,0,1,0,1,0,1,0,0,0,0,0,0,0,0
143,2.38842356441967,0.3453294245326765,AZ,2024-07-02,0,1,1,1,0,1,1,0,1,0,1,1,0,1
144,NA,NA,AZ,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,0.713349935455685,0.213973079809508,AZ,2024-07-04,1,1,0,1,1,1,1,0,1,0,1,1,1,1
146,0.743062325408273,0.387986069295026,AZ,2024-07-05,1,1,1,1,1,1,1,0,0,0,1,0,1,1
147,2.08748255662049,0.433574672807009,AZ,2024-07-06,1,1,1,1,0,1,1,1,1,0,1,0,1,1
148,1.0852646027549,0.392214072087647,AZ,2024-07-07,1,1,1,1,1,1,1,0,1,0,1,1,0,1
149,12.0747112716787,0.421046571032324,AZ,2024-07-08,0,1,0,1,1,1,1,0,0,0,1,0,0,1
150,6.29663282983025,0.382242723753466,AZ,2024-07-09,0,0,0,1,0,1,1,0,0,0,1,0,0,1
151,4.57024240456995,0.4082858636646835,AZ,2024-07-10,0,0,0,1,1,1,1,0,0,0,0,0,0,1
152,0.806821946537184,0.3984938348455735,AZ,2024-07-11,1,1,1,1,1,1,1,1,0,0,1,1,0,1
153,0.832593353726268,0.407636232951714,AZ,2024-07-12,1,1,1,1,1,1,1,0,0,0,1,0,0,1
154,NA,NA,AZ,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,1.09843118543624,0.522807306530855,AZ,2024-07-14,1,1,1,1,1,0,1,1,0,1,1,0,1,1
156,2.62765922811555,0.428163614474472,AZ,2024-07-15,0,0,0,1,0,1,1,0,0,0,1,0,0,1
157,3.2558325762237,0.416720974323868,AZ,2024-07-16,1,0,0,1,1,1,1,0,0,0,1,0,1,1
158,5.13040331979671,0.427904966619801,AZ,2024-07-17,0,1,0,1,0,0,1,0,0,0,1,0,0,1
159,6.14763392259293,0.51281658372866,AZ,2024-07-18,0,0,0,1,1,1,1,0,0,0,1,1,1,1
160,1.23012342761442,0.478456765004512,AZ,2024-07-19,1,1,0,1,1,1,1,0,0,0,1,1,1,1
161,1.47728179286569,0.445553329136053,AZ,2024-07-20,1,0,1,1,1,1,1,0,0,0,1,1,0,1
162,4.93674811943599,0.55557876800849,AZ,2024-07-21,0,1,0,1,0,0,1,0,1,0,1,0,0,1
163,6.37517703993316,0.445344606968464,AZ,2024-07-22,0,1,0,1,0,1,1,0,0,0,0,0,0,1
164,2.84388403651916,0.431184494474917,AZ,2024-07-23,0,1,0,1,0,1,0,0,0,0,0,0,0,0
165,7.00642303309947,0.50750087974306,AZ,2024-07-24,0,0,0,1,0,1,1,0,0,0,1,0,0,1
166,1.36840044874474,0.434419685788345,AZ,2024-07-25,1,0,1,1,1,1,1,1,0,0,1,1,1,1
167,1.67399723775456,0.462834169461852,AZ,2024-07-26,0,1,1,1,1,1,1,0,0,0,1,0,1,1
168,2.83143678006131,0.591628878053615,AZ,2024-07-27,0,1,0,1,1,1,1,0,0,0,1,0,0,1
169,3.68980961317016,0.3478167318515215,CA,2024-06-16,0,0,1,1,1,0,1,0,0,0,0,0,0,1
170,3.43446015046719,0.3843898231894115,CA,2024-06-17,0,0,1,1,1,1,1,0,0,1,0,1,0,0
171,4.46749438284311,0.365472805987303,CA,2024-06-18,0,1,1,0,0,0,0,0,0,0,0,0,0,0
172,8.87437819135669,0.3920123997831885,CA,2024-06-19,0,0,0,0,0,1,1,0,0,0,0,0,0,1
173,5.39441104524911,0.3880169140942275,CA,2024-06-20,1,0,0,1,1,0,1,0,0,0,0,0,0,0
174,7.1325672356972,0.3753501000546375,CA,2024-06-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0
175,2.18291808817478,0.353521986207091,CA,2024-06-22,1,1,0,1,0,1,1,0,0,0,0,1,1,1
176,1.85785282098129,0.3763532109701245,CA,2024-06-23,1,1,1,1,1,1,1,0,0,1,1,0,1,1
177,3.57045081020929,0.395390395024459,CA,2024-06-24,1,1,1,1,1,0,1,0,0,0,0,0,0,1
178,5.65032879679,0.382524978217737,CA,2024-06-25,0,0,1,1,1,0,0,0,0,0,0,0,1,0
179,10.9757454382673,0.374412422383414,CA,2024-06-26,0,0,1,1,0,0,0,0,0,0,0,0,0,0
180,15.3427327171036,0.39342211343576,CA,2024-06-27,0,0,0,1,0,1,1,0,0,0,0,0,0,0
181,9.00789234107676,0.3967837954407145,CA,2024-06-28,0,1,0,1,1,1,0,0,0,0,0,0,0,0
182,7.07825442400299,0.389785922152903,CA,2024-06-29,0,1,1,1,0,1,0,0,0,0,0,0,0,0
183,14.5559921072425,0.40572603496271,CA,2024-06-30,0,0,0,0,0,0,1,0,0,0,0,0,0,0
184,16.6968999779687,0.381722547584839,CA,2024-07-01,0,0,1,0,0,0,1,0,0,0,0,0,0,1
185,5.72630019437878,0.393788925730547,CA,2024-07-02,0,1,1,1,1,1,1,0,0,0,0,0,1,0
