...1,es_score,brier_score,location,target_date,X23F_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
230,0.0196872450615275,0.00476752390316634,CO,2024-01-26,1,1,1,1,1,1,1,1
231,NA,NA,CO,2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA
233,0.0529455944565156,0.00319904744052393,CO,2024-01-29,1,1,1,1,1,1,1,1
234,0.00430048201722878,0.002797042952451685,CO,2024-01-30,1,1,1,1,1,1,1,1
235,0.00298253397752313,0.00244413456939449,CO,2024-01-31,1,1,1,1,1,1,1,1
236,0.0368910063532916,0.002134593044698875,CO,2024-02-01,1,1,1,1,1,1,1,1
237,0.0181630404738892,0.001863308272021325,CO,2024-02-02,1,1,1,1,1,1,1,1
238,NA,NA,CO,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA
240,0.00160322320862022,0.001235992939027285,CO,2024-02-05,1,1,1,1,1,1,1,1
241,0.00130225027774331,0.001077072483423455,CO,2024-02-06,1,1,1,1,1,1,1,1
242,0.00108986368451996,9.3825346895613e-4,CO,2024-02-07,1,1,1,1,1,1,1,1
243,0.00395134092023942,8.17058096098205e-4,CO,2024-02-08,1,1,1,1,1,1,1,1
244,0.00360833182528103,7.1130157145296e-4,CO,2024-02-09,1,1,1,1,1,1,1,1
245,1.34316906279818,0.48585960766265,CO,2024-02-10,1,0,0,1,1,0,0,1
246,NA,NA,CO,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
247,0.00216362318777631,4.685557119146e-4,CO,2024-02-12,1,1,1,1,1,1,1,1
248,1.3523126640481,0.4884357416625995,CO,2024-02-13,1,0,0,1,1,0,0,1
249,NA,NA,CO,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA
250,3.7059466484896e-4,3.0803897499436e-4,CO,2024-02-15,1,1,1,1,1,1,1,1
