...1,es_score,brier_score,location,target_date,X21K_50_CI,X21L_50_CI,X22B_50_CI,X22C_50_CI,X22D_50_CI,X22E_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X21K_95_CI,X21L_95_CI,X22B_95_CI,X22C_95_CI,X22D_95_CI,X22E_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
123,0.041225909205485,0.0312275850981562,AR,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,NA,NA,AR,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.07162392538048,0.1049344504384895,AZ,2023-03-26,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0
128,2.10845086174407,0.1143814662377045,AZ,2023-03-27,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0
129,1.44017156420193,0.0456233926489179,AZ,2023-03-28,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0
130,0.367617360543682,0.0027678012005327,AZ,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,2.10750353762073,0.2319574110880055,AZ,2023-03-30,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0
132,0.0148444707447196,0.002874086402770025,AZ,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,1.14089805165158,0.310580880972274,AZ,2023-04-01,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
134,0.806035606423478,0.1529377747395245,AZ,2023-04-02,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
135,0.697215632212789,0.0513101023903665,AZ,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
136,2.36625698569104,0.176249330880088,AZ,2023-04-04,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1
137,1.01756316377425,0.083033842892673,AZ,2023-04-05,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
138,0.0672142196314646,0.0036596911305444,AZ,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
