...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,X23E_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,X23E_95_CI,other_95_CI
121,NA,NA,AR,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.87038680389696,0.141543024384605,AZ,2023-04-09,1,1,0,1,0,1,1,1,1,0,0,0,1,1
128,1.88089604816178,0.1403223253458335,AZ,2023-04-10,1,1,0,0,1,1,1,1,0,1,0,0,0,1
129,2.83896572645099,0.218198529489501,AZ,2023-04-11,1,0,0,0,1,0,0,1,0,0,0,1,0,0
130,0.0284033309349005,0.00475478692037766,AZ,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,0.205855340445565,0.005004405609732,AZ,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,1.09326748061729,0.3077529062786525,AZ,2023-04-14,0,1,1,1,1,1,1,0,1,0,1,1,1,1
133,0.278426965089978,0.005574946303729,AZ,2023-04-15,1,1,1,1,1,1,1,1,1,0,0,1,1,1
134,1.50398198119157,0.261753981856987,AZ,2023-04-16,1,1,0,1,0,1,0,1,1,0,1,0,1,0
135,1.04697560544417,0.106423456656739,AZ,2023-04-17,1,0,1,1,1,1,1,1,1,0,0,0,1,1
136,1.35994934880304,0.178169325595918,AZ,2023-04-18,1,1,0,0,1,1,1,1,1,0,0,0,1,1
137,1.63580115708399,0.04299049091725165,AZ,2023-04-19,1,1,0,0,1,1,0,1,0,0,0,0,1,0
138,4.15812176794594,0.2481064050400575,AZ,2023-04-20,1,1,0,0,1,1,0,1,1,0,0,1,1,0
139,1.21189054154136,0.87033053792885,AZ,2023-04-21,1,1,0,1,0,1,1,1,1,1,0,0,1,1
140,0.100254279299932,0.00850826084132525,AZ,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,1.46894567131283,0.074598166818711,AZ,2023-04-23,1,1,1,0,1,1,1,1,1,0,0,0,1,1
142,1.28617694200129,0.04527598352765855,AZ,2023-04-24,1,1,0,1,1,1,1,1,1,0,0,0,1,1
143,1.48501057599215,0.1331826268711565,AZ,2023-04-25,1,1,1,1,1,1,0,1,1,0,0,0,1,0
144,1.1040137682191,0.0967107622816075,AZ,2023-04-26,1,1,1,1,1,1,1,1,1,0,1,0,1,1
145,0.643831913987594,0.073431637257083,AZ,2023-04-27,1,1,1,1,1,1,1,1,1,1,0,0,1,1
146,0.684470053097108,0.0126664099507751,AZ,2023-04-28,1,1,1,1,1,1,1,1,1,0,0,1,1,1
147,0.361367675084595,0.01356106732520305,AZ,2023-04-29,1,1,1,1,1,1,1,1,1,0,0,1,1,1
148,1.77655428097606,0.2097759911987145,AZ,2023-04-30,1,1,1,0,1,1,1,1,1,0,0,1,0,1
149,1.64117499573324,0.0903978756832925,AZ,2023-05-01,1,0,1,0,1,1,1,1,0,0,0,0,1,1
150,4.21071950606262,0.212379489987311,AZ,2023-05-02,1,1,0,0,0,1,0,1,1,0,0,0,1,0
151,1.8615279058508,0.142504568972905,AZ,2023-05-03,1,1,1,1,0,1,1,1,1,0,0,0,1,1
