"","es_score","brier_score","location","target_date","X22F_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","other_50_CI","X23A_50_CI","X22F_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","other_95_CI","X23A_95_CI"
"86",0.665821814210465,0.931453108626666,"AR",2023-05-29,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"87",0.655092218335857,0.912724288961352,"AR",2023-05-30,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"88",0.257628232018951,0.354245899065392,"AR",2023-05-31,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"89",NA,NA,"AR",2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,"AR",2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"AR",2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,"AR",2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,"AR",2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",0.323020717669784,0.464352817649996,"AR",2023-06-07,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"96",0.342397776940667,0.481142078011293,"AR",2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"97",0.353583301130313,0.498134347519711,"AR",2023-06-09,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"98",NA,NA,"AR",2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",0.923434995960138,0.550089709973072,"AR",2023-06-12,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
"101",0.4882172101212,0.677690057272638,"AR",2023-06-13,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"102",0.469786316318238,0.663566903187069,"AR",2023-06-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"103",NA,NA,"AR",2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",0.458450574379528,0.636615894312617,"AR",2023-06-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"105",NA,NA,"AR",2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",0.466903328859961,0.673699113033909,"AR",2023-06-19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"108",NA,NA,"AR",2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,"AR",2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",0.511769112713301,0.725954571107553,"AR",2023-06-22,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"111",0.518948664851659,0.743085860133484,"AR",2023-06-23,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
"112",NA,NA,"AR",2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",3.41061625449619,0.793286517581952,"AR",2023-06-26,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0
"115",0.369726294471811,0.521310285474405,"AR",2023-06-27,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"116",NA,NA,"AR",2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
