...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
170,2.17604850397795,0.143984870156576,CA,2023-02-20,1,1,1,1,1,0,0,0,0,0,0,0
171,6.50698560674103,0.188320555035767,CA,2023-02-21,1,0,1,1,1,0,0,0,1,0,0,0
172,7.70300249070426,0.172249940081404,CA,2023-02-22,0,0,1,1,0,1,0,0,0,0,0,0
173,21.0797943624253,0.1921308615863095,CA,2023-02-23,1,0,0,1,0,0,1,0,0,1,0,0
174,3.47010747441812,0.119059938012926,CA,2023-02-24,1,1,1,1,0,1,1,0,0,0,0,0
175,10.9585179398618,0.250658352389481,CA,2023-02-25,1,0,1,0,0,0,0,0,0,0,0,0
176,2.90254836607991,0.1503303540487875,CA,2023-02-26,1,0,1,1,1,0,0,0,1,0,1,0
177,15.2520522837413,0.2018186869042805,CA,2023-02-27,1,0,1,1,1,0,1,0,0,1,1,0
178,14.5821049986736,0.178478413126541,CA,2023-02-28,1,0,1,0,1,0,0,0,0,0,1,0
179,18.709926381733,0.1618298797585915,CA,2023-03-01,0,0,1,0,0,0,0,0,0,0,0,0
180,13.7991214918346,0.143403272519129,CA,2023-03-02,1,0,1,0,0,0,1,0,1,0,0,0
181,20.3076635490602,0.1603245193855885,CA,2023-03-03,1,0,1,0,0,0,1,0,0,0,0,0
182,8.31530338482474,0.1340740403898165,CA,2023-03-04,0,0,1,0,0,1,0,0,0,0,0,0
183,1.03460266094445,0.055445967252023,CA,2023-03-05,1,1,1,1,1,1,1,0,0,1,1,0
184,6.79807040773528,0.176457713491574,CA,2023-03-06,1,0,1,1,1,0,1,0,1,1,1,0
185,12.5995471263007,0.1865279386712755,CA,2023-03-07,0,0,1,0,0,0,0,0,0,0,0,0
186,25.0680889333273,0.18827698555374,CA,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,0
187,5.19005817864104,0.091535305618842,CA,2023-03-09,1,0,1,0,0,1,0,0,0,0,0,0
188,11.6394795371534,0.131998849421281,CA,2023-03-10,1,0,1,0,0,0,0,0,1,0,0,0
189,3.49742347572738,0.088444933130122,CA,2023-03-11,1,0,1,1,1,0,1,1,1,0,1,0
190,10.4946052621426,0.153774761257264,CA,2023-03-12,1,0,1,0,0,0,0,0,1,0,0,0
191,13.2416687168038,0.1751953010376785,CA,2023-03-13,0,0,1,0,0,0,0,0,1,0,0,0
192,11.1080843033428,0.13757462526113,CA,2023-03-14,1,0,1,0,0,0,0,0,1,1,0,0
193,11.7200058892281,0.1377543754585925,CA,2023-03-15,0,0,1,1,0,0,0,0,0,0,0,0
194,6.34536553865186,0.099912708556426,CA,2023-03-16,1,0,1,0,0,1,1,0,1,0,0,1
195,11.5288862834351,0.1589986302313025,CA,2023-03-17,0,0,1,0,0,0,0,0,0,0,0,0
196,5.6412624919779,0.136976551233413,CA,2023-03-18,0,0,1,0,0,1,0,0,0,0,0,0
197,9.05153796080599,0.180790316170756,CA,2023-03-19,0,0,0,0,0,0,0,0,0,0,0,0
198,2.10789956543863,0.0617150770533525,CA,2023-03-20,0,0,1,1,0,1,0,0,1,0,0,0
199,4.79057601009553,0.0920530402027625,CA,2023-03-21,0,0,0,1,0,1,0,0,0,0,0,0
200,12.0127067174885,0.128157503462595,CA,2023-03-22,0,0,1,0,0,0,1,0,1,0,0,0
201,11.6345992278499,0.1429779553848615,CA,2023-03-23,0,0,1,0,0,0,0,0,0,0,0,0
202,9.13350118057652,0.1395256159676545,CA,2023-03-24,0,0,0,0,0,1,0,0,0,0,0,0
203,13.0147833532386,0.2505414313837425,CA,2023-03-25,0,0,0,1,0,0,0,0,0,0,0,0
204,10.9143369526875,0.184339304280481,CA,2023-03-26,1,0,0,0,0,0,1,0,0,0,0,0
205,7.30565063242715,0.1006025462562555,CA,2023-03-27,0,0,1,1,0,1,0,0,1,1,0,0
206,1.30293358198326,0.051245612416268,CA,2023-03-28,1,0,1,1,0,1,1,0,1,0,0,0
207,15.5712530514459,0.216530487824611,CA,2023-03-29,0,0,0,0,0,0,0,0,0,0,0,0
208,2.75825023848779,0.071443445897358,CA,2023-03-30,0,0,1,0,0,1,0,0,1,0,0,0
209,6.90251085990239,0.124747921378252,CA,2023-03-31,0,0,0,1,0,0,0,0,0,0,0,0
210,10.9899120679343,0.216801980122535,CA,2023-04-01,0,0,0,0,1,1,0,0,0,0,1,1
