...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,other_95_CI,X22B_95_CI
537,4.83258962324525,0.3743793147338955,IA,2022-12-15,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
538,8.36949563208598,0.3851574420374125,IA,2022-12-16,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0
539,10.2475997650887,0.54164179680746,IA,2022-12-17,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0
540,2.07683597388636,0.272371754917066,IA,2022-12-18,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
541,11.7438028170332,0.37461179704075,IA,2022-12-19,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
542,3.01817278770366,0.24143250482724,IA,2022-12-20,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0
543,2.69832423049883,0.2847502893690295,IA,2022-12-21,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
544,1.28984192585314,0.421733963771788,IA,2022-12-22,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0
545,2.58023443824531,0.45283554314318353,IA,2022-12-23,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0
546,4.88113702416608,0.598596117634385,IA,2022-12-24,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0
547,NA,NA,ID,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,0.881296913800368,0.2542152372687645,ID,2022-11-14,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
549,0.559318856207107,0.254208540319482,ID,2022-11-15,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
550,0.53108134621737,0.265377911278465,ID,2022-11-16,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
551,0.313097336630017,0.216968508418014,ID,2022-11-17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
552,1.07917653996378,0.2256581165305585,ID,2022-11-18,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
553,1.07079652712524,0.331234791396528,ID,2022-11-19,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
554,NA,NA,ID,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,1.68549667464651,0.3933598772491375,ID,2022-11-21,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0
556,2.14371613483671,0.4530768819988395,ID,2022-11-22,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0
557,NA,NA,ID,2022-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,NA,NA,ID,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,NA,NA,ID,2022-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,0.333554648395279,0.283691210921853,ID,2022-11-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
561,1.00113235859701,0.348295313906674,ID,2022-11-27,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
562,3.16506068028341,0.4855414769539925,ID,2022-11-28,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
563,0.7106072657055,0.2955531861962785,ID,2022-11-29,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
564,0.734048341395256,0.518389707514885,ID,2022-11-30,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
565,NA,NA,ID,2022-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,0.356125384957722,0.193507960083823,ID,2022-12-02,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
567,0.986305106262148,0.3171849855680945,ID,2022-12-03,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
568,0.279143635955095,0.0654061468454085,ID,2022-12-04,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
569,0.263107890229182,0.061447042623747,ID,2022-12-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
570,1.99814074324332,0.38650163554619,ID,2022-12-06,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
571,1.21029844517491,0.4749790778872635,ID,2022-12-07,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
572,3.08953439725579,0.437033391048026,ID,2022-12-08,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
573,NA,NA,ID,2022-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
574,NA,NA,ID,2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,NA,NA,ID,2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576,0.938806708682683,0.667176352802245,ID,2022-12-12,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
577,0.532107866668475,0.172113340343705,ID,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
578,0.0666273202101861,0.0468412122255297,ID,2022-12-14,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
579,4.00210598888613,0.686189327765635,ID,2022-12-15,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
580,1.09071017342063,0.76453097509519,ID,2022-12-16,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
581,NA,NA,ID,2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
582,NA,NA,ID,2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
583,0.247348181513237,0.0574788474772415,ID,2022-12-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
584,1.0030377148104,0.70061201311243,ID,2022-12-20,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
585,NA,NA,ID,2022-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,NA,NA,ID,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,0.11050216459823,0.0802818976808045,ID,2022-12-23,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
588,0.122746637750409,0.088525857525713,ID,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
589,2.36470312918792,0.2991931765081275,IL,2022-11-13,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
590,2.07500825083846,0.3012920275312035,IL,2022-11-14,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
591,5.16646556791925,0.340717163950946,IL,2022-11-15,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
592,3.71943339035816,0.3052468952399435,IL,2022-11-16,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0
593,3.32622113302306,0.3257569410211285,IL,2022-11-17,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0
594,2.92519288304282,0.286571267726822,IL,2022-11-18,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0
595,2.8880053423325,0.2958237399503735,IL,2022-11-19,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
596,3.69217572301158,0.2971892922748825,IL,2022-11-20,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
597,2.0448224410072,0.313733201649805,IL,2022-11-21,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
598,14.2338245595086,0.3424024965066205,IL,2022-11-22,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
599,5.00594812589439,0.267990827040472,IL,2022-11-23,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0
600,3.88730929588511,0.3765984644147085,IL,2022-11-24,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0
601,9.70533371275734,0.334111894498216,IL,2022-11-25,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
602,10.7077466922505,0.3123555740391465,IL,2022-11-26,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
603,7.69247572709425,0.301530871169125,IL,2022-11-27,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
604,17.7208478849666,0.3029038651405475,IL,2022-11-28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
605,13.4059539255536,0.3345160599986135,IL,2022-11-29,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
606,11.6197016357614,0.3079289424730965,IL,2022-11-30,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
607,15.1876361184911,0.283645746591826,IL,2022-12-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
608,14.0263079928337,0.3179167937617415,IL,2022-12-02,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
609,3.66774633156523,0.263093624535003,IL,2022-12-03,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
610,6.70141479754517,0.296036628240234,IL,2022-12-04,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
611,18.8459478172443,0.381092157418157,IL,2022-12-05,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
612,9.32434954726978,0.276291958146324,IL,2022-12-06,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
613,9.50120389978702,0.232517517121488,IL,2022-12-07,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
614,19.0914116164794,0.290001665918061,IL,2022-12-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
615,8.61404427888323,0.266440425343258,IL,2022-12-09,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
616,6.11490598470257,0.24638195556254,IL,2022-12-10,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1
617,16.5753241310395,0.323529498482542,IL,2022-12-11,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
618,18.1482672238434,0.249010861018106,IL,2022-12-12,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
619,4.70883274662717,0.229726366565893,IL,2022-12-13,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
620,7.19209969992132,0.2205809244404415,IL,2022-12-14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
621,16.224966112735,0.2396853225463945,IL,2022-12-15,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
622,10.6643944044633,0.3343742633973055,IL,2022-12-16,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
623,9.72112127616516,0.2639622743157295,IL,2022-12-17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
624,13.8469927882678,0.251751970921674,IL,2022-12-18,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
625,18.3920367745832,0.220451576267581,IL,2022-12-19,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
626,12.7751172131757,0.277046279235967,IL,2022-12-20,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
627,10.1381299667864,0.24939389179588,IL,2022-12-21,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
628,9.6299645942699,0.2705799125497575,IL,2022-12-22,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0
629,5.81370642504633,0.239096398424547,IL,2022-12-23,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
630,5.11027869953587,0.3208478992121055,IL,2022-12-24,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0
631,1.95743688478158,0.33172345495287,IN,2022-11-13,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0
632,1.84812994831192,0.271983436859307,IN,2022-11-14,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
633,2.81067454843266,0.292904264995947,IN,2022-11-15,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0
634,1.50700496392961,0.284881991714454,IN,2022-11-16,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
635,2.07084567885162,0.2622181258229855,IN,2022-11-17,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
636,1.18569085100042,0.285449358460561,IN,2022-11-18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
637,0.830684335599344,0.260813244457502,IN,2022-11-19,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
638,1.22817739794128,0.323669755654473,IN,2022-11-20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
639,2.32643005965607,0.303726054242456,IN,2022-11-21,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0
640,7.44047409405392,0.325400039918247,IN,2022-11-22,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0
641,6.91741661586643,0.3219173754778455,IN,2022-11-23,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0
642,NA,NA,IN,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
643,7.97877889096696,0.3332255062124825,IN,2022-11-25,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
644,1.27921496461214,0.2557094082262185,IN,2022-11-26,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
645,3.95298897638868,0.3248272705462485,IN,2022-11-27,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0
646,10.9585965708265,0.3490112323573105,IN,2022-11-28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
647,15.6474562654904,0.3913727342367465,IN,2022-11-29,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
648,6.03593036425688,0.311262984623899,IN,2022-11-30,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
649,8.2750412689215,0.2904739518811155,IN,2022-12-01,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0
650,5.66529187030395,0.3382343505268845,IN,2022-12-02,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
651,2.12454348303946,0.275962800380297,IN,2022-12-03,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
652,1.39783963197868,0.2153194453519555,IN,2022-12-04,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
653,9.30999731254711,0.3450627441447795,IN,2022-12-05,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0
654,15.4151527011804,0.37904330435551,IN,2022-12-06,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
655,16.1552436824101,0.3954114197034075,IN,2022-12-07,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0
656,10.7232464589312,0.370484220964948,IN,2022-12-08,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
657,6.15720168168299,0.341449483875323,IN,2022-12-09,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
658,6.4499106315514,0.352372590336852,IN,2022-12-10,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0
659,3.13182783175666,0.1947447535331535,IN,2022-12-11,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0
660,9.27888729731486,0.3213925369986355,IN,2022-12-12,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
661,6.54500627425312,0.2659681157240705,IN,2022-12-13,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
662,4.87833197632679,0.273519278679555,IN,2022-12-14,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
663,5.44103793828747,0.2530332828970115,IN,2022-12-15,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
664,3.21542486691957,0.21706624506836,IN,2022-12-16,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0
665,4.59817622308414,0.2361294045847285,IN,2022-12-17,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
666,5.7091721414628,0.362303463942587,IN,2022-12-18,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0
667,5.49465626656121,0.265307474287543,IN,2022-12-19,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
668,3.80154470210896,0.288105171529331,IN,2022-12-20,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
669,8.35199577080139,0.40279175635254,IN,2022-12-21,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
670,4.04241754470208,0.4217049894031825,IN,2022-12-22,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
671,2.64085820091908,0.40518291730038,IN,2022-12-23,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
672,1.83880586209756,0.636005308972275,IN,2022-12-24,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0
673,0.227564486942865,0.2568314414493875,KS,2022-11-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
674,1.43959112774702,0.366532325645919,KS,2022-11-14,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
675,1.49143330889522,0.2609488864352215,KS,2022-11-15,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
676,0.964221943437235,0.298759476583493,KS,2022-11-16,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
677,1.37817284114,0.3365392608859485,KS,2022-11-17,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0
678,3.06646271519848,0.3431430723501745,KS,2022-11-18,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
679,0.993885754502827,0.2185603162940865,KS,2022-11-19,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
680,0.474698461126582,0.2459972804483065,KS,2022-11-20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
681,2.66305303304832,0.323502578791162,KS,2022-11-21,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0
682,1.52199266973224,0.3533338094578335,KS,2022-11-22,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0
683,0.296271172524533,0.271908551266068,KS,2022-11-23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
684,NA,NA,KS,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
685,4.37217406987642,0.365521784538803,KS,2022-11-25,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
686,0.596008219279605,0.1829567212175685,KS,2022-11-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
687,0.765756359915704,0.2429679846516085,KS,2022-11-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
688,6.09432326853613,0.3809629419440605,KS,2022-11-28,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0
689,0.809927121419814,0.183750918766965,KS,2022-11-29,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
690,4.16004964738827,0.4075020432271625,KS,2022-11-30,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0
691,0.442752566611515,0.307250948243595,KS,2022-12-01,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
692,3.42507015701481,0.54963879798328,KS,2022-12-02,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0
693,0.957125432588871,0.131685152223007,KS,2022-12-03,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
694,1.0990576511299,0.455434870750047,KS,2022-12-04,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
695,5.78689457746279,0.4537512459599035,KS,2022-12-05,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0
696,1.02905470740059,0.1948540086307445,KS,2022-12-06,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
697,3.54046535600502,0.432975588788736,KS,2022-12-07,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0
698,1.49713678686798,0.3349430855837695,KS,2022-12-08,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0
699,0.444116950609477,0.197734047659702,KS,2022-12-09,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
700,2.02107964257904,0.3590816116206525,KS,2022-12-10,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
701,NA,NA,KS,2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,2.04934104752357,0.2589081459836715,KS,2022-12-12,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
703,1.03561467017149,0.172113340343705,KS,2022-12-13,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
704,0.591289375528642,0.0468412122255297,KS,2022-12-14,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
705,1.88786738596489,0.2871307342400755,KS,2022-12-15,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
706,0.0695231346097214,0.04913746242883345,KS,2022-12-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
707,0.875344819364012,0.2310923291952325,KS,2022-12-17,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
708,1.12878452930987,0.2236271895071375,KS,2022-12-18,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0
709,4.65894120998112,0.3892226508383585,KS,2022-12-19,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
710,0.782450091183643,0.1895570498418625,KS,2022-12-20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
711,1.12776474349933,0.157603660296692,KS,2022-12-21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
712,0.840317151393584,0.2932862939034985,KS,2022-12-22,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
713,NA,NA,KS,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,2.42403176162615,0.709234055375495,KS,2022-12-24,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0
715,0.340463585283756,0.2375406904650285,KY,2022-11-13,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
716,0.744167943807793,0.256979687293436,KY,2022-11-14,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
717,0.934856755929661,0.2617148348574645,KY,2022-11-15,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
718,0.763185179377858,0.3874712668563015,KY,2022-11-16,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
719,1.06939864534258,0.2780554919147255,KY,2022-11-17,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
720,1.27444466708462,0.277578895478094,KY,2022-11-18,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
721,0.276043908920659,0.190391697518476,KY,2022-11-19,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
722,NA,NA,KY,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,1.1550582101024,0.3651321258880095,KY,2022-11-21,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
724,0.763561847245238,0.268582464555194,KY,2022-11-22,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
725,0.471914270524509,0.2463577436062035,KY,2022-11-23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
726,NA,NA,KY,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727,2.66597543794124,0.391061827425357,KY,2022-11-25,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
728,1.35924974550734,0.283691210921853,KY,2022-11-26,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
729,4.02223983132154,0.4141156396020895,KY,2022-11-27,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0
730,7.79568478771706,0.404559813604878,KY,2022-11-28,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
731,3.48953798771587,0.503765103719065,KY,2022-11-29,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0
732,5.67976413097287,0.4747514912312785,KY,2022-11-30,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0
733,3.27511577417549,0.3278866553178635,KY,2022-12-01,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
734,0.991606360014774,0.2471910480024145,KY,2022-12-02,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0
735,1.27186643195986,0.281851683978554,KY,2022-12-03,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
736,0.279003928036827,0.0654061468454085,KY,2022-12-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
737,6.43142384706675,0.519662386271875,KY,2022-12-05,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
738,1.44133088062589,0.228392659266566,KY,2022-12-06,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0
739,3.36092308616951,0.50524747426317,KY,2022-12-07,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
740,3.19842701541947,0.340871206188272,KY,2022-12-08,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
741,0.527461224425384,0.1485831703879605,KY,2022-12-09,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
742,0.857309649056931,0.396198098321368,KY,2022-12-10,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
743,2.0966613999724,0.711185439314615,KY,2022-12-11,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
744,3.40003158289786,0.3392733406592325,KY,2022-12-12,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
745,1.69408505289264,0.76179926034782,KY,2022-12-13,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1
746,0.391630105021106,0.0468412122255297,KY,2022-12-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
747,0.721180929602339,0.1833202769179925,KY,2022-12-15,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
748,1.15114278935775,0.2095340656338495,KY,2022-12-16,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
749,0.2237677128961,0.051212521923104,KY,2022-12-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
750,1.92467319823202,0.4494799326793675,KY,2022-12-18,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0
751,9.35205690734241,0.467886241812551,KY,2022-12-19,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0
752,1.43498467604541,0.3173207906595045,KY,2022-12-20,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
753,2.55233509591034,0.50759552503265,KY,2022-12-21,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1
754,3.00992480546746,0.3456408705265015,KY,2022-12-22,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
755,NA,NA,KY,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
756,1.02808681695961,0.726481826814235,KY,2022-12-24,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
757,0.501538333299802,0.2632616917775075,LA,2022-11-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
758,1.3907546473183101,0.253785211709371,LA,2022-11-14,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
759,1.46352194109942,0.262787162648605,LA,2022-11-15,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
760,2.77864684538603,0.275185052311575,LA,2022-11-16,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0
761,1.22520601048758,0.3052600366663175,LA,2022-11-17,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
762,0.885576678099513,0.404157841623915,LA,2022-11-18,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
