...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI,X23F_95_CI
523,2.93407750564729,0.4317097702695725,IA,2023-11-30,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
524,1.61382153427605,0.387618947316221,IA,2023-12-01,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
525,2.28423505397562,0.326929826611522,IA,2023-12-02,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0
526,1.74135606252568,0.436817962219869,IA,2023-12-03,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
527,4.80453643281417,0.3872098989680945,IA,2023-12-04,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
528,1.99769794466088,0.397609298353062,IA,2023-12-05,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0
529,1.9266376826085,0.3393844532418295,IA,2023-12-06,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
530,2.03823492095928,0.3327795804186895,IA,2023-12-07,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0
531,2.80008522429501,0.310040810370658,IA,2023-12-08,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0
532,1.7843082680186,0.3123291703864215,IA,2023-12-09,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0
533,2.32100808016402,0.28090117973326,IA,2023-12-10,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
534,2.01861742128074,0.372046338363786,IA,2023-12-11,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0
535,4.97869488420354,0.3442641673321275,IA,2023-12-12,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0
536,1.81809448694025,0.2932160561101065,IA,2023-12-13,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1
537,2.37588158244016,0.3881336758727135,IA,2023-12-14,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0
538,2.73918318260157,0.40758588660359,IA,2023-12-15,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0
539,1.55273495770654,0.2382518964990675,IA,2023-12-16,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0
540,0.689820203455781,0.2696385967647625,IA,2023-12-17,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
541,4.29423292590138,0.267566229913999,IA,2023-12-18,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
542,1.58700353245041,0.279077901664514,IA,2023-12-19,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0
543,1.77378284502922,0.373660088092244,IA,2023-12-20,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
544,1.82997695719791,0.3139485551718905,IA,2023-12-21,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0
545,1.40639484312788,0.146250389299349,IA,2023-12-22,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0
546,1.85418548745028,0.499058040425309,IA,2023-12-23,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0
547,NA,NA,ID,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,NA,NA,ID,2023-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,NA,NA,ID,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,NA,NA,ID,2023-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,NA,NA,ID,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,NA,NA,ID,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,NA,NA,ID,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,NA,NA,ID,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,NA,NA,ID,2023-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,NA,NA,ID,2023-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,NA,NA,ID,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,NA,NA,ID,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,NA,NA,ID,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,NA,NA,ID,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,NA,NA,ID,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,NA,NA,ID,2023-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,NA,NA,ID,2023-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,NA,NA,ID,2023-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,NA,NA,ID,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,NA,NA,ID,2023-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,NA,NA,ID,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568,NA,NA,ID,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569,NA,NA,ID,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570,NA,NA,ID,2023-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,NA,NA,ID,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,NA,NA,ID,2023-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,0.415372596766012,0.298949719753635,ID,2023-12-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
574,0.851000493693832,0.597292450760825,ID,2023-12-09,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
575,NA,NA,ID,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576,NA,NA,ID,2023-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
577,NA,NA,ID,2023-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,NA,NA,ID,2023-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579,NA,NA,ID,2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,NA,NA,ID,2023-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
581,NA,NA,ID,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
582,NA,NA,ID,2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
583,NA,NA,ID,2023-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,NA,NA,ID,2023-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,NA,NA,ID,2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,0.112858074682167,0.0773322915879745,ID,2023-12-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
587,NA,NA,ID,2023-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,NA,NA,ID,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,1.44808280217257,0.290402228015354,IL,2023-11-12,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0
590,4.08840309639099,0.296348924898201,IL,2023-11-13,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
591,4.84206206186457,0.383848073389032,IL,2023-11-14,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
592,3.2699072412792902,0.383039738559737,IL,2023-11-15,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
593,2.77415374837286,0.3275632053659335,IL,2023-11-16,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
594,3.75085304500313,0.3611560009509775,IL,2023-11-17,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0
595,2.28280591627492,0.4036036319525855,IL,2023-11-18,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
596,1.81797674349269,0.3639051517801795,IL,2023-11-19,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
597,2.94418888407534,0.3950361275762795,IL,2023-11-20,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
598,3.41356270080707,0.4390422741246555,IL,2023-11-21,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
599,2.11858185565764,0.3669269635648005,IL,2023-11-22,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0
600,1.98243955424306,0.429262585258876,IL,2023-11-23,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0
601,3.44667221287204,0.3515207330622165,IL,2023-11-24,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
602,3.5498021167103,0.374287609764115,IL,2023-11-25,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1
603,3.0476164912652,0.341615442696775,IL,2023-11-26,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
604,3.34344755715228,0.3540863766895635,IL,2023-11-27,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1
605,4.11618714504965,0.3297000608861685,IL,2023-11-28,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
606,4.00327320228693,0.388885202690267,IL,2023-11-29,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
607,2.34321656289184,0.3524648702396095,IL,2023-11-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
608,2.42573390636447,0.355150277523321,IL,2023-12-01,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
609,6.31416043185938,0.334034614785549,IL,2023-12-02,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0
610,2.67688620835361,0.3496960521580005,IL,2023-12-03,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0
611,5.77053017337299,0.3617517364670645,IL,2023-12-04,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
612,4.71534648118349,0.3670828952015145,IL,2023-12-05,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0
613,3.10047784524064,0.4015324477593835,IL,2023-12-06,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0
614,4.98411540758249,0.391398055402051,IL,2023-12-07,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0
615,4.24736304299217,0.353408765242104,IL,2023-12-08,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0
616,2.63314345202567,0.3704910672440565,IL,2023-12-09,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0
617,5.87451783799216,0.457487780419229,IL,2023-12-10,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1
618,8.53363939136429,0.4075201152640105,IL,2023-12-11,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
619,5.0552857200684,0.3985589544440395,IL,2023-12-12,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0
620,4.51350818766311,0.3607902756141055,IL,2023-12-13,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0
621,3.44357691890373,0.3666040378882405,IL,2023-12-14,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
622,6.16562770793524,0.411660079216656,IL,2023-12-15,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0
623,7.32710856720681,0.4148259868103935,IL,2023-12-16,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
624,5.16746818520715,0.3971597367232195,IL,2023-12-17,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
625,8.83113150522906,0.3713446992750585,IL,2023-12-18,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
626,3.44107584521365,0.322136469963646,IL,2023-12-19,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
627,5.9093539554648,0.3302310168348455,IL,2023-12-20,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
628,4.95129735564163,0.3423455672450295,IL,2023-12-21,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
629,3.31779132588049,0.3271562589251575,IL,2023-12-22,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0
630,3.52143022947268,0.3960488833136325,IL,2023-12-23,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0
631,0.720756670792214,0.3744385524024585,IN,2023-11-12,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0
632,1.93805654100067,0.425209146563903,IN,2023-11-13,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0
633,1.10628142195888,0.450172656863065,IN,2023-11-14,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
634,0.223246437620113,0.154891829338822,IN,2023-11-15,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
635,0.775034244439833,0.53688763686323,IN,2023-11-16,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
636,0.218272464665067,0.1564670133345745,IN,2023-11-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
637,NA,NA,IN,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
638,0.727309627908782,0.51235977909316,IN,2023-11-19,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
639,0.841562145550807,0.59313203791116,IN,2023-11-20,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
640,NA,NA,IN,2023-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,0.725401627558226,0.51826399237301,IN,2023-11-22,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
642,0.601623947763684,0.3448050731636545,IN,2023-11-23,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
643,1.15187944872207,0.4583949604286295,IN,2023-11-24,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0
644,NA,NA,IN,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,0.771145807749827,0.549045115041315,IN,2023-11-26,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
646,0.890544233079809,0.3637030803338705,IN,2023-11-27,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
647,1.28797617435676,0.4198044756548045,IN,2023-11-28,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
648,1.54052150419176,0.3244376318442605,IN,2023-11-29,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0
649,1.01785332236655,0.380719231464678,IN,2023-11-30,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
650,1.03384407152862,0.348905493524627,IN,2023-12-01,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
651,NA,NA,IN,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,0.78273206347509094,0.549711340489705,IN,2023-12-03,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
653,4.15384587919341,0.4877770609966485,IN,2023-12-04,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
654,1.64649164097272,0.3936736812841875,IN,2023-12-05,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0
655,1.19517557542526,0.4845600561895685,IN,2023-12-06,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0
656,NA,NA,IN,2023-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,NA,NA,IN,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658,NA,NA,IN,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,NA,NA,IN,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,0.645480952422344,0.3330485224266355,IN,2023-12-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
661,1.32650541620941,0.622476373695275,IN,2023-12-12,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1
662,1.08472142169566,0.401821093919224,IN,2023-12-13,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0
663,1.65303004518711,0.4050974601690785,IN,2023-12-14,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
664,1.10992368069024,0.315571718704319,IN,2023-12-15,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
665,1.20147240257609,0.56710495899118,IN,2023-12-16,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1
666,2.18182533921501,0.4652311815293885,IN,2023-12-17,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0
667,0.943016829264863,0.425178223900804,IN,2023-12-18,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
668,3.35686784200095,0.504272472334405,IN,2023-12-19,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0
669,2.04748408547611,0.513763589650875,IN,2023-12-20,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0
670,0.329916460295449,0.0773322915879745,IN,2023-12-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
671,1.18257747441483,0.345804269755371,IN,2023-12-22,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
672,NA,NA,IN,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
673,NA,NA,KS,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,0.713565480238844,0.500172888226815,KS,2023-11-13,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
675,NA,NA,KS,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
676,0.542876090673111,0.329633920625203,KS,2023-11-15,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
677,NA,NA,KS,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,NA,NA,KS,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,0.803850175151082,0.56330173863172,KS,2023-11-18,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
680,NA,NA,KS,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,NA,NA,KS,2023-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,NA,NA,KS,2023-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,NA,NA,KS,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,NA,NA,KS,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
685,NA,NA,KS,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,NA,NA,KS,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
687,NA,NA,KS,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
688,1.39085918267432,0.4908404829795135,KS,2023-11-27,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
689,1.96368555333076,0.425265106346619,KS,2023-11-28,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
690,0.838620361134962,0.4051394969586645,KS,2023-11-29,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
691,NA,NA,KS,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
692,1.10275057126725,0.462477267550095,KS,2023-12-01,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
693,NA,NA,KS,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,NA,NA,KS,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
695,0.452221684822194,0.321249985797911,KS,2023-12-04,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
696,1.13908893008856,0.55502346813161,KS,2023-12-05,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0
697,1.20258955685853,0.4862312906214965,KS,2023-12-06,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0
698,1.60558275001305,0.55705352848419,KS,2023-12-07,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
699,0.794314203792877,0.561415008260085,KS,2023-12-08,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
700,NA,NA,KS,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,NA,NA,KS,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,1.4257842302604,0.447813799751559,KS,2023-12-11,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
703,0.673673073327549,0.3798188576215925,KS,2023-12-12,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1
704,1.36322529608849,0.64098661261622,KS,2023-12-13,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
705,NA,NA,KS,2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706,0.784552171177868,0.3926096940292505,KS,2023-12-15,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
707,NA,NA,KS,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
708,NA,NA,KS,2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709,0.87432152729449,0.4061076073824215,KS,2023-12-18,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
710,NA,NA,KS,2023-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711,0.46674387799546,0.3076736631020505,KS,2023-12-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
712,NA,NA,KS,2023-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713,0.100247999042504,0.068955670963696,KS,2023-12-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
