"","es_score","brier_score","location","target_date","X22A_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","other_50_CI","X22B_50_CI","X22A_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","other_95_CI","X22B_95_CI"
"125",2.38808362340653,0.443622943197706,"AR",2022-12-30,1,1,0,1,0,1,1,1,0,0,0,0,1,0
"126",1.59671529921595,0.738628817708766,"AR",2022-12-31,1,0,1,1,0,1,0,1,0,0,0,0,1,0
"127",3.29559782923679,0.591269620874572,"AZ",2022-11-20,0,1,0,1,1,1,0,0,0,0,1,1,0,0
"128",5.08629378203498,0.547183317729623,"AZ",2022-11-21,0,1,0,0,1,1,1,0,0,0,0,0,0,0
"129",17.6552420784349,0.628216683015604,"AZ",2022-11-22,0,0,0,1,1,1,0,0,0,0,1,0,1,0
"130",11.2492261166108,0.581613633865718,"AZ",2022-11-23,0,1,0,0,1,1,0,0,0,0,0,1,1,0
"131",3.2209674689626,0.710167505634391,"AZ",2022-11-24,1,0,0,1,1,0,0,0,0,0,1,1,0,0
"132",5.04538335109023,0.546766079174854,"AZ",2022-11-25,0,0,1,1,1,1,0,0,1,0,0,0,1,0
"133",6.12447320193897,0.617057717977065,"AZ",2022-11-26,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"134",5.18867725991805,0.55507457112879,"AZ",2022-11-27,0,1,1,1,1,1,0,0,1,1,0,0,1,0
"135",4.04227721382013,0.539486500016456,"AZ",2022-11-28,0,1,1,1,0,1,0,0,0,0,1,0,1,0
"136",10.1311686511944,0.628762727290885,"AZ",2022-11-29,1,1,0,1,1,0,0,0,0,0,0,1,0,0
"137",7.07855680809424,0.594245739477675,"AZ",2022-11-30,1,1,0,1,1,1,0,0,0,0,0,0,1,0
"138",13.6305390667059,0.707509240697587,"AZ",2022-12-01,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"139",10.1062399092848,0.679543535594898,"AZ",2022-12-02,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"140",1.8968879905758,0.548631684901075,"AZ",2022-12-03,1,0,1,1,1,0,1,0,0,0,1,1,0,0
"141",5.57683395599594,0.594433143726605,"AZ",2022-12-04,1,0,0,1,1,1,0,0,0,0,1,1,1,0
"142",18.6592934064983,0.642899299616381,"AZ",2022-12-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"143",5.68748070627092,0.582048816869137,"AZ",2022-12-06,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"144",7.92514306304544,0.532070579339021,"AZ",2022-12-07,1,1,0,1,0,0,0,0,1,0,1,0,0,0
"145",1.99260309675493,0.475941452946048,"AZ",2022-12-08,1,0,1,1,1,0,1,0,1,0,0,1,0,0
"146",4.79567911526774,0.549531085581821,"AZ",2022-12-09,0,1,0,0,1,1,0,0,0,0,0,0,1,0
"147",3.11495444549882,0.609619347632356,"AZ",2022-12-10,1,0,0,0,0,1,0,1,1,0,0,0,1,0
"148",2.77701518002549,0.42589810132422,"AZ",2022-12-11,1,1,1,1,0,0,1,0,0,0,0,1,0,0
"149",8.49825654450201,0.6016711117768,"AZ",2022-12-12,1,1,0,0,0,0,0,0,1,0,1,0,0,0
"150",9.01794731285228,0.575419419476355,"AZ",2022-12-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",5.39040429494597,0.488962332730107,"AZ",2022-12-14,1,0,1,1,0,1,0,1,0,0,0,0,1,0
"152",5.57930820895029,0.538035453709121,"AZ",2022-12-15,1,0,0,1,0,1,0,1,1,0,0,0,0,0
"153",3.73293817859081,0.488313594782933,"AZ",2022-12-16,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"154",3.30106057093826,0.625129717068799,"AZ",2022-12-17,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"155",3.18722095738067,0.454101571997233,"AZ",2022-12-18,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"156",12.4200669892031,0.510845855419203,"AZ",2022-12-19,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"157",7.19978632170019,0.625350328198409,"AZ",2022-12-20,1,1,0,1,0,1,0,1,1,0,0,0,1,0
"158",6.50250837964969,0.605315440972464,"AZ",2022-12-21,1,1,0,1,0,1,0,1,1,0,0,0,1,0
"159",2.2335704624961,0.405761356326498,"AZ",2022-12-22,1,1,0,1,0,1,1,1,1,0,0,0,0,0
"160",3.20821835650402,0.520952184351429,"AZ",2022-12-23,1,1,1,1,0,0,0,1,1,1,0,0,0,1
"161",1.2741993960668,0.513556818388975,"AZ",2022-12-24,1,0,1,1,0,1,1,1,0,0,1,1,1,1
"162",0.123772904246827,0.165646448238285,"AZ",2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"163",8.47422141466638,0.533117724088914,"AZ",2022-12-26,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"164",17.6958594594646,0.478614816628344,"AZ",2022-12-27,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"165",5.69276663839115,0.631253956363565,"AZ",2022-12-28,1,1,1,1,0,1,0,0,0,0,0,0,1,0
"166",4.81690103038306,0.632836524249963,"AZ",2022-12-29,1,1,1,1,0,0,0,1,1,0,0,0,0,0
"167",5.98558619793696,0.600394208496716,"AZ",2022-12-30,1,0,0,0,0,1,1,1,0,0,0,0,1,0
"168",3.25746168476537,0.565300124316936,"AZ",2022-12-31,1,0,0,1,0,1,1,1,0,0,1,0,1,0
"169",6.43354396969069,0.569980742291752,"CA",2022-11-20,0,1,1,0,1,0,1,0,1,0,0,0,0,0
"170",12.1292540224712,0.622360795248988,"CA",2022-11-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"171",10.5219808913399,0.584903754105267,"CA",2022-11-22,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"172",7.71805342512733,0.592084701552531,"CA",2022-11-23,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"173",1.24620591933894,0.537659948292744,"CA",2022-11-24,1,1,1,1,1,1,1,1,0,1,0,1,1,0
"174",29.7779596765758,0.555011283622635,"CA",2022-11-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"175",17.8111797821384,0.54449688206388,"CA",2022-11-26,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"176",16.1562305337333,0.597580510549763,"CA",2022-11-27,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"177",12.3422575366368,0.546291950368876,"CA",2022-11-28,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"178",12.0612760103974,0.538477587704418,"CA",2022-11-29,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"179",6.61524514189685,0.520801044790238,"CA",2022-11-30,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"180",7.0316242493627,0.53472683290195,"CA",2022-12-01,0,1,1,1,0,0,1,0,1,0,0,0,0,0
"181",28.4178172618994,0.578676519366124,"CA",2022-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",30.6650950638374,0.574523887450108,"CA",2022-12-03,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"183",11.5487136344438,0.547316608932852,"CA",2022-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",25.34796158866,0.519171341385946,"CA",2022-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",8.0697408694401,0.48969466211759,"CA",2022-12-06,0,0,1,1,0,0,1,0,0,0,1,0,0,0
"186",27.8420514863437,0.52640937258003,"CA",2022-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",13.8627719472317,0.471271095590875,"CA",2022-12-08,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"188",14.7129134749202,0.440247524063303,"CA",2022-12-09,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"189",44.1282490686925,0.554337620855187,"CA",2022-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",25.5256931384148,0.491600509649174,"CA",2022-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",18.7359229764319,0.460500567433029,"CA",2022-12-12,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"192",22.3622204812686,0.492651862876944,"CA",2022-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",29.7224415549655,0.566746881035093,"CA",2022-12-14,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"194",24.6606734455112,0.453894096923823,"CA",2022-12-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"195",16.7240492496495,0.474128545838666,"CA",2022-12-16,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"196",24.2782976120954,0.522168554996106,"CA",2022-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",26.9245264859659,0.409250408553772,"CA",2022-12-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",36.9600681525749,0.457281188387437,"CA",2022-12-19,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"199",32.655516439691,0.371834932176566,"CA",2022-12-20,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"200",35.9212278390948,0.458182786110116,"CA",2022-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",62.8763903843859,0.511627078938151,"CA",2022-12-22,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"202",92.6045453596051,0.461963091339368,"CA",2022-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",31.1927028515416,0.506797557031033,"CA",2022-12-24,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"204",0.664970991873631,0.165646448238285,"CA",2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"205",99.9604249286787,0.506170002069175,"CA",2022-12-26,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"206",113.721502115345,0.511968191670636,"CA",2022-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",127.422071638366,0.496624810584394,"CA",2022-12-28,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"208",92.0018861423755,0.531638590724821,"CA",2022-12-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",103.679591450661,0.601489300647019,"CA",2022-12-30,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"210",34.3016177700049,0.632928097528356,"CA",2022-12-31,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"211",1.69433624512105,0.395301452477332,"CO",2022-11-20,1,1,0,1,1,1,0,1,1,0,1,1,1,0
"212",1.40817957037428,0.585748498809399,"CO",2022-11-21,1,1,1,1,1,1,1,1,0,0,1,1,1,0
"213",1.15245236315694,0.581285906725851,"CO",2022-11-22,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"214",8.40372456912256,0.392827471258476,"CO",2022-11-23,1,0,0,1,1,1,0,1,0,0,1,1,1,0
"215",0.219112224671782,0.305071520989732,"CO",2022-11-24,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"216",4.23465151506501,0.391398716966621,"CO",2022-11-25,1,1,0,1,1,1,0,0,0,0,1,1,1,0
"217",1.80702303942274,0.756452912939111,"CO",2022-11-26,1,1,0,0,1,1,1,1,1,0,0,1,1,0
"218",0.968909197846296,0.4948337215054,"CO",2022-11-27,1,1,1,1,1,1,1,0,1,0,1,1,0,0
"219",2.93252148475812,0.572969540012447,"CO",2022-11-28,1,1,1,1,1,1,0,1,0,0,1,1,1,0
"220",1.46681603997356,0.662279274647553,"CO",2022-11-29,1,0,1,1,1,1,1,1,0,0,1,0,1,0
"221",4.13766029529737,0.689561299690603,"CO",2022-11-30,1,1,0,1,1,1,0,1,0,0,1,1,1,0
"222",3.35324336149034,0.445096355603597,"CO",2022-12-01,1,0,0,1,1,1,0,1,0,0,0,1,1,0
"223",3.66311537187632,0.689762575809913,"CO",2022-12-02,1,1,0,1,1,1,0,1,0,0,0,0,1,0
