"","es_score","brier_score","location","target_date","X23E_50_CI","X23F_50_CI","other_50_CI","X24A_50_CI","X23E_95_CI","X23F_95_CI","other_95_CI","X24A_95_CI"
"197",2.18740195573836,0.109740777742538,"CA",2024-02-18,1,1,0,0,1,1,0,0
"198",1.5326581288357,0.0774615387308324,"CA",2024-02-19,1,1,0,0,1,0,0,0
"199",0.0184125680432602,0.000117628809851518,"CA",2024-02-20,1,1,1,1,1,1,1,1
"200",7.46156725688286,0.174634174113989,"CA",2024-02-21,1,1,0,0,1,0,0,0
"201",3.89538548303392,0.129754091264575,"CA",2024-02-22,1,0,0,0,1,0,0,0
"202",4.85505022858062,0.129983878644778,"CA",2024-02-23,1,1,0,0,1,1,0,0
"203",2.41220631099866,0.116681115343721,"CA",2024-02-24,1,1,0,0,1,1,0,0
"204",0.0297498893544086,5.61729499228954e-05,"CA",2024-02-25,1,1,1,1,1,1,1,1
"205",5.71723546246456,0.157527718037216,"CA",2024-02-26,1,0,0,0,1,0,0,0
"206",9.93103564988677,0.233643556312592,"CA",2024-02-27,1,0,0,0,1,0,0,0
"207",6.44670303431019,0.155272658273813,"CA",2024-02-28,1,1,0,0,1,1,0,0
"208",0.000954861869860157,3.10709807224824e-05,"CA",2024-02-29,1,1,1,1,1,1,1,1
"209",0.0014234628952834,2.67932533916213e-05,"CA",2024-03-01,1,1,1,1,1,1,1,1
"210",0.0125434686003988,2.31038640843149e-05,"CA",2024-03-02,1,1,1,1,1,1,1,1
"211",NA,NA,"CO",2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA
"212",0.10919037268432,0.00781847498143964,"CO",2024-01-22,1,1,1,1,1,1,1,1
"213",0.0186025251505851,0.00680319040457568,"CO",2024-01-23,1,1,1,1,1,1,1,1
"214",NA,NA,"CO",2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,"CO",2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA
"216",0.0111111331355629,0.00446444733921375,"CO",2024-01-26,1,1,1,1,1,1,1,1
"217",NA,NA,"CO",2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,"CO",2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA
"219",0.0306402199242002,0.0029149142712461,"CO",2024-01-29,1,1,1,1,1,1,1,1
"220",0.0021171484180009,0.0025263779671509,"CO",2024-01-30,1,1,1,1,1,1,1,1
"221",0.0012473080807496,0.00218870752201129,"CO",2024-01-31,1,1,1,1,1,1,1,1
"222",0.0199302666717686,0.00189542624856035,"CO",2024-02-01,1,1,1,1,1,1,1,1
"223",0.0104684886487431,0.00164084628241088,"CO",2024-02-02,1,1,1,1,1,0,1,0
"224",NA,NA,"CO",2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,"CO",2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA
"226",0.00100206930643235,0.0010624580794842,"CO",2024-02-05,1,1,1,1,1,1,1,1
"227",0.000640313476333018,0.000918642570660045,"CO",2024-02-06,1,1,1,1,1,1,1,1
"228",0.000539069927051907,0.000794096089036846,"CO",2024-02-07,1,1,1,1,1,1,1,1
"229",0.00218138863726544,0.00068627691895088,"CO",2024-02-08,1,1,1,1,1,0,1,0
"230",0.00146931347576506,0.000592970592612434,"CO",2024-02-09,1,1,1,1,1,1,1,1
"231",1.34446279732863,0.975496166713299,"CO",2024-02-10,1,1,0,0,1,1,0,0
"232",NA,NA,"CO",2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
"233",0.00105191525880209,0.000382073940247237,"CO",2024-02-12,1,1,1,1,1,1,1,1
"234",1.36021101940819,0.980329596673423,"CO",2024-02-13,1,1,0,0,1,1,0,0
"235",NA,NA,"CO",2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA
"236",0.000188090403863049,0.000245842105078165,"CO",2024-02-15,1,1,1,1,1,1,1,1
"237",NA,NA,"CO",2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,"CO",2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,"CO",2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,"CO",2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA
"241",0.000111722871230102,0.000117628809851518,"CO",2024-02-20,1,1,1,1,1,1,1,1
"242",0.00116078519305238,0.000101477938029662,"CO",2024-02-21,1,1,1,1,1,1,1,1
"243",NA,NA,"CO",2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA
"244",1.38394698797595,0.990626826780902,"CO",2024-02-23,1,1,0,0,1,1,0,0
"245",NA,NA,"CO",2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,"CO",2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"247",0.000374314046546524,4.84461873758158e-05,"CO",2024-02-26,1,1,1,1,1,1,1,1
"248",2.51022906865165e-05,4.17805120509395e-05,"CO",2024-02-27,1,1,1,1,1,1,1,1
"249",2.15101882496032e-05,3.60306100754897e-05,"CO",2024-02-28,1,1,1,1,1,1,1,1
"250",5.64836895666897e-05,3.10709807224824e-05,"CO",2024-02-29,1,1,1,1,1,1,1,1
"251",NA,NA,"CO",2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,"CO",2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA
"253",0.0227632150842618,0.00897866674361296,"CT",2024-01-21,1,1,1,1,1,1,1,1
"254",0.232065870084397,0.00781847498143964,"CT",2024-01-22,1,1,1,1,1,1,1,1
"255",0.304250209648903,0.00680319040457568,"CT",2024-01-23,1,1,1,1,1,1,1,1
"256",0.117437233781345,0.00591567397370476,"CT",2024-01-24,1,1,1,1,1,1,1,1
"257",0.979202297106505,0.372809212493468,"CT",2024-01-25,1,1,0,1,1,1,0,0
"258",0.0265312241160452,0.00446444733921375,"CT",2024-01-26,1,1,1,1,1,1,1,1
"259",NA,NA,"CT",2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA
"260",0.00251491012305981,0.00336168015344793,"CT",2024-01-28,1,1,1,1,1,1,1,1
"261",0.905005101631011,0.23777283471483,"CT",2024-01-29,1,1,0,1,1,0,0,1
"262",0.00635599059427515,0.0025263779671509,"CT",2024-01-30,1,1,1,1,1,1,1,1
"263",0.00687305613472826,0.00218870752201129,"CT",2024-01-31,1,1,1,1,1,1,1,1
"264",1.01041605264271,0.316244468847381,"CT",2024-02-01,1,0,1,0,1,0,1,0
"265",0.0573254537813952,0.00164084628241088,"CT",2024-02-02,1,1,1,1,1,1,1,1
"266",NA,NA,"CT",2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
"267",0.000910088856070509,0.00122845732843049,"CT",2024-02-04,1,1,1,1,1,1,1,1
"268",0.00592481128380673,0.0010624580794842,"CT",2024-02-05,1,1,1,1,1,1,1,1
"269",1.1507841971365,0.385007458550419,"CT",2024-02-06,1,0,1,0,1,0,1,0
