...1,es_score,brier_score,location,target_date,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,other_95_CI,X22B_95_CI
241,4.99669213717229,0.378637522579428,CO,2023-01-03,0,1,1,1,0,1,0,0,1,1,1,0,1,0
242,2.19261288800674,0.4495501733858825,CO,2023-01-04,1,1,1,0,0,0,0,1,1,0,0,0,0,0
243,1.57169262130063,0.281885922317207,CO,2023-01-05,1,1,1,1,0,1,0,1,1,0,1,0,1,1
244,1.42423506193815,0.2450165012964265,CO,2023-01-06,1,1,0,1,0,1,1,1,1,0,1,0,1,1
245,1.07314657419146,0.4887379326362455,CO,2023-01-07,1,0,1,1,1,1,1,1,1,1,1,1,1,1
246,1.58592062400014,0.2777767078749255,CO,2023-01-08,1,1,0,1,0,1,1,1,1,0,1,0,1,1
247,1.61429301648509,0.3649525404333525,CO,2023-01-09,1,0,1,1,0,1,0,1,0,0,1,0,1,0
248,1.6967706000125,0.402338488434837,CO,2023-01-10,1,1,1,0,0,1,0,1,1,0,1,0,1,0
249,1.89008527085828,0.3951572286448375,CO,2023-01-11,0,0,1,1,1,1,0,0,0,1,1,0,1,1
250,1.3632425654719,0.4203109986132265,CO,2023-01-12,1,1,1,1,0,1,0,1,1,0,1,0,1,0
251,1.05788735142773,0.74917747769077,CO,2023-01-13,1,0,1,1,1,1,1,1,0,1,1,0,1,1
252,NA,NA,CO,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,2.83206727721474,0.2815123932257245,CT,2022-12-04,1,1,1,0,0,1,0,1,1,0,0,0,1,0
254,3.39958378687425,0.27782415145324,CT,2022-12-05,1,1,1,1,0,0,0,0,0,1,0,0,0,0
255,0.876307888783742,0.1457309658007185,CT,2022-12-06,1,1,0,1,1,1,1,0,1,0,1,0,1,1
256,2.36519983794164,0.344116028549981,CT,2022-12-07,1,1,0,1,1,0,0,0,0,0,0,0,0,1
257,3.52287182068611,0.394056905826799,CT,2022-12-08,1,1,0,1,0,1,1,1,0,0,0,0,1,0
258,2.36830060793924,0.3319379759217765,CT,2022-12-09,1,1,0,1,0,1,1,1,1,0,0,0,1,1
259,2.31309002487208,0.25923473414945,CT,2022-12-10,1,1,1,1,0,1,0,1,1,1,0,0,1,0
260,3.55253483823037,0.315564830345087,CT,2022-12-11,1,1,0,1,0,1,1,1,1,0,1,0,1,0
261,1.5643180524629,0.383252957364555,CT,2022-12-12,1,1,1,1,0,1,1,1,1,0,1,0,1,1
262,0.082582732170790707,0.05736637487359,CT,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
263,0.7556517019553,0.3766992444316385,CT,2022-12-14,1,1,1,1,0,1,1,1,1,1,1,0,1,0
264,0.0768095588584414,0.0545845832142405,CT,2022-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
265,3.21714905022146,0.413891037740348,CT,2022-12-16,1,1,0,1,0,1,1,1,1,0,1,0,1,1
266,11.1379531467992,0.555570358083225,CT,2022-12-17,1,1,0,1,0,1,1,1,1,0,0,0,1,0
267,10.8964558426158,0.500671148641165,CT,2022-12-18,0,1,0,1,0,1,0,0,1,0,0,0,1,0
268,10.2221753959699,0.4153293739273585,CT,2022-12-19,1,1,0,1,0,1,1,1,0,0,0,0,1,0
269,1.39805744330893,0.65418869387429,CT,2022-12-20,1,1,0,1,0,1,0,1,1,0,1,0,1,0
270,NA,NA,CT,2022-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,NA,NA,CT,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,4.59143807321215,0.3456347792245405,CT,2022-12-23,1,1,0,1,0,1,1,1,0,0,1,0,1,0
273,1.8780642844014,0.656449278312845,CT,2022-12-24,1,1,0,0,1,1,0,1,1,0,0,1,1,0
274,2.00118515554047,0.59775164960126,CT,2022-12-25,1,1,0,1,0,1,0,1,1,0,1,0,1,1
275,8.0417556470714,0.4190696882734275,CT,2022-12-26,1,1,0,0,0,0,1,1,1,0,0,0,0,0
276,2.36786212475384,0.51263637737895,CT,2022-12-27,1,1,0,1,0,1,1,1,1,0,1,0,1,1
277,1.40538700884787,0.3132521071209255,CT,2022-12-28,1,1,1,1,0,1,1,1,1,0,1,1,1,0
278,1.20672116190522,0.319655584120815,CT,2022-12-29,1,1,1,1,1,0,1,1,1,0,1,1,0,1
279,6.11332726925616,0.457090428924737,CT,2022-12-30,1,0,0,1,0,1,1,1,0,0,0,0,1,0
280,11.5493805436851,0.4154708955329695,CT,2022-12-31,1,1,0,1,0,0,1,1,0,0,1,0,0,1
281,0.974360490159567,0.689542069876885,CT,2023-01-01,1,1,1,0,1,1,1,1,1,1,0,0,1,1
282,12.4712466911821,0.369401475068233,CT,2023-01-02,1,1,0,1,0,1,0,1,0,0,0,0,1,0
283,2.70807713575021,0.4111705989578565,CT,2023-01-03,1,1,0,1,0,0,1,1,1,0,0,0,0,1
284,5.1763210315779,0.2860056197660545,CT,2023-01-04,1,1,0,1,0,1,1,1,1,0,0,0,1,1
285,2.27374822169569,0.2962227158040545,CT,2023-01-05,1,1,0,1,0,1,1,1,1,0,1,0,1,0
286,3.56553013877318,0.282633414389256,CT,2023-01-06,1,1,0,1,0,1,1,1,1,0,1,0,1,0
287,9.45300297130746,0.259050685112911,CT,2023-01-07,1,1,0,1,0,1,1,0,1,0,0,0,1,1
288,2.66074459276701,0.275201256720043,CT,2023-01-08,1,1,0,0,0,1,1,1,1,0,0,0,1,1
289,12.6580196242137,0.2767070281089305,CT,2023-01-09,1,0,0,1,0,0,0,1,0,0,1,0,0,0
290,1.08016260062325,0.214352540807921,CT,2023-01-10,1,1,1,1,1,1,1,1,1,0,1,0,1,1
291,0.898260381286846,0.32226529312599,CT,2023-01-11,1,1,1,1,1,1,0,1,1,0,1,0,1,0
292,0.713139839629007,0.2692561226165865,CT,2023-01-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
293,0.96696481298746,0.292898099582586,CT,2023-01-13,1,1,1,1,1,1,0,1,1,0,1,0,1,0
294,1.87180511134184,0.1580147639596935,CT,2023-01-14,1,1,0,1,0,1,1,1,1,0,1,0,1,0
295,1.64386091008018,0.091520220508367,DC,2022-12-04,1,1,0,1,1,1,0,1,0,0,1,1,1,1
296,2.33619094077794,0.50847497630218,DC,2022-12-05,1,1,0,0,1,1,1,0,1,0,0,1,1,0
297,2.21323452608267,0.555540285023745,DC,2022-12-06,1,1,0,0,0,1,1,1,1,0,0,0,1,1
298,2.6775391736642,0.0762154269637855,DC,2022-12-07,1,1,0,1,1,1,0,1,0,0,1,1,1,0
299,2.0270640614156,0.178526784780651,DC,2022-12-08,1,1,0,1,1,1,0,0,0,0,0,0,1,0
300,0.701228565937343,0.19455884812933,DC,2022-12-09,1,1,1,1,1,1,1,0,0,0,0,1,1,0
301,1.15741656813685,0.325517808569143,DC,2022-12-10,1,1,1,1,1,1,1,1,0,0,0,0,1,0
302,1.18485685630802,0.3908902409375575,DC,2022-12-11,1,0,1,0,1,1,1,1,0,0,0,1,1,0
303,1.48015130486131,0.314063666896738,DC,2022-12-12,1,1,1,1,1,1,0,1,1,1,1,0,1,0
304,1.02992148790099,0.288207104727773,DC,2022-12-13,1,1,1,1,1,1,1,1,1,0,0,0,0,0
305,0.640511173337385,0.207367235719476,DC,2022-12-14,1,1,1,1,1,1,1,1,0,0,1,1,1,1
306,1.49586139468612,0.3251629856331115,DC,2022-12-15,1,1,1,1,0,1,1,1,1,0,0,0,1,0
307,1.30663149272481,0.2296766238085215,DC,2022-12-16,1,1,1,1,0,1,0,1,1,0,0,0,1,0
308,2.29572899655328,0.306297753474493,DC,2022-12-17,1,1,1,0,1,1,1,1,1,0,0,0,1,1
309,1.95412107188719,0.4861586850829955,DC,2022-12-18,1,0,0,1,1,0,1,1,0,0,1,0,0,0
310,1.04953922370005,0.2316902091562975,DC,2022-12-19,1,1,1,1,1,1,1,1,0,0,0,1,1,0
311,3.30236952825069,0.361111936879589,DC,2022-12-20,1,1,0,1,0,1,1,1,0,0,1,0,1,1
312,3.11472259700882,0.3712010800978875,DC,2022-12-21,0,1,0,0,1,1,1,0,1,1,1,1,1,0
313,2.16886193379164,0.3250746623760715,DC,2022-12-22,1,1,0,1,0,1,1,1,1,0,0,0,1,0
314,0.904455920120489,0.2769062503721415,DC,2022-12-23,1,1,1,1,0,1,1,1,1,0,1,0,1,1
315,0.794453588718679,0.069827800856636,DC,2022-12-24,1,1,0,1,1,1,1,1,1,0,1,0,1,1
316,NA,NA,DC,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,0.657152936396384,0.292559380097777,DC,2022-12-26,1,1,1,1,1,1,1,1,1,0,1,0,1,0
318,2.17094055803394,0.2708916467752115,DC,2022-12-27,1,1,1,1,0,1,1,1,0,0,0,0,1,0
319,1.22758485401025,0.208775540285339,DC,2022-12-28,1,1,1,1,1,1,1,1,1,0,0,0,1,1
320,2.82696190340467,0.4448409818517095,DC,2022-12-29,1,1,0,1,1,1,0,1,1,0,0,1,0,0
321,1.03181333717693,0.262242467885829,DC,2022-12-30,1,1,1,1,0,1,1,1,1,0,1,0,1,1
322,0.564352580445928,0.273642495781416,DC,2022-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
323,0.215636568574203,0.148035715022587,DC,2023-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,0.926989402842817,0.3232658997694025,DC,2023-01-02,1,1,1,1,1,1,0,1,1,0,1,1,1,0
325,2.75154608388562,0.3765603191085775,DC,2023-01-03,1,0,0,0,1,1,1,1,0,0,0,0,1,1
326,1.18870672738841,0.311337426099543,DC,2023-01-04,1,1,1,1,1,0,1,1,1,1,1,0,0,1
327,1.54863109449387,0.2660855133842385,DC,2023-01-05,1,1,0,1,0,1,1,1,1,1,1,1,1,1
328,0.590723108354869,0.250875759365183,DC,2023-01-06,1,1,1,1,1,1,1,1,1,0,1,1,0,1
329,1.60891011872372,0.3564830219040605,DC,2023-01-07,1,1,1,1,1,0,0,1,0,0,0,0,0,0
330,2.38553850945722,0.4059457705828705,DC,2023-01-08,1,1,0,0,1,1,0,1,1,0,0,0,1,1
331,2.69143673455057,0.4553874722957845,DC,2023-01-09,1,0,0,1,0,0,0,1,0,0,1,0,0,0
332,1.95269213957093,0.4324824534891665,DC,2023-01-10,1,0,0,0,1,0,1,1,0,0,0,0,0,1
333,1.5958552482811,0.332242732362576,DC,2023-01-11,1,1,1,0,1,1,1,1,1,0,0,1,1,1
334,2.92187521583439,0.356579870055068,DC,2023-01-12,1,1,0,0,1,0,0,1,1,0,0,0,0,0
335,0.568653381448176,0.2758456409151215,DC,2023-01-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1
336,1.03959728712648,0.2462493435954145,DC,2023-01-14,1,1,1,0,1,1,1,1,1,1,0,0,1,1
337,0.784965814367785,0.2992362935331565,DE,2022-12-04,1,1,1,1,1,1,0,1,1,1,0,0,1,0
338,0.600161836669838,0.2310148161762955,DE,2022-12-05,1,1,1,1,1,1,1,1,1,1,0,1,1,0
339,0.338306519201149,0.0808713259772215,DE,2022-12-06,1,1,1,1,1,1,1,1,0,0,1,1,1,0
340,0.627777057197704,0.154890120321697,DE,2022-12-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,0.10415408518438,0.0719970029825535,DE,2022-12-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,2.25489296671862,0.4215177559371495,DE,2022-12-09,0,1,0,1,1,1,0,0,0,0,1,1,1,1
343,0.887151940370254,0.235205570284699,DE,2022-12-10,1,1,1,1,1,0,1,1,1,1,1,1,0,0
344,2.22838610588471,0.55792138371038,DE,2022-12-11,1,1,0,1,0,0,1,1,0,1,1,0,0,0
345,0.66162511306022,0.230238997144644,DE,2022-12-12,1,1,1,1,1,1,1,1,1,0,0,0,1,0
346,0.585726768473579,0.337418370194908,DE,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
347,0.441505582876191,0.1985112992882035,DE,2022-12-14,1,1,1,1,1,1,1,1,0,0,1,1,1,0
348,0.869429263079586,0.2205384063748935,DE,2022-12-15,1,1,1,1,1,1,0,1,1,1,0,1,1,0
349,1.03508452897294,0.2341597009951775,DE,2022-12-16,1,1,1,1,1,1,1,1,1,0,0,0,1,0
350,1.16340147805926,0.2431113992166955,DE,2022-12-17,0,1,1,1,1,1,1,0,1,0,1,1,0,0
351,2.32642227176392,0.3721663775379395,DE,2022-12-18,0,1,0,1,1,1,0,0,1,0,0,0,0,0
352,1.10645834547708,0.2742935450325565,DE,2022-12-19,1,1,1,1,1,1,1,1,0,0,0,0,1,1
353,0.250300487908146,0.056474843892741,DE,2022-12-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
354,0.820000670524572,0.3539087076832315,DE,2022-12-21,1,1,1,1,1,1,1,1,1,0,1,1,1,0
355,1.07408620410806,0.2477059468152035,DE,2022-12-22,1,1,1,1,1,0,1,0,1,1,1,0,0,0
356,1.14942546413089,0.2903966443034155,DE,2022-12-23,1,1,1,1,1,0,1,1,1,0,0,1,1,0
357,0.779361160005697,0.3487716808896235,DE,2022-12-24,1,1,1,1,1,1,1,1,1,0,1,1,1,0
358,2.02244854184408,0.4166746117755395,DE,2022-12-25,1,1,0,1,0,1,1,1,1,0,1,0,1,0
359,1.1996116746272,0.2121693519851505,DE,2022-12-26,1,1,1,1,1,0,1,1,0,0,1,1,1,1
360,0.371340856478999,0.1953464184615435,DE,2022-12-27,1,1,1,1,1,1,1,1,1,0,1,1,0,1
361,1.1635545240352,0.293845114280195,DE,2022-12-28,1,1,1,1,0,1,1,1,1,0,1,0,1,1
362,0.718627689338787,0.2925756568286745,DE,2022-12-29,1,1,1,1,1,1,1,1,0,0,1,0,1,1
363,1.40727335748171,0.2855541476732895,DE,2022-12-30,1,1,1,1,0,0,1,1,1,0,1,0,0,0
364,2.10225808632004,0.133409786821219,DE,2022-12-31,1,1,0,1,0,1,1,1,1,0,1,0,1,1
365,0.501937308278038,0.2678740337034945,DE,2023-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
366,0.837232835881593,0.2628085616212355,DE,2023-01-02,1,1,1,1,1,1,1,1,1,0,1,0,1,1
367,1.0063391669625,0.323851141650539,DE,2023-01-03,1,1,1,1,1,0,1,1,1,0,1,0,0,1
368,0.818636776188036,0.342177274115861,DE,2023-01-04,1,1,1,1,1,1,0,1,1,0,1,0,1,0
369,2.0233004591961,0.2766480171310465,DE,2023-01-05,1,1,0,1,0,1,1,1,1,0,1,0,1,1
370,1.92180513321172,0.2552702029167505,DE,2023-01-06,1,1,0,1,0,1,1,1,1,0,0,0,1,1
371,0.784362019395642,0.2475788602016775,DE,2023-01-07,1,1,1,1,1,1,1,1,1,0,1,0,1,1
372,0.9811191905796,0.305077459322365,DE,2023-01-08,1,1,1,0,1,1,1,1,1,0,0,1,1,1
373,1.85772129467226,0.335359878691406,DE,2023-01-09,1,1,0,1,1,1,0,1,1,0,1,0,1,0
374,0.943377488536737,0.414183226269926,DE,2023-01-10,1,0,1,1,1,1,1,1,0,0,1,1,1,1
375,0.354380740576039,0.2410231406924325,DE,2023-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
376,1.06316162831637,0.3345595438007295,DE,2023-01-12,1,1,1,1,1,1,0,1,1,1,1,1,1,1
377,1.12978750131009,0.315160087486736,DE,2023-01-13,1,0,1,1,1,1,1,1,1,0,0,0,1,1
378,1.30958146100053,0.147578174576671,DE,2023-01-14,1,1,0,1,0,1,1,1,1,0,1,0,1,1
379,8.54753962082857,0.169971419317824,FL,2022-12-04,1,0,0,1,1,1,0,0,0,0,1,0,0,0
380,2.74052622020658,0.3036490999672115,FL,2022-12-05,1,1,1,0,1,1,1,1,0,1,0,0,0,0
381,4.63761681103566,0.2525202603444285,FL,2022-12-06,1,0,1,1,0,0,1,0,0,0,0,0,0,0
382,3.55798552649699,0.2464794982686915,FL,2022-12-07,0,0,1,0,1,1,0,0,0,0,0,0,0,0
383,16.3572893275499,0.167952682965695,FL,2022-12-08,0,0,0,1,0,1,0,0,0,0,0,0,0,0
384,4.04808212137685,0.221429806818653,FL,2022-12-09,0,1,0,0,0,0,1,0,0,0,0,0,0,0
385,2.37792970713486,0.204342701899985,FL,2022-12-10,1,0,0,0,1,1,1,1,0,0,0,0,1,0
386,0.459392598495371,0.1688965704501055,FL,2022-12-11,1,1,1,1,1,1,1,1,0,0,0,0,1,0
387,6.66209716030767,0.374439198101893,FL,2022-12-12,1,1,0,0,1,0,0,1,0,0,0,0,1,0
388,3.99011056500208,0.209859535036532,FL,2022-12-13,1,1,0,0,0,0,1,1,1,0,0,0,0,0
389,5.76338881897199,0.295600035264006,FL,2022-12-14,1,0,0,0,1,1,0,0,0,0,0,0,0,0
390,5.29717819278532,0.2076078393674755,FL,2022-12-15,0,0,0,1,0,0,0,0,0,0,0,0,0,0
391,2.60940729993183,0.126318489440862,FL,2022-12-16,1,1,0,1,1,1,0,0,0,0,0,1,0,0
392,2.20033132167345,0.2381476093697505,FL,2022-12-17,1,0,1,1,0,0,1,1,0,1,0,0,1,0
393,0.792066028920029,0.140155858377884,FL,2022-12-18,1,1,1,1,1,1,1,1,1,0,1,1,1,0
394,3.8598988527625,0.30058497444195,FL,2022-12-19,1,1,0,0,0,1,1,1,0,0,0,0,0,0
395,4.72591345733464,0.274954384970898,FL,2022-12-20,1,1,1,0,1,0,1,1,0,0,0,0,0,0
396,13.3181403661149,0.2341765639575925,FL,2022-12-21,1,0,1,1,0,0,0,1,0,0,0,0,0,0
397,12.9751794166811,0.274402463259828,FL,2022-12-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
398,12.8173578516404,0.2288066793035325,FL,2022-12-23,1,0,0,1,0,0,0,1,0,0,1,0,0,0
399,0.551257549186523,0.069827800856636,FL,2022-12-24,1,1,1,1,1,1,1,1,1,0,0,1,1,1
400,0.966191285531718,0.68104758797999,FL,2022-12-25,1,1,1,1,1,1,0,1,1,1,0,1,1,0
401,0.864907687826835,0.236080448927002,FL,2022-12-26,1,0,1,1,1,1,1,1,0,0,0,0,1,1
402,9.98559009785238,0.3662880186300485,FL,2022-12-27,1,0,0,0,0,0,1,0,0,0,0,0,0,0
403,4.77181582882374,0.2883136260679355,FL,2022-12-28,1,1,1,1,0,1,0,0,0,0,0,0,1,0
404,2.9985664542475,0.3321126693316825,FL,2022-12-29,1,1,0,1,1,1,0,1,0,1,0,0,1,0
405,4.74318294243524,0.301342436581636,FL,2022-12-30,1,1,1,0,0,0,0,1,0,0,0,0,0,0
406,14.9034831414999,0.251908338583883,FL,2022-12-31,1,1,0,1,0,0,0,1,0,0,0,0,0,0
407,3.32371813343282,0.2460737751936465,FL,2023-01-01,1,1,0,1,0,1,1,1,0,0,0,0,1,0
408,41.2290424242448,0.2721643607375965,FL,2023-01-02,1,1,0,0,0,1,0,1,1,0,0,0,0,0
409,48.8762782593562,0.299852903369465,FL,2023-01-03,0,0,0,1,0,1,0,0,0,0,1,0,0,0
410,13.3643248449638,0.3235873498554035,FL,2023-01-04,1,0,1,0,0,0,0,0,0,0,0,0,0,0
411,8.37337109049232,0.3336490099960735,FL,2023-01-05,1,1,1,0,0,0,0,1,1,0,0,0,0,0
412,12.1837763840073,0.3264263827864515,FL,2023-01-06,1,0,1,0,0,0,0,0,0,0,0,0,0,0
413,16.4070565542214,0.3814537235079725,FL,2023-01-07,1,0,1,0,0,0,0,1,0,0,0,0,0,0
414,1.1039712827755,0.228326480061229,FL,2023-01-08,1,1,1,1,0,1,1,1,1,0,1,0,0,1
415,9.99456296597035,0.371824684727231,FL,2023-01-09,1,0,0,0,0,0,1,1,0,0,0,0,0,1
416,16.9521418298301,0.3917139464904775,FL,2023-01-10,1,0,0,0,0,0,0,1,0,0,0,0,0,0
417,11.2595582580177,0.344020434513698,FL,2023-01-11,1,1,1,0,0,0,0,1,1,1,0,0,0,0
418,14.1446307446144,0.343553022984726,FL,2023-01-12,1,0,1,0,0,0,1,1,0,0,0,0,1,0
419,23.9550424316865,0.352858735745525,FL,2023-01-13,1,0,0,0,0,1,0,1,0,0,0,0,1,1
420,10.2345720923995,0.347789466013992,FL,2023-01-14,0,1,0,1,0,0,0,0,0,0,1,0,0,0
421,1.58656149223988,0.2376118666714155,GA,2022-12-04,1,1,1,1,1,0,1,0,1,0,1,0,0,0
422,1.80673142524838,0.2733137519692295,GA,2022-12-05,1,0,1,1,1,1,1,1,0,0,0,1,0,0
423,1.92932102346115,0.2502749241105845,GA,2022-12-06,1,1,1,1,0,1,1,0,0,0,0,0,1,0
424,2.93047403892399,0.2757692286169645,GA,2022-12-07,1,0,1,1,0,1,0,1,0,0,0,0,0,0
425,2.44787652774335,0.2540423518958265,GA,2022-12-08,1,0,1,1,1,1,1,0,0,0,1,0,0,0
426,2.83233024666252,0.2391146567963155,GA,2022-12-09,0,0,1,1,1,1,1,0,0,0,0,1,1,0
427,2.14637964723629,0.1913840682465175,GA,2022-12-10,1,1,1,1,1,0,1,1,1,0,0,1,0,1
428,2.29791059738644,0.2783381583537085,GA,2022-12-11,1,1,1,1,1,0,0,0,1,0,0,0,0,0
429,2.75447191891522,0.2484432361316645,GA,2022-12-12,1,1,1,1,0,1,0,1,0,0,0,0,1,0
430,2.1996746757790002,0.288281398615493,GA,2022-12-13,1,1,0,1,1,1,0,0,0,0,1,0,1,0
431,2.29467574729187,0.147827240297505,GA,2022-12-14,1,1,0,1,1,0,1,1,1,0,0,0,0,0
432,4.42556997112978,0.1811373186726885,GA,2022-12-15,1,1,0,1,0,1,1,1,0,0,0,0,0,1
433,1.85048741739229,0.202332686488069,GA,2022-12-16,1,1,1,1,1,0,1,1,0,0,0,1,0,1
434,1.40546880131087,0.3247431187997565,GA,2022-12-17,1,1,1,1,1,0,0,1,1,0,1,1,0,0
435,3.09632651208717,0.199474817288798,GA,2022-12-18,1,1,1,1,0,0,1,0,1,0,1,0,0,0
436,4.79382456649848,0.2371968033949465,GA,2022-12-19,1,1,1,1,0,1,0,1,0,1,1,0,1,0
437,4.33207114511266,0.308828625183511,GA,2022-12-20,1,1,0,0,1,0,0,1,0,0,0,0,0,0
438,3.98496256144399,0.3562732456180345,GA,2022-12-21,1,1,0,0,0,1,0,1,0,0,0,0,1,0
439,4.47788200112743,0.1980420278038045,GA,2022-12-22,1,0,0,1,0,1,1,1,0,0,0,0,1,0
440,5.36684800214671,0.178851661396551,GA,2022-12-23,1,1,0,0,0,1,1,0,0,0,0,0,1,0
441,1.89707145973616,0.2450760623513555,GA,2022-12-24,1,1,1,1,0,1,0,1,1,1,0,0,0,0
442,0.808793627734913,0.252770744947068,GA,2022-12-25,1,1,1,1,1,1,1,1,0,0,0,0,1,1
443,9.29853868172372,0.223101656121173,GA,2022-12-26,1,0,0,0,0,0,0,1,0,0,0,0,0,0
444,6.70213275361602,0.2621783289730945,GA,2022-12-27,0,0,1,0,0,0,0,0,0,0,1,0,1,0
445,4.05611581322774,0.291020240207313,GA,2022-12-28,1,1,1,0,0,0,0,1,1,0,0,0,0,0
446,5.06675461044204,0.286971390678392,GA,2022-12-29,1,1,1,0,0,0,0,0,0,0,0,0,0,1
447,14.4428715229326,0.2789859985518035,GA,2022-12-30,1,1,0,1,0,0,0,1,0,0,1,0,0,0
448,5.15021056810331,0.2327905060598155,GA,2022-12-31,0,1,0,1,0,1,0,0,1,0,1,0,1,0
449,0.207278495713358,0.148035715022587,GA,2023-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
450,16.2544598612449,0.335931591400321,GA,2023-01-02,1,0,1,1,0,1,0,1,0,0,1,0,1,0
451,25.0756701694533,0.307098228712721,GA,2023-01-03,0,0,0,1,0,0,0,0,0,0,0,0,0,0
452,2.12997568815525,0.3244527426963705,GA,2023-01-04,0,1,1,0,0,1,1,0,0,0,0,1,1,0
453,17.2159682035383,0.3667554415603265,GA,2023-01-05,1,0,0,0,0,0,0,1,0,0,0,0,0,0
454,14.4851947072876,0.3423473771650195,GA,2023-01-06,0,0,0,1,0,0,0,0,0,0,1,0,0,0
455,11.2719432757625,0.335250794908318,GA,2023-01-07,1,1,0,1,0,0,0,1,0,0,0,0,0,0
456,8.45915665844145,0.4138954339575835,GA,2023-01-08,1,1,1,1,0,0,0,1,1,0,0,0,0,0
457,22.846393803379,0.394068534387824,GA,2023-01-09,1,1,0,0,0,0,0,1,0,0,0,0,0,0
458,8.68956379034756,0.4023259224417735,GA,2023-01-10,1,0,0,1,0,1,0,1,0,0,0,0,1,0
459,6.70423655303327,0.4057492603218375,GA,2023-01-11,1,0,1,1,0,0,0,1,0,0,0,0,0,0
460,10.9327607649726,0.4067826277316605,GA,2023-01-12,1,1,0,0,0,1,1,1,1,0,0,0,1,0
461,24.0311412886924,0.4209983228885955,GA,2023-01-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
462,8.27888500235959,0.361004627521561,GA,2023-01-14,1,1,0,0,0,1,0,1,1,0,0,0,1,0
463,0.963045425470157,0.150867669944021,HI,2022-12-04,1,1,0,1,1,1,1,1,0,0,1,1,1,0
464,NA,NA,HI,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,1.17606359973076,0.38354964515354,HI,2022-12-06,1,1,1,1,1,1,0,1,1,0,1,0,1,0
466,0.356722062622801,0.233564813679609,HI,2022-12-07,1,1,1,1,1,1,1,1,1,1,1,0,1,0
467,0.463274115440484,0.169834092886091,HI,2022-12-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
468,0.51190507090554,0.3209064620575855,HI,2022-12-09,1,1,1,1,1,1,1,1,0,1,1,1,1,0
469,0.99560284212838,0.2011354439338445,HI,2022-12-10,1,1,1,1,1,0,1,1,1,0,1,1,0,0
470,0.574241762360877,0.1510683207866355,HI,2022-12-11,1,1,1,1,1,1,1,1,1,0,0,1,1,1
471,0.577760511076543,0.333439637296325,HI,2022-12-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
472,1.02706680129585,0.722761715751925,HI,2022-12-13,1,0,1,1,1,1,1,1,0,0,1,1,1,1
473,0.079721905414857,0.0557470998698585,HI,2022-12-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
474,0.445501935395065,0.0545845832142405,HI,2022-12-15,1,1,1,1,1,1,1,1,1,0,1,1,1,0
475,0.0763801753359173,0.0538970587528445,HI,2022-12-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
476,NA,NA,HI,2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,NA,NA,HI,2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,NA,NA,HI,2022-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,0.642768153351976,0.3488111576479455,HI,2022-12-20,1,1,1,1,0,1,1,1,0,1,1,0,1,1
480,0.972600698851284,0.315075462631519,HI,2022-12-21,1,0,1,1,1,1,1,1,0,0,1,1,1,0
481,1.27578660181897,0.400305741241522,HI,2022-12-22,1,0,1,1,1,0,1,1,1,1,1,0,0,1
482,0.828407207803249,0.2301623733092495,HI,2022-12-23,1,0,1,1,1,1,1,1,0,1,1,0,1,1
483,NA,NA,HI,2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,NA,NA,HI,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
