"","es_score","brier_score","location","target_date","X22A_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23C_50_CI","other_50_CI","X22B_50_CI","X22A_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","other_95_CI","X22B_95_CI"
"120",0.550882299931735,0.715539372849661,"AR",2023-01-01,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"121",5.52040429639541,0.866125897203967,"AR",2023-01-02,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
"122",15.2702531765613,0.987591571171542,"AR",2023-01-03,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0
"123",28.4057820047154,1.00606895975069,"AR",2023-01-04,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
"124",12.8333790418544,1.1518497383332,"AR",2023-01-05,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
"125",5.99829256313773,1.24955525777503,"AR",2023-01-06,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
"126",4.17420691916412,1.22495045960333,"AR",2023-01-07,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
"127",4.40154627844432,0.55206031587655,"AZ",2022-11-27,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0
"128",3.69958487621461,0.539172625007655,"AZ",2022-11-28,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
"129",8.66019817047621,0.621895315278711,"AZ",2022-11-29,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0
"130",6.1313619875851,0.587186634904859,"AZ",2022-11-30,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0
"131",12.3706501094936,0.695744152062105,"AZ",2022-12-01,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"132",8.98120587480208,0.670484592864936,"AZ",2022-12-02,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
"133",1.7526804431749,0.547339316221141,"AZ",2022-12-03,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0
"134",4.80970897406739,0.588403343926646,"AZ",2022-12-04,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
