...1,es_score,brier_score,location,target_date,X22A_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,other_95_CI,X22B_95_CI
131,1.27886658145104,0.136705930917654,AZ,2022-09-01,1,0,1,0,0,0
132,1.14957719723287,0.083799925013201,AZ,2022-09-02,1,0,1,0,0,1
133,1.11357198193884,0.00975897094010005,AZ,2022-09-03,0,1,0,0,1,0
134,0.348474308533894,0.067005618768678,AZ,2022-09-04,1,1,1,1,1,1
135,1.44104468064666,0.1273165448707915,AZ,2022-09-05,1,0,0,0,0,1
136,2.64527109793068,0.157451441119193,AZ,2022-09-06,1,0,0,0,0,0
137,0.490145087919322,0.0539167723163565,AZ,2022-09-07,1,1,1,0,1,0
138,1.96620836808004,0.212358665415826,AZ,2022-09-08,0,1,0,0,1,0
139,3.85562492474303,0.235465696119748,AZ,2022-09-09,0,1,0,0,1,0
140,1.33908750296543,0.149698754731424,AZ,2022-09-10,1,0,0,0,0,0
141,0.373713102688576,0.05927998832155,AZ,2022-09-11,1,1,1,1,1,1
142,1.95398503539269,0.104309207900103,AZ,2022-09-12,1,0,1,0,0,0
143,1.00522733667391,0.109800363040525,AZ,2022-09-13,1,0,1,1,1,1
144,2.75293336813381,0.2024653220270875,AZ,2022-09-14,0,1,0,0,1,0
145,0.689332232312904,0.1179853738097095,AZ,2022-09-15,1,1,1,0,1,0
146,0.797880988882943,0.00687614874624785,AZ,2022-09-16,1,1,1,0,1,0
147,1.05606784110629,0.1236118817418255,AZ,2022-09-17,1,0,1,0,0,1
148,1.05031724061889,0.0900213515263445,AZ,2022-09-18,1,0,1,0,0,1
149,2.90097336154581,0.129668889945923,AZ,2022-09-19,1,0,0,0,0,0
150,1.14170003478959,0.0675623931026,AZ,2022-09-20,1,0,1,1,0,0
151,3.24787467080114,0.2015419626118275,AZ,2022-09-21,0,0,0,0,0,0
152,1.15998067177219,0.106506091656491,AZ,2022-09-22,1,0,1,1,0,0
153,1.30824823797273,0.005695628447401,AZ,2022-09-23,0,1,0,0,1,0
154,0.193965722811962,0.0055442070768473,AZ,2022-09-24,1,1,1,1,1,1
155,0.613903826673773,0.0951941784844365,AZ,2022-09-25,1,1,1,0,1,0
156,1.94375648399621,0.08278737181192,AZ,2022-09-26,1,0,1,0,0,1
157,3.00235973401956,0.1062652470327865,AZ,2022-09-27,1,0,1,0,0,0
158,1.31018531958807,0.115266868301271,AZ,2022-09-28,1,0,0,0,0,0
159,2.20937977628513,0.1560130518487445,AZ,2022-09-29,1,0,0,0,0,0
160,0.4562636509546,0.004715251818720425,AZ,2022-09-30,1,1,1,0,1,0
161,0.288737542228037,0.066340115595195,AZ,2022-10-01,1,1,1,1,1,1
162,4.4871367149013,0.3065676107229585,AZ,2022-10-02,1,0,0,1,0,0
163,7.85230740568875,0.1823026851106145,AZ,2022-10-03,1,0,0,0,0,0
164,2.77040531343288,0.190782761220031,AZ,2022-10-04,0,0,0,1,0,0
165,0.577071566146392,0.079914175535363,AZ,2022-10-05,1,1,1,0,1,0
166,0.941269959069163,0.1131808354118815,AZ,2022-10-06,1,1,1,0,1,0
167,1.67690145926078,0.138279884442438,AZ,2022-10-07,1,0,0,0,0,0
168,3.70233220608476,0.36680292764952,AZ,2022-10-08,0,0,0,0,0,0
169,16.2880404755207,0.0706463197900615,CA,2022-08-28,0,0,0,0,0,0
170,26.6375946327597,0.063933811963661,CA,2022-08-29,0,0,0,0,0,0
171,8.9977549366434,0.0791489242298595,CA,2022-08-30,0,0,0,0,0,0
172,4.75010401776432,0.095757210043394,CA,2022-08-31,0,0,1,0,0,0
173,5.85776974019076,0.0631442248724115,CA,2022-09-01,0,1,0,0,1,0
174,3.44748972777594,0.086109055806101,CA,2022-09-02,0,0,1,0,0,0
175,3.32247701291737,0.066914577020523,CA,2022-09-03,0,0,0,0,0,0
176,2.73356440949889,0.084401592714995,CA,2022-09-04,1,0,1,0,0,0
177,0.743040217321029,0.0751809918165355,CA,2022-09-05,1,1,1,0,1,0
178,14.4509430160014,0.071314306003055,CA,2022-09-06,0,0,0,0,0,1
179,4.15629591995581,0.103125535414193,CA,2022-09-07,1,0,0,0,0,0
180,1.93469170407379,0.100828158283049,CA,2022-09-08,1,1,1,1,0,0
181,5.34785595985561,0.083982689362764,CA,2022-09-09,0,0,1,0,0,0
182,6.34897744805829,0.0758762659912975,CA,2022-09-10,0,0,1,0,0,1
183,5.35743002588995,0.104478263535273,CA,2022-09-11,1,0,0,0,0,0
184,15.9509390495146,0.0782969084091445,CA,2022-09-12,0,0,1,0,0,1
185,6.65077965798742,0.0913780785654195,CA,2022-09-13,1,0,0,1,0,0
186,3.79280017229457,0.0896409330718835,CA,2022-09-14,1,0,1,0,0,0
187,3.22008963041817,0.0925903670472625,CA,2022-09-15,1,0,0,0,0,0
188,7.36854178335072,0.0814660644487485,CA,2022-09-16,0,0,1,0,0,0
189,7.87018560117255,0.1077475629072685,CA,2022-09-17,1,0,0,0,0,1
190,13.6051812823332,0.0939763584846885,CA,2022-09-18,0,0,0,0,0,0
191,11.0026790947099,0.087117822313423507,CA,2022-09-19,0,0,0,0,0,0
192,1.48128679850995,0.070210631984262,CA,2022-09-20,1,0,1,1,0,0
193,7.63948420781089,0.115386583661491,CA,2022-09-21,1,0,0,1,0,0
194,4.09959327501611,0.077915386340502,CA,2022-09-22,0,0,1,0,0,0
195,5.41485597534484,0.070929264813888,CA,2022-09-23,0,0,1,0,0,0
196,15.5209448460841,0.1215570702324725,CA,2022-09-24,0,0,0,1,0,0
197,8.69961173975498,0.117575728775425,CA,2022-09-25,1,0,0,0,0,0
198,19.2725605081025,0.0924680537940045,CA,2022-09-26,0,0,0,0,0,0
199,15.4401585131333,0.1308030301996425,CA,2022-09-27,1,0,0,0,0,0
200,3.56413878346122,0.096096626653427,CA,2022-09-28,1,0,0,0,0,0
201,14.7266946341005,0.1257229241853265,CA,2022-09-29,0,0,0,0,0,0
202,15.2812528118586,0.1556373920331395,CA,2022-09-30,0,0,0,0,0,0
203,15.5837463287484,0.1235861341866055,CA,2022-10-01,1,0,0,0,0,0
204,16.2930426500059,0.148853306316853,CA,2022-10-02,1,0,0,0,0,0
205,18.9436810954809,0.1356311173878125,CA,2022-10-03,0,0,0,0,0,0
206,14.4728161578591,0.1413041448743955,CA,2022-10-04,0,0,0,0,0,0
207,12.0575691469728,0.1396219914384065,CA,2022-10-05,0,0,0,0,0,0
208,10.9305173560345,0.177428341820419,CA,2022-10-06,0,0,0,0,0,0
209,17.8965860444679,0.1712858812241595,CA,2022-10-07,1,0,0,0,0,0
210,9.32602585535892,0.150700452506553,CA,2022-10-08,1,0,0,0,0,0
211,0.188024783319669,0.0114889993662016,CO,2022-08-28,1,1,1,0,1,0
212,0.344102281824956,0.071839768087324,CO,2022-08-29,1,1,1,0,1,0
213,0.84925021049667,0.01087830918982415,CO,2022-08-30,1,1,1,1,1,1
214,0.626026772150818,0.01058621174674075,CO,2022-08-31,1,1,1,0,1,0
215,0.0544504665626726,0.01030249471011925,CO,2022-09-01,1,1,1,1,1,1
216,0.286976497575038,0.098888946444666,CO,2022-09-02,1,1,1,1,1,1
217,0.408503807001048,0.00975897094010005,CO,2022-09-03,1,1,1,0,1,0
218,1.75195575356719,0.195290520521792,CO,2022-09-04,0,1,0,0,1,0
219,0.77251420435522,0.2784822353884385,CO,2022-09-05,1,1,1,1,1,1
220,2.90738091543757,0.174150693154761,CO,2022-09-06,0,0,0,0,0,0
221,1.4956640495321,0.008759908459424,CO,2022-09-07,0,1,0,1,1,1
222,0.426650460973909,0.00852704893178485,CO,2022-09-08,1,1,1,0,1,0
223,0.972696944472013,0.00830051378056725,CO,2022-09-09,1,1,1,1,1,1
