...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,other_95_CI,X22E_95_CI
166,5.4018898832193,0.267431880604571,AZ,2023-04-20,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
167,0.574966554888311,0.420415902334787,AZ,2023-04-21,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
168,0.967247760787108,0.146776403130594,AZ,2023-04-22,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
169,7.31203686167224,0.1499972367285425,CA,2023-03-12,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
170,9.57730274895112,0.170442916024589,CA,2023-03-13,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
171,7.27065625051654,0.134474881804458,CA,2023-03-14,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
172,8.34225305904403,0.133606877065308,CA,2023-03-15,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
173,2.30563190514038,0.0981595588832045,CA,2023-03-16,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
174,7.64116846760038,0.1540698975682285,CA,2023-03-17,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
175,3.07727916232736,0.133228431157262,CA,2023-03-18,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1
176,6.55001469368655,0.174930701699308,CA,2023-03-19,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0
177,1.66493932395303,0.061600736179925,CA,2023-03-20,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0
178,2.17206406034629,0.0902040716983275,CA,2023-03-21,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0
179,5.44025471490991,0.123922709154241,CA,2023-03-22,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
180,5.76824440280623,0.1375125088189105,CA,2023-03-23,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0
181,4.76589061416212,0.1345020663543145,CA,2023-03-24,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0
182,9.10864287541643,0.2377447376389385,CA,2023-03-25,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
183,5.71806528254843,0.174876333016652,CA,2023-03-26,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
184,2.33894153080508,0.0974004909348295,CA,2023-03-27,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1
185,1.80358686695312,0.0522696690596865,CA,2023-03-28,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0
186,8.38158807877889,0.202314314011351,CA,2023-03-29,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
187,1.86563768169712,0.0711335790815755,CA,2023-03-30,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
188,2.4176491786183,0.1194666516409725,CA,2023-03-31,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0
189,6.37234305372234,0.2003355315416575,CA,2023-04-01,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1
190,4.18644164188948,0.1683980985785755,CA,2023-04-02,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
191,5.28627277258755,0.157567767577448,CA,2023-04-03,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
192,3.63334356921417,0.083334590101599,CA,2023-04-04,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
193,5.31896192224785,0.163850460152418,CA,2023-04-05,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
194,8.40403001706766,0.203832705082343,CA,2023-04-06,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
195,4.69026504489067,0.1469508561431505,CA,2023-04-07,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
196,1.63294321035743,0.1300945712082525,CA,2023-04-08,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
197,1.33361033216591,0.078894222528342,CA,2023-04-09,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
198,10.8262303132945,0.1937689285352185,CA,2023-04-10,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
199,12.4088667924983,0.117883096227807,CA,2023-04-11,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0
200,7.6357045077669,0.212630529916524,CA,2023-04-12,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
201,9.0130620639823409,0.153522655419009,CA,2023-04-13,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
202,14.5742276782661,0.1011719927627845,CA,2023-04-14,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1
203,6.96094768425092,0.1625342655487155,CA,2023-04-15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
204,9.36077386079931,0.176510904048828,CA,2023-04-16,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
205,16.5761090289219,0.1765574114592695,CA,2023-04-17,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
206,12.0064042947822,0.170612010387251,CA,2023-04-18,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1
207,10.6012241425189,0.2438854642252755,CA,2023-04-19,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
208,11.40681112609,0.2424578036596915,CA,2023-04-20,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0
209,16.6270979374095,0.16921087199581,CA,2023-04-21,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1
210,7.03903995449609,0.3365359546170485,CA,2023-04-22,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
211,0.0232064368405127,0.00438334434212824,CO,2023-03-12,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
212,0.0206799511919578,0.004240230037677,CO,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,0.112970862387766,0.004130030973628685,CO,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,0.569086465078167,0.00405154409338309,CO,2023-03-15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
