...1,es_score,brier_score,location,target_date,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
166,3.4593078025144e-4,3.635108334030065e-6,AZ,2024-03-21,1,1,1,1,1,1,1,1
167,5.5974572684225e-5,3.22324642034166e-6,AZ,2024-03-22,1,1,1,1,1,1,1,1
168,3.8933299289147e-5,2.859518262747435e-6,AZ,2024-03-23,1,1,1,1,1,1,1,1
169,0.0125964850552877,5.3108027915252e-4,CA,2024-02-11,1,1,1,1,1,1,1,1
170,4.79091892365929,0.1105849506836295,CA,2024-02-12,1,0,0,1,1,0,0,0
171,3.59912280521917,0.088477251108179,CA,2024-02-13,0,0,0,1,0,0,0,0
172,1.66266325847894,0.03868926321017105,CA,2024-02-14,1,0,0,1,1,0,0,1
173,7.12139046117974,0.11787101521302,CA,2024-02-15,0,0,0,0,0,0,0,0
174,1.74294423513593,0.03649533701202785,CA,2024-02-16,1,1,0,1,1,1,0,0
175,0.895868244609891,0.0328825518502963,CA,2024-02-17,1,1,0,1,1,0,0,1
176,1.3979593268415,0.0544369193360955,CA,2024-02-18,1,0,0,1,1,0,0,0
177,1.20748863995761,0.0385204872563187,CA,2024-02-19,1,0,0,1,1,0,0,1
178,0.0480004188691429,1.62510003519615e-4,CA,2024-02-20,1,1,1,1,1,1,1,1
179,5.23639973931807,0.086662343260386,CA,2024-02-21,0,0,0,0,0,0,0,0
180,3.55584376685485,0.0644095283337255,CA,2024-02-22,0,0,1,0,0,0,1,0
181,3.4847256308486,0.064543262662155,CA,2024-02-23,1,0,0,0,1,0,0,0
182,2.22899591053331,0.0581177695009955,CA,2024-02-24,1,0,0,1,0,1,0,0
183,0.0847683797102354,8.4570869489615e-5,CA,2024-02-25,1,1,1,1,1,1,1,1
184,5.16022275353003,0.0781911044431525,CA,2024-02-26,1,0,0,0,1,0,0,0
185,8.57154271920999,0.116064296454855,CA,2024-02-27,1,0,0,0,0,0,0,0
186,5.43241388922127,0.0772821532098475,CA,2024-02-28,1,0,0,1,1,0,0,0
187,0.00316061475786558,5.0359137254195e-5,CA,2024-02-29,1,1,1,1,1,1,1,1
188,0.00508317267079729,4.42680985551063e-5,CA,2024-03-01,1,1,1,1,1,1,1,1
189,0.0344077754561206,3.89254967835755e-5,CA,2024-03-02,1,1,1,1,1,1,1,1
190,1.17812355997129,0.0451017064428731,CA,2024-03-03,1,0,0,1,1,1,0,0
191,4.26780154822833,0.090098215011788,CA,2024-03-04,1,0,0,0,1,0,0,0
192,6.7623391213972,0.116607560112684,CA,2024-03-05,1,0,0,0,1,0,0,0
193,3.10141219910647,0.059513115395872,CA,2024-03-06,1,0,0,0,1,0,0,0
194,5.97225661096294,0.120968531146863,CA,2024-03-07,1,0,0,0,1,0,0,0
195,2.06984014045901,0.052299876442512,CA,2024-03-08,0,0,1,0,0,0,1,0
196,2.67351627113749,0.141796090163011,CA,2024-03-09,1,0,1,0,1,0,1,0
197,2.65722871427461,0.116830241162198,CA,2024-03-10,1,0,1,0,1,0,1,0
198,2.73928225545813,0.198689013826062,CA,2024-03-11,1,0,1,0,1,0,1,0
199,3.4823374777561,0.110474467490075,CA,2024-03-12,1,0,0,0,1,0,0,0
200,5.346737965294,0.1136313345023025,CA,2024-03-13,1,0,1,0,1,0,1,0
201,4.8045513574485,0.120587884786898,CA,2024-03-14,1,0,0,0,1,0,0,0
202,1.24975972959988,0.0355683775379438,CA,2024-03-15,1,0,0,1,1,0,0,1
203,2.36205996511918,0.153172057337626,CA,2024-03-16,1,0,0,0,1,0,0,0
204,4.12531055833834,0.1756845973339105,CA,2024-03-17,1,0,1,0,1,0,1,0
205,3.58497480521705,0.124526727850964,CA,2024-03-18,1,0,0,0,1,0,0,0
206,6.5900179643069e-4,4.63044106741524e-6,CA,2024-03-19,1,1,1,1,1,1,1,1
