...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
163,2.58544771094808,0.0738593678379755,AZ,2023-04-03,1,0,0,1,1,1,1,0,0,1,1,1
164,3.64288768151664,0.195267280803013,AZ,2023-04-04,1,1,0,0,0,0,1,0,0,0,0,0
165,4.09836818957612,0.118672604486379,AZ,2023-04-05,1,0,0,1,1,0,1,0,0,1,1,1
166,0.880202321568109,0.080839860951207,AZ,2023-04-06,1,1,1,1,1,1,1,0,0,1,1,1
167,1.98036635409066,0.0983082514053825,AZ,2023-04-07,1,0,0,1,1,1,1,0,0,1,1,1
168,2.87428874420577,0.181121766354863,AZ,2023-04-08,1,0,0,0,1,1,1,0,0,0,1,1
169,2.6478261234091,0.149573102778154,CA,2023-02-26,1,0,1,1,1,0,0,0,1,0,1,0
170,14.5211558807102,0.2002636776671525,CA,2023-02-27,1,0,1,1,1,0,0,0,1,1,1,0
171,13.7020080749964,0.1773415519972135,CA,2023-02-28,1,0,0,0,1,0,1,0,0,0,0,0
172,16.9027717727792,0.160940991745615,CA,2023-03-01,0,0,0,1,0,0,0,0,0,0,0,0
173,12.3791673235664,0.142667096568778,CA,2023-03-02,1,0,1,0,0,0,0,0,1,0,0,0
174,19.0844262725808,0.159387576365869,CA,2023-03-03,1,0,1,0,0,0,0,0,1,0,0,0
175,7.81872008934343,0.133541213489588,CA,2023-03-04,0,0,1,0,0,1,0,0,1,0,0,0
176,1.27709771659959,0.055649587741276,CA,2023-03-05,1,1,1,1,0,1,1,0,1,0,0,0
177,6.44515918109221,0.174990537968298,CA,2023-03-06,1,0,1,1,1,0,1,0,0,0,1,0
178,11.8419297980619,0.1851302068880165,CA,2023-03-07,0,0,1,1,0,0,0,0,0,0,0,0
179,23.643959918466,0.186887554373679,CA,2023-03-08,0,0,1,0,0,0,0,0,1,0,0,0
180,4.13319644251438,0.0911709386847745,CA,2023-03-09,1,0,1,1,0,1,0,0,0,0,0,0
181,9.78921080482792,0.1309272141269755,CA,2023-03-10,1,0,1,0,0,0,1,0,0,0,0,0
182,2.71883318322166,0.0879903365726095,CA,2023-03-11,1,0,1,1,0,0,0,0,1,0,0,0
183,9.18564608632287,0.1521864717648015,CA,2023-03-12,1,0,1,0,0,0,0,0,1,0,0,0
184,11.6522051025601,0.1731005975312785,CA,2023-03-13,0,0,1,0,0,0,0,0,0,0,0,0
185,9.00195839665242,0.135956875271445,CA,2023-03-14,1,0,1,0,0,0,1,0,0,0,0,0
186,10.0454021641426,0.1361495904391775,CA,2023-03-15,0,0,1,1,0,0,0,0,1,0,0,0
187,4.30223999880889,0.09884777967259,CA,2023-03-16,1,0,1,1,0,1,1,0,0,0,0,0
188,9.44550835864725,0.156375619632457,CA,2023-03-17,0,0,0,0,0,0,0,0,0,0,0,1
189,3.83748641019327,0.134475619362396,CA,2023-03-18,0,0,1,0,0,1,0,0,0,0,0,0
190,7.50468469189597,0.1770567397489025,CA,2023-03-19,0,0,1,1,0,0,0,0,0,0,0,0
191,2.02244561788393,0.061674790604547,CA,2023-03-20,0,1,0,1,0,1,0,0,0,0,0,0
192,1.802888912611,0.08999627599934,CA,2023-03-21,0,1,1,1,0,1,0,0,0,0,0,0
193,6.86877123732316,0.1248294477374345,CA,2023-03-22,1,0,1,0,0,0,0,0,0,1,0,0
194,7.33404242669417,0.1389303687071335,CA,2023-03-23,0,0,0,0,0,0,0,0,0,0,0,0
195,6.33898705564332,0.1359761429522035,CA,2023-03-24,0,0,0,0,0,1,0,0,0,0,0,0
196,8.25692074898996,0.2359620720159015,CA,2023-03-25,0,0,1,1,0,0,0,0,0,0,0,0
197,5.22538026418325,0.1736065816163495,CA,2023-03-26,1,0,1,1,0,0,1,0,0,1,0,0
198,3.40220165527695,0.0981108843074205,CA,2023-03-27,0,1,0,1,0,1,0,0,0,0,0,1
199,3.54062420848222,0.055465484700199,CA,2023-03-28,1,0,0,1,1,1,0,0,0,0,1,0
200,6.69034404850156,0.1998757097202205,CA,2023-03-29,0,0,1,0,0,0,0,0,0,0,0,0
201,5.6557767144891,0.077815239644903,CA,2023-03-30,0,0,0,1,1,1,0,0,0,0,1,1
202,5.56628368290153,0.1249538320792225,CA,2023-03-31,0,1,0,1,0,0,0,1,0,0,0,0
203,7.9922817431589,0.2088069420009675,CA,2023-04-01,0,1,0,0,0,1,0,0,0,0,0,1
204,7.81466200300479,0.1791671987575195,CA,2023-04-02,0,1,0,0,0,1,0,0,0,0,0,0
205,11.9057183834462,0.1719303040291475,CA,2023-04-03,0,1,0,0,0,1,0,0,0,0,0,0
206,12.6572295449812,0.1135732403660645,CA,2023-04-04,0,0,0,1,0,1,0,0,0,0,0,0
207,15.9854552573293,0.190013123956738,CA,2023-04-05,0,1,0,0,0,1,0,0,0,0,0,0
208,16.9685804438097,0.234937309815952,CA,2023-04-06,0,1,0,0,0,1,0,0,0,0,0,1
209,18.826217690898,0.198598258789239,CA,2023-04-07,0,0,0,0,0,1,0,0,0,0,0,1
210,12.6692944129019,0.179311844931145,CA,2023-04-08,1,0,0,1,0,1,1,0,0,1,0,1
211,0.157098766308615,0.00907584312418925,CO,2023-02-26,1,1,1,1,1,1,1,0,1,0,1,1
212,0.405523962247486,0.063018008633421,CO,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
213,1.28504444450334,0.1578100960131245,CO,2023-02-28,0,0,1,1,1,1,0,0,1,1,1,0
214,1.1430636001160701,0.00667721482750825,CO,2023-03-01,1,0,1,1,1,1,1,0,1,1,1,0
215,0.340108149800823,0.00604523024891965,CO,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1
216,0.148162358779129,0.00548397574681605,CO,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
217,1.12637937147314,0.3097305188993225,CO,2023-03-04,1,0,1,1,0,1,1,0,1,1,0,1
218,0.173355553787561,0.004547692623869075,CO,2023-03-05,1,1,1,1,1,1,1,0,1,1,1,0
219,1.47715549876941,0.228746855842697,CO,2023-03-06,1,0,1,1,0,1,1,0,1,0,0,0
220,0.413488529567697,0.0716044474873635,CO,2023-03-07,1,1,1,1,1,1,1,0,1,0,0,0
221,0.468386337466645,0.084107671263047,CO,2023-03-08,1,1,1,1,1,1,1,0,1,1,1,0
222,0.0964947086010073,0.00327687839605894,CO,2023-03-09,1,1,1,1,1,1,1,0,1,1,1,0
223,0.0602309477337513,0.00306233844599935,CO,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
224,0.00357401465368445,0.00288405874288231,CO,2023-03-11,1,1,1,1,1,1,1,1,1,1,1,1
225,0.0144864333839675,0.0027407622608082,CO,2023-03-12,1,1,1,1,1,1,1,1,1,1,1,1
226,0.0144791097735481,0.00263198088047066,CO,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
227,0.0723407599672897,0.00255817710973242,CO,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1
228,0.406229858938458,0.002520916896106075,CO,2023-03-15,1,1,1,1,1,1,1,0,0,1,1,0
229,0.282152646346943,0.002523108485518295,CO,2023-03-16,1,1,1,1,1,1,1,0,0,1,1,1
230,0.923500042001908,0.1850765462539125,CO,2023-03-17,1,1,1,1,1,0,1,1,1,1,1,1
231,1.19199494095912,0.4590975016464695,CO,2023-03-18,1,0,1,1,1,0,1,1,1,0,1,0
232,0.872701458851834,0.154915133810138,CO,2023-03-19,1,1,1,1,1,0,1,0,1,1,1,0
233,0.383980150988689,0.003052983806658995,CO,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
234,0.679124370740108,0.115571166558721,CO,2023-03-21,1,1,0,1,1,1,1,0,0,1,1,1
235,4.75219679884441,0.509223850691955,CO,2023-03-22,0,0,1,0,1,0,0,0,1,0,1,1
236,0.779999391351802,0.1170702587064115,CO,2023-03-23,1,1,1,0,1,1,1,1,1,1,1,1
237,0.201745489557178,0.00513681829332115,CO,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
