"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","X23H_50_CI","recombinant_50_CI","other_50_CI","X23B_50_CI","X22F_95_CI","X23A_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","X23H_95_CI","recombinant_95_CI","other_95_CI","X23B_95_CI"
"161",1.46061429518849,1.11417714906961,"AZ",2023-10-07,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
"162",4.05984983571029,0.741372400482889,"AZ",2023-10-08,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0
"163",3.3333092270044,0.714491393840338,"AZ",2023-10-09,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1
"164",3.06755230036792,0.731175395204882,"AZ",2023-10-10,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
"165",0.847010802359177,0.618348638694265,"AZ",2023-10-11,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"166",0.64548163310829,0.916815156489252,"AZ",2023-10-12,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
"167",1.304614130029,1.24225528472518,"AZ",2023-10-13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0
"168",1.20204156219948,0.689112156352601,"AZ",2023-10-14,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"169",1.46144044303991,0.850092572187467,"CA",2023-09-03,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
"170",1.61841754365517,0.767982209859581,"CA",2023-09-04,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"171",4.95969828526415,0.850111792136688,"CA",2023-09-05,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1
"172",3.89776967567361,0.749618494334054,"CA",2023-09-06,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
"173",4.17571044341136,0.795362185973093,"CA",2023-09-07,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
"174",6.12547851915517,0.716003863542961,"CA",2023-09-08,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0
"175",2.85454718840019,0.766457381487987,"CA",2023-09-09,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0
