...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23I_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X23A_95_CI,X23B_95_CI,X23I_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
187,2.13890692291391,0.157482441735545,CA,2024-01-18,1,1,1,0,1,0,1,1,1,0,0,0
188,0.469530006513385,0.004096912842954495,CA,2024-01-19,1,1,1,1,1,1,1,1,1,1,1,1
189,0.746100083068772,0.073964228978919,CA,2024-01-20,1,1,1,1,0,1,1,1,1,1,1,1
190,1.61535673498936,0.262975029388192,CA,2024-01-21,1,1,0,0,1,0,1,1,0,0,1,0
191,0.709488108611473,0.070425348008039,CA,2024-01-22,1,1,1,1,1,1,1,1,1,0,0,1
192,0.371391477047878,0.002322391324610175,CA,2024-01-23,1,1,1,1,1,1,1,1,1,1,1,1
193,0.897636234634201,0.0876267265444955,CA,2024-01-24,0,1,1,1,1,1,0,1,1,1,1,0
194,4.03927239889263,0.156973972522396,CA,2024-01-25,1,1,0,0,0,0,1,1,0,0,0,0
195,3.48115419847878,0.1288641394245855,CA,2024-01-26,0,1,1,0,0,1,0,1,1,0,0,1
196,0.39238818429977,0.00130896796831405,CA,2024-01-27,1,1,1,1,1,1,1,1,0,0,1,1
197,0.772460120998089,0.046499418550258,CA,2024-01-28,1,1,1,1,0,1,1,1,1,0,0,1
198,4.08650174462685,0.0889971511558785,CA,2024-01-29,1,1,1,0,0,1,0,0,0,0,0,1
199,2.1135211550974,0.062631007770566,CA,2024-01-30,0,1,1,0,1,0,1,1,1,0,0,0
200,4.66459364672235,0.087346591339336,CA,2024-01-31,1,1,1,0,1,0,1,1,0,0,0,0
201,10.0701619935501,0.11209168277762,CA,2024-02-01,0,1,1,0,0,0,0,0,0,0,0,0
202,8.56170110055351,0.118123120694368,CA,2024-02-02,0,1,1,0,0,0,0,1,0,0,0,1
203,1.1806469919012,0.0440741382466897,CA,2024-02-03,1,1,1,1,1,0,1,1,0,0,1,0
204,0.812425881019032,0.03635765223297005,CA,2024-02-04,1,1,0,1,1,1,1,1,0,1,1,0
205,2.21501990118323,0.0665410291669,CA,2024-02-05,1,1,1,0,0,1,1,1,1,0,0,0
206,7.35126229308967,0.1019808891271535,CA,2024-02-06,1,1,0,0,0,0,1,1,0,0,0,0
