...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X23A_50_CI,X22E_95_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI,X23A_95_CI
59,NA,NA,AL,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1.22759105332531,0.50018440137445,AL,2023-07-05,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
61,0.611780245268152,0.4364754215723115,AL,2023-07-06,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,0.364516345876593,0.254073734919698,AL,2023-07-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,NA,NA,AL,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0.652992436655781,0.469452045429279,AL,2023-07-09,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,NA,NA,AL,2023-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.642812093048804,0.465854897844746,AL,2023-07-12,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
68,0.347621556689021,0.2421422534184515,AL,2023-07-13,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
69,0.651191251826197,0.4669281645265335,AL,2023-07-14,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
70,NA,NA,AL,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,0.696809284139466,0.4893276413125295,AL,2023-07-16,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
72,0.653551857095161,0.466529500303604,AL,2023-07-17,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
73,NA,NA,AL,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.339779968745053,0.237435351753757,AL,2023-07-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
