...1,es_score,brier_score,location,target_date,X24A_50_CI,X24B_50_CI,recombinant_50_CI,X24C_50_CI,X24D_50_CI,X24G_50_CI,other_50_CI,X24A_95_CI,X24B_95_CI,recombinant_95_CI,X24C_95_CI,X24D_95_CI,X24G_95_CI,other_95_CI
119,NA,NA,AR,2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,AZ,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1.34045277935608,0.2446257806932295,AZ,2024-04-15,1,0,1,1,1,1,1,0,0,1,1,1,1,1
129,0.491042990080704,0.1463101699625595,AZ,2024-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,0.762194276128114,0.162253653045015,AZ,2024-04-17,1,1,1,0,1,1,1,0,0,0,0,1,1,1
131,0.0250912315303985,0.0102052662125001,AZ,2024-04-18,1,1,1,1,1,1,1,0,1,1,1,1,1,0
132,0.0244904170417546,0.0105766416261421,AZ,2024-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,NA,NA,AZ,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,0.876111420362929,0.293986590078083,AZ,2024-04-21,1,1,1,0,1,1,1,0,1,1,0,1,1,1
135,0.844624742130068,0.2167672046451225,AZ,2024-04-22,1,1,0,1,1,1,1,0,0,1,1,1,1,1
136,0.298475458184639,0.01216861103616125,AZ,2024-04-23,1,1,1,1,1,1,1,0,0,1,1,1,1,1
137,NA,NA,AZ,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,0.105965842082632,0.013037025641504,AZ,2024-04-25,1,1,1,1,1,1,1,0,1,1,0,1,1,1
139,NA,NA,AZ,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,0.933810146329798,0.4294217432198345,AZ,2024-04-27,1,1,1,0,1,1,1,0,1,1,0,1,1,1
141,0.229750855958744,0.0144501682500862,AZ,2024-04-28,1,1,1,1,1,1,1,0,1,1,0,1,1,1
142,1.04701065477793,0.3351803715797185,AZ,2024-04-29,1,1,1,0,1,1,1,1,0,1,0,1,1,1
143,1.61490484519185,0.3442741648044245,AZ,2024-04-30,1,1,1,0,1,1,1,1,0,0,0,1,1,1
144,0.138198045234126,0.0160272484478535,AZ,2024-05-01,1,1,1,1,1,1,1,0,1,0,1,1,1,1
145,0.151094601728505,0.0165972366336512,AZ,2024-05-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,0.283374766322593,0.01719282896287005,AZ,2024-05-03,1,1,1,1,1,1,1,0,0,1,1,1,1,1
147,NA,NA,AZ,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,AZ,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,0.655570579760059,0.019158464009523,AZ,2024-05-06,1,1,1,1,1,1,1,0,1,0,1,1,1,1
150,0.485963456240598,0.01988296198095785,AZ,2024-05-07,1,1,1,1,1,1,1,0,0,1,0,1,1,1
151,0.809594869161681,0.102703083883942,AZ,2024-05-08,1,1,1,1,1,1,1,0,0,1,1,1,1,1
