"","es_score","brier_score","location","target_date","X23A_50_CI","X23B_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23H_50_CI","X23G_50_CI","X24A_50_CI","X23I_50_CI","other_50_CI","X23A_95_CI","X23B_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23H_95_CI","X23G_95_CI","X24A_95_CI","X23I_95_CI","other_95_CI"
"112",NA,NA,"AR",2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",0.544331719324552,0.786419626313062,"AR",2023-11-20,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"115",0.493684006255273,0.694851086182019,"AR",2023-11-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"116",NA,NA,"AR",2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,"AR",2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,"AR",2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0.470919370019745,0.707122237324807,"AR",2023-11-27,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
"122",1.50613362745675,1.15267539217097,"AR",2023-11-28,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1
"123",1.1680517374134,0.78791522114255,"AR",2023-11-29,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
"124",NA,NA,"AR",2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",0.257520737648067,0.322453779118544,"AR",2023-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126",NA,NA,"AR",2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2.17744048638612,0.663589643821245,"AZ",2023-10-22,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
"128",4.13357908163261,0.761330473040188,"AZ",2023-10-23,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
"129",2.62338838766173,0.586962631197007,"AZ",2023-10-24,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0
"130",1.14254372472581,0.646046498415783,"AZ",2023-10-25,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"131",0.264393759016329,0.363075182665322,"AZ",2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"132",1.45253298009054,0.663305086954121,"AZ",2023-10-27,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
"133",2.02014192581648,0.939063254556064,"AZ",2023-10-28,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1
"134",2.10649389323139,0.66298239182826,"AZ",2023-10-29,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1
"135",3.0836807044049,0.737378045818976,"AZ",2023-10-30,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
"136",1.83712046935142,0.718395513065724,"AZ",2023-10-31,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
"137",1.24057058204691,0.649811553713635,"AZ",2023-11-01,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
"138",2.48764458235988,0.707551304787833,"AZ",2023-11-02,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1
"139",1.89525979464165,0.802754913476255,"AZ",2023-11-03,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0
"140",0.814152621791856,0.764465782659848,"AZ",2023-11-04,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
"141",2.69502217758455,0.755910109826293,"AZ",2023-11-05,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"142",3.68818524727814,0.707904125355529,"AZ",2023-11-06,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0
"143",1.79620149645034,0.635271223847649,"AZ",2023-11-07,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
"144",2.6183144561524,0.764849124892721,"AZ",2023-11-08,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
"145",1.31328704562239,0.711173185352051,"AZ",2023-11-09,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1
"146",1.45326013126675,0.757940044786987,"AZ",2023-11-10,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1
"147",1.33901762332213,0.706993056373974,"AZ",2023-11-11,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0
"148",4.93452345094845,0.665990605721008,"AZ",2023-11-12,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
