...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23H_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23H_95_CI,X23G_95_CI,other_95_CI
108,0.358084898382397,0.236621359380966,AR,2023-10-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,1.2141113761689,0.582420791306365,AR,2023-10-25,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
110,NA,NA,AR,2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.310045311291297,0.27271217053496,AR,2023-10-27,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
112,NA,NA,AR,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.831280020956403,0.597553860669995,AR,2023-10-30,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
115,NA,NA,AR,2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,0.899876237667324,0.643690963413235,AR,2023-11-01,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
117,NA,NA,AR,2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.831607029560959,0.60279219816794,AR,2023-11-03,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
119,NA,NA,AR,2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1.9994289815272701,0.38206884609889,AR,2023-11-06,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
122,0.842118638552164,0.60778204622531,AR,2023-11-07,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
123,0.467273272829156,0.3492828694546675,AR,2023-11-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,NA,NA,AR,2023-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,6.44100729726839,0.38508959802747,AZ,2023-10-01,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
128,8.73869005827407,0.4256486509149235,AZ,2023-10-02,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
129,1.11872518904392,0.3232729809595125,AZ,2023-10-03,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
130,2.52425489920377,0.471659309496209,AZ,2023-10-04,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1
131,1.97189119642728,0.362230285032286,AZ,2023-10-05,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
132,2.18662428338716,0.402307302259034,AZ,2023-10-06,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1
133,1.46765475803809,0.56519116675968,AZ,2023-10-07,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1
134,2.69954718726654,0.3594222625931435,AZ,2023-10-08,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1
135,2.50391846939672,0.355372536086993,AZ,2023-10-09,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
136,2.56448354731455,0.3639155768261075,AZ,2023-10-10,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
137,1.01421537480986,0.320678294220692,AZ,2023-10-11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
138,0.575893840574652,0.4018123364058915,AZ,2023-10-12,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
139,1.28568817215836,0.61225062378647,AZ,2023-10-13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
