"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","recombinant_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","recombinant_95_CI","X23G_95_CI","other_95_CI"
"145",1.57632785606884,0.894949508710552,"AZ",2023-07-27,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
"146",1.02956519771067,0.774708799970455,"AZ",2023-07-28,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"147",0.697933988672157,0.775091300494362,"AZ",2023-07-29,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1
"148",5.3971943728102,0.772459034798274,"AZ",2023-07-30,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"149",1.64362250039207,0.815967549694934,"AZ",2023-07-31,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1
"150",2.07408019919151,0.780058697180758,"AZ",2023-08-01,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1
"151",1.84165384636568,0.761274742509756,"AZ",2023-08-02,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
"152",2.28446351090113,0.77258158871697,"AZ",2023-08-03,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1
"153",0.663908289499297,0.790807876014782,"AZ",2023-08-04,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
"154",2.03711575076485,0.789704362362646,"AZ",2023-08-05,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1
"155",1.00567438026956,0.775440641561663,"AZ",2023-08-06,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
"156",3.10208770121231,0.783582876147659,"AZ",2023-08-07,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1
"157",5.02703304772159,0.813658215280878,"AZ",2023-08-08,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1
"158",2.66536818435338,0.845560581243652,"AZ",2023-08-09,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1
"159",1.03997627741269,0.90993411075143,"AZ",2023-08-10,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
"160",0.89265390611171,0.886199161816104,"AZ",2023-08-11,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
