...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
100,5.55292681696617,0.45947088187928953,AR,2023-02-06,0,0,1,0,1,1,0,0,1,0,1,1
101,4.0327209725102,0.50043726195241,AR,2023-02-07,0,0,1,1,0,0,0,0,1,0,0,0
102,1.00070956132818,0.3279771891753875,AR,2023-02-08,0,1,1,1,1,1,0,0,1,0,1,0
103,0.435802253225546,0.2445511673755215,AR,2023-02-09,1,1,1,1,1,1,1,0,1,0,1,1
104,6.21653781462293,0.4689974728437025,AR,2023-02-10,0,0,1,1,1,1,0,0,1,0,1,1
105,NA,NA,AR,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,0.208382840951302,0.1490672795956565,AR,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1
107,2.98839773423051,0.54056348239196,AR,2023-02-13,0,0,1,1,1,1,0,0,1,1,0,1
108,5.07353689913825,0.4801593006516275,AR,2023-02-14,0,0,1,1,1,1,0,0,1,0,1,1
109,1.86279924601343,0.2873175258886785,AR,2023-02-15,1,0,1,0,1,1,1,0,1,0,1,1
110,2.40106617403682,0.2831767115804765,AR,2023-02-16,1,0,1,0,1,1,1,0,1,0,0,1
111,2.91670052380385,0.295695098248533,AR,2023-02-17,1,0,1,0,1,1,1,0,1,0,1,1
112,0.200120106712076,0.251612409905724,AR,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1
113,0.924252937671093,0.263950390389282,AR,2023-02-19,1,1,1,0,1,1,1,0,1,0,1,1
114,1.03332592824566,0.3294909229218245,AR,2023-02-20,0,1,1,1,1,1,0,0,1,1,1,1
115,4.58637781327412,0.3239080117729155,AR,2023-02-21,1,0,1,0,0,1,1,0,1,1,0,1
116,1.01283884490596,0.2961407118029105,AR,2023-02-22,0,1,1,1,1,1,0,0,1,0,1,1
117,1.39619612790504,0.229236021834188,AR,2023-02-23,1,1,1,0,1,1,1,1,1,1,1,1
118,1.28376961190407,0.2233686967777535,AR,2023-02-24,1,1,1,0,1,1,0,0,1,0,1,1
119,NA,NA,AR,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,0.28798302112258,0.2283625893695795,AR,2023-02-26,1,1,1,1,1,1,1,1,1,1,1,1
121,1.93874142403133,0.3034307134893865,AR,2023-02-27,0,1,1,1,1,1,0,0,1,0,1,1
122,2.02773985464924,0.445191041403,AR,2023-02-28,1,0,1,1,1,0,1,0,1,1,1,0
123,1.72400625385118,0.133961157988459,AR,2023-03-01,1,0,1,0,1,1,1,0,1,0,1,1
124,0.504847779918717,0.1239897114082345,AR,2023-03-02,1,1,1,1,1,1,1,0,1,0,1,1
