...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
129,7.57383197845232,0.3087793476290985,AZ,2022-11-29,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
130,5.00495381766284,0.290569829047738,AZ,2022-11-30,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1
131,10.7039048560249,0.34406196395145,AZ,2022-12-01,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1
132,7.70148012856883,0.3325916522445355,AZ,2022-12-02,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1
133,1.76736315152037,0.273286426990867,AZ,2022-12-03,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
134,4.02780963993354,0.2920678659802325,AZ,2022-12-04,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1
135,13.7253336095961,0.314778098998634,AZ,2022-12-05,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0
136,4.80901107839973,0.2878973460873255,AZ,2022-12-06,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
137,5.19936942943813,0.2618270238650535,AZ,2022-12-07,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
138,2.09780973793734,0.2384485052358355,AZ,2022-12-08,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1
139,4.00083929337472,0.271214795356616,AZ,2022-12-09,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
140,2.76182310596051,0.301004833325089,AZ,2022-12-10,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
141,2.02797181254241,0.2113462545333935,AZ,2022-12-11,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1
142,7.00348940018976,0.296588295438559,AZ,2022-12-12,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
143,6.68190437835711,0.283200801721105,AZ,2022-12-13,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
144,2.96539533337193,0.2399268284306815,AZ,2022-12-14,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
145,4.45738120188415,0.2664639862495465,AZ,2022-12-15,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1
146,2.45576357801539,0.2381190683489615,AZ,2022-12-16,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0
147,2.90493005427229,0.308240089242291,AZ,2022-12-17,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
148,1.94025687455406,0.218486669075197,AZ,2022-12-18,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0
149,7.16716496680006,0.2482078636845785,AZ,2022-12-19,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0
150,6.7468172367349,0.308516097521781,AZ,2022-12-20,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1
151,5.78436209875089,0.2975762081153575,AZ,2022-12-21,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1
152,1.4500809445258,0.19701871427546,AZ,2022-12-22,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
153,1.79881110448398,0.2450819181182795,AZ,2022-12-23,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0
154,0.852247916054123,0.23668535036695,AZ,2022-12-24,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1
155,0.0438496430398438,0.0334568043991148,AZ,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
156,3.07926970509094,0.24353547669996,AZ,2022-12-26,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0
157,4.80220992195902,0.205463224659189,AZ,2022-12-27,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1
