...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,other_95_CI
165,4.78203624870745,0.2157631944110125,AZ,2022-09-21,0,0,0,0,0,0
166,2.23591594663398,0.1105632479714355,AZ,2022-09-22,0,0,0,1,0,0
167,0.280003698299794,8.2918292945468e-4,AZ,2022-09-23,1,1,1,0,0,1
168,0.0400948414446036,7.8653817758711e-4,AZ,2022-09-24,1,1,1,1,1,1
169,3.90059494962337,0.0763582299777295,CA,2022-08-14,1,1,0,0,0,0
170,9.07087566107544,0.088906853481238,CA,2022-08-15,1,0,0,0,0,0
171,5.57310750214389,0.0788460245063105,CA,2022-08-16,1,1,0,0,0,0
172,8.66550668317429,0.094940754877983,CA,2022-08-17,1,0,0,0,0,0
173,2.965470666019,0.062523120516642,CA,2022-08-18,1,1,0,0,0,0
174,3.45691984791172,0.075301695411804,CA,2022-08-19,1,1,0,0,0,0
175,3.45374663244031,0.066035478515861,CA,2022-08-20,1,1,0,0,0,0
176,8.08811306191076,0.097722222056441,CA,2022-08-21,1,0,0,0,0,0
177,7.09632485545622,0.0643681452956595,CA,2022-08-22,1,1,0,0,1,0
178,6.95047620230768,0.0787416862411265,CA,2022-08-23,1,0,0,0,0,0
179,5.17200626567314,0.0638642110379195,CA,2022-08-24,1,1,0,0,0,0
180,2.17596968946218,0.0378737734409455,CA,2022-08-25,1,1,1,1,1,1
181,4.2747080730712,0.074899870440915,CA,2022-08-26,1,1,0,0,0,0
182,11.8398694253809,0.1096954211910555,CA,2022-08-27,0,0,0,0,0,1
183,7.42894886384949,0.0692062398502705,CA,2022-08-28,1,0,0,0,0,0
184,8.16208276534738,0.0611760272286605,CA,2022-08-29,1,1,0,0,0,0
185,8.17120822431271,0.078950616041343,CA,2022-08-30,0,0,0,0,0,0
186,10.3783288438193,0.097643633661282,CA,2022-08-31,0,0,0,0,0,0
187,3.85187128994989,0.062288536831927,CA,2022-09-01,0,0,1,0,0,1
188,6.81341693245356,0.0872113501524555,CA,2022-09-02,0,0,0,0,0,0
189,2.52822242298012,0.0662919419980835,CA,2022-09-03,1,0,0,0,0,0
190,11.3393649535422,0.086394972052704,CA,2022-09-04,0,0,0,0,0,0
191,1.84425800124546,0.0765345287081545,CA,2022-09-05,0,0,1,0,0,1
192,9.9212703437985,0.0708338980851545,CA,2022-09-06,1,0,0,0,0,0
193,14.8255465919705,0.1071261342439435,CA,2022-09-07,0,0,0,0,0,0
194,8.44136360924373,0.1059117801462815,CA,2022-09-08,0,0,1,0,0,1
195,8.07882977431725,0.085047933989021,CA,2022-09-09,0,0,0,0,0,0
196,7.88244826406342,0.076212322387017,CA,2022-09-10,0,0,0,0,0,0
197,18.2068258341465,0.109155800369288,CA,2022-09-11,0,0,0,0,0,0
198,20.2721625089566,0.079019120157228,CA,2022-09-12,0,0,0,0,0,0
199,24.135095926463,0.0944641383428885,CA,2022-09-13,0,0,0,0,0,0
200,8.70047818337483,0.0919575007824855,CA,2022-09-14,0,0,0,0,0,0
201,12.6824302783437,0.096150065544175,CA,2022-09-15,0,0,0,0,0,0
202,11.7470661199125,0.082717107380862,CA,2022-09-16,0,0,0,0,0,0
203,20.7608620201061,0.112674529892957,CA,2022-09-17,0,0,0,0,0,0
204,18.5170982482458,0.0957063513334575,CA,2022-09-18,0,0,0,0,0,0
205,21.0104403062805,0.0892819011826665,CA,2022-09-19,0,0,0,0,0,0
206,6.47195312990549,0.0720522625182205,CA,2022-09-20,0,0,0,0,0,0
207,15.3080961307628,0.1206981118578815,CA,2022-09-21,0,0,0,0,0,0
208,5.95390689887642,0.0790934999969645,CA,2022-09-22,0,0,0,0,0,0
209,10.3978773265898,0.072127080317644,CA,2022-09-23,0,0,0,0,0,0
210,21.9279070004927,0.1256452863152825,CA,2022-09-24,0,0,0,0,0,0
