...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
187,8.79881687049619,0.206242706802025,CA,2023-04-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188,4.65974708228894,0.147187883243841,CA,2023-04-07,1,0,1,1,0,0,0,0,0,0,1,0,0,0
189,1.91695794396862,0.1296651321737325,CA,2023-04-08,1,1,1,1,1,1,0,1,1,0,1,0,1,0
190,0.931090740079792,0.0736294674586705,CA,2023-04-09,1,1,1,1,1,1,1,1,1,0,1,1,0,1
191,10.8692284251553,0.1946986294260475,CA,2023-04-10,0,1,0,0,0,0,0,0,1,0,0,0,0,0
192,7.05971005650694,0.1119214576526475,CA,2023-04-11,1,0,1,1,0,0,0,1,0,0,1,0,0,0
193,7.8617318930703,0.2142163122386185,CA,2023-04-12,0,0,0,1,0,1,0,0,0,0,1,0,0,0
194,4.92818099687249,0.1472184011932675,CA,2023-04-13,1,0,1,1,1,0,0,1,0,0,1,0,0,0
195,7.72005988985999,0.0860853163807095,CA,2023-04-14,1,1,0,1,1,0,0,1,0,0,0,0,0,0
196,3.77274224569552,0.150744717904494,CA,2023-04-15,0,0,1,0,0,0,1,0,0,0,0,0,0,1
197,6.09015175229779,0.161855940481629,CA,2023-04-16,1,0,1,0,0,0,1,1,0,0,0,0,0,1
198,8.07741187133286,0.158702147006425,CA,2023-04-17,1,0,1,0,1,0,0,1,0,0,0,0,0,0
199,5.93568492265524,0.1449889752757595,CA,2023-04-18,1,1,0,0,1,0,0,1,1,0,0,1,0,0
200,7.17915211328084,0.226977042490678,CA,2023-04-19,1,1,1,1,0,0,0,1,1,0,0,0,0,0
201,6.05092821644182,0.2202059399324425,CA,2023-04-20,0,0,1,1,0,0,0,0,0,0,1,0,0,0
202,9.29907097301825,0.1158536377027605,CA,2023-04-21,1,0,0,1,1,0,0,1,0,0,1,0,0,0
203,5.55564724605432,0.324498198387733,CA,2023-04-22,0,1,0,0,0,0,0,0,1,0,0,0,0,0
204,0.758265066537842,0.2441447608072075,CA,2023-04-23,1,1,1,1,1,1,1,1,1,1,1,0,0,1
205,4.12600138879412,0.1825823103751205,CA,2023-04-24,1,1,0,0,1,0,0,1,1,0,0,0,0,0
206,16.6069109288049,0.2808149760126515,CA,2023-04-25,1,0,1,1,0,0,0,1,0,0,1,0,0,0
207,22.4592673760022,0.207701187315023,CA,2023-04-26,1,0,0,1,0,0,0,0,0,0,1,0,0,0
208,19.750509348413,0.2267109274604515,CA,2023-04-27,1,0,0,1,0,0,0,1,0,0,1,1,0,0
209,14.5373984766249,0.2401127438533755,CA,2023-04-28,0,0,0,1,1,0,0,0,0,0,1,0,0,0
210,13.5605734829328,0.324907463128058,CA,2023-04-29,0,0,1,1,0,0,0,0,0,0,1,0,0,0
211,1.03516393659374,0.1590143412448215,CO,2023-03-19,0,1,1,1,1,1,1,0,1,0,1,1,1,1
212,0.170815250581501,0.001295481559734225,CO,2023-03-20,1,1,1,1,1,1,1,1,1,0,1,0,1,1
213,1.01763109854682,0.120188226808104,CO,2023-03-21,1,1,1,1,1,0,1,1,1,0,1,1,0,1
214,5.0104761362093,0.52327890233953,CO,2023-03-22,0,0,0,1,0,1,1,0,0,0,1,0,1,1
215,0.854291872204275,0.117700947413633,CO,2023-03-23,1,1,1,1,0,1,1,1,1,0,1,0,1,1
216,0.0676780173806373,0.00135136635730759,CO,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,0.00177530471542117,0.00138201554597658,CO,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218,0.959861091983394,0.187065950856647,CO,2023-03-26,1,1,0,1,0,1,1,1,1,0,1,0,1,1
219,0.0653975708691009,0.00146405607293077,CO,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,0.0487266734584625,0.001516018945545175,CO,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,0.0775854324303872,0.00157581886425666,CO,2023-03-29,1,1,1,1,1,1,1,1,1,0,1,0,0,1
222,0.0490194350489047,0.00164399218192688,CO,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,NA,NA,CO,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,0.00284551082568628,0.0018081845409696,CO,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,NA,NA,CO,2023-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.838104608404653,0.1545912519158645,CO,2023-04-03,1,1,1,1,0,1,1,1,1,0,1,0,1,1
227,0.0142227301700558,0.0021378682663042,CO,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228,0.00449545963983029,0.002274804538952465,CO,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229,0.124261208193807,0.00242782719380879,CO,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230,NA,NA,CO,2023-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,0.00523971780873252,0.002789967029086715,CO,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
