"","es_score","brier_score","location","target_date","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23D_50_CI","X23B_50_CI","other_50_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23D_95_CI","X23B_95_CI","other_95_CI"
"129",1.00434745509275,0.111775086729242,"AZ",2023-03-07,1,1,1,1,1,1,0,1,0,0,1,0
"130",0.804554930318189,0.44074149843301,"AZ",2023-03-08,0,1,1,1,1,1,0,1,1,0,1,1
"131",0.138569515096563,0.0106459956438037,"AZ",2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
"132",0.0825893921586099,0.00963613711817064,"AZ",2023-03-10,1,1,1,1,1,1,0,1,0,1,1,1
"133",1.5366791174677,0.360391770750749,"AZ",2023-03-11,0,1,0,1,1,1,0,1,0,1,1,1
"134",0.817052488177018,0.146007316014965,"AZ",2023-03-12,1,1,1,0,1,1,0,1,0,0,1,1
"135",4.77489931432947,0.310390982036439,"AZ",2023-03-13,0,1,0,1,1,0,0,1,0,1,1,0
"136",0.708778456148183,0.158464845357172,"AZ",2023-03-14,1,0,1,1,1,1,0,0,1,1,1,1
"137",1.35326229338241,0.233892837404556,"AZ",2023-03-15,1,1,0,0,1,1,0,0,1,1,1,1
"138",0.290203959354203,0.0055880292557289,"AZ",2023-03-16,1,1,1,1,1,1,1,0,0,1,1,1
"139",2.09940308197118,1.23404523137888,"AZ",2023-03-17,1,0,0,0,1,1,1,0,0,1,1,1
"140",2.4613723161145,1.22382835895673,"AZ",2023-03-18,0,1,0,1,1,1,0,1,0,0,1,1
"141",2.74705753577135,0.357037808413148,"AZ",2023-03-19,0,1,0,1,1,0,1,0,1,0,1,1
"142",2.76093702706918,0.18504966386608,"AZ",2023-03-20,0,1,0,1,1,1,0,1,0,0,1,1
"143",2.09887992201705,0.351957412061568,"AZ",2023-03-21,1,0,0,0,1,1,0,0,0,0,1,1
"144",1.07883145923175,0.199571820702542,"AZ",2023-03-22,1,0,1,1,1,1,0,0,0,1,1,1
"145",0.890280190226557,0.235944423395906,"AZ",2023-03-23,0,1,1,1,1,1,1,1,1,1,1,1
"146",0.0678456058697109,0.00340223125028415,"AZ",2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
"147",0.00215803333023655,0.00328414795765955,"AZ",2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
"148",1.3129546306079,0.211524340711649,"AZ",2023-03-26,0,0,0,1,1,1,0,0,1,0,1,1
