...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,recombinant_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,recombinant_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI
135,1.4956673310547,0.2991488067358195,AZ,2023-05-29,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
136,1.64548380299158,0.35635257121052,AZ,2023-05-30,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
137,1.69477900134613,0.2300648258091905,AZ,2023-05-31,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0
138,2.05736070959827,0.41145256635136,AZ,2023-06-01,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
139,0.805213752675243,0.2961740680309385,AZ,2023-06-02,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
140,0.831600762015097,0.216231256717393,AZ,2023-06-03,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
141,0.911326731178348,0.2096932214162175,AZ,2023-06-04,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
142,0.692732383841962,0.236646710678294,AZ,2023-06-05,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1
143,1.1882435600055,0.3715470192598435,AZ,2023-06-06,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
144,1.08038878274013,0.2940338234208985,AZ,2023-06-07,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0
145,1.63084417225471,0.378634749677591,AZ,2023-06-08,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1
146,1.23793959346453,0.396978477428388,AZ,2023-06-09,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1
147,0.986256409357289,0.4236276069017655,AZ,2023-06-10,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
148,1.16293806427455,0.234155378136145,AZ,2023-06-11,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
149,1.27787014099298,0.348711471878298,AZ,2023-06-12,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
150,2.53492230018825,0.463094364265921,AZ,2023-06-13,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
151,2.48294673023033,0.318325653873004,AZ,2023-06-14,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
152,1.36565737474131,0.6528666913951,AZ,2023-06-15,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0
153,1.07106158018311,0.259178870390622,AZ,2023-06-16,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
154,0.58126251902194,0.3573241813732145,AZ,2023-06-17,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
155,7.00521222820283,0.481659032576074,AZ,2023-06-18,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1
156,4.18347421088838,0.4082068652028415,AZ,2023-06-19,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
157,3.64006114839608,0.4746401995025585,AZ,2023-06-20,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1
