...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
173,13.5617986454651,0.121431888934293,CA,2022-08-04,0,0,1,0,0,1,0,0
174,3.8776705096567,0.121693405246592,CA,2022-08-05,1,0,1,0,0,0,0,0
175,6.77332974075759,0.122718223819333,CA,2022-08-06,0,0,1,0,0,0,0,0
176,3.50325225841721,0.070338686790878,CA,2022-08-07,1,1,1,0,0,1,1,0
177,13.6272776380956,0.141421295091613,CA,2022-08-08,0,0,1,0,0,0,0,0
178,4.39349406962555,0.0959847615408825,CA,2022-08-09,1,1,1,0,0,0,0,1
179,5.97063342897078,0.091751326812205,CA,2022-08-10,1,1,1,0,0,0,0,0
180,8.54547935747394,0.1021158625938235,CA,2022-08-11,1,0,0,0,0,0,0,0
181,7.2634493100904,0.0880371165192435,CA,2022-08-12,1,1,1,0,0,0,0,0
182,7.99088084529904,0.097839092619678,CA,2022-08-13,1,0,0,0,0,0,1,0
183,3.74263797673023,0.0764366639943525,CA,2022-08-14,1,1,1,0,0,0,0,0
184,9.28145908098776,0.089163878550219,CA,2022-08-15,1,0,1,0,0,0,0,0
185,5.78795455388183,0.0789950495839775,CA,2022-08-16,1,1,1,0,0,0,1,0
186,9.98301730850561,0.09528457958787,CA,2022-08-17,0,0,0,0,0,0,0,0
187,3.01926967479647,0.062502625190387,CA,2022-08-18,1,1,1,0,0,1,0,0
188,4.02055475766266,0.075505011640373,CA,2022-08-19,1,1,1,0,0,0,0,0
189,3.08498329909075,0.066035409757425,CA,2022-08-20,1,1,0,0,0,0,0,0
190,8.25748125631316,0.0981465503159285,CA,2022-08-21,1,0,0,0,0,0,0,0
191,7.53028234624947,0.064454390792375,CA,2022-08-22,1,1,1,0,1,0,0,0
192,8.85268128136934,0.0790819238028115,CA,2022-08-23,0,0,1,0,0,0,0,0
193,5.27364574963935,0.0639528623951525,CA,2022-08-24,1,1,1,0,0,0,0,0
194,1.94293730501388,0.0376948854390728,CA,2022-08-25,1,1,1,1,0,0,1,1
195,5.12928139882876,0.0751774397981685,CA,2022-08-26,1,0,1,0,0,0,0,0
196,13.5157148157328,0.1104914934306925,CA,2022-08-27,0,0,1,0,0,0,0,0
197,8.7313532467882,0.0694486662701475,CA,2022-08-28,0,0,0,0,0,0,0,0
198,7.49815682106225,0.0612758839146705,CA,2022-08-29,1,0,1,0,0,0,0,0
199,8.80144793708492,0.0793580026716235,CA,2022-08-30,0,0,1,0,0,0,1,0
200,11.6185610964418,0.09829062826765,CA,2022-08-31,0,0,0,0,0,0,0,0
201,4.15198591353074,0.062596675675004,CA,2022-09-01,0,0,1,1,0,0,1,1
202,7.51204516631621,0.087770438559736,CA,2022-09-02,0,0,1,0,0,0,0,0
203,3.19619402166663,0.066627175191247,CA,2022-09-03,0,0,1,0,0,0,0,0
204,15.038031377009,0.0870386310399755,CA,2022-09-04,0,0,1,0,0,0,0,0
205,2.23048253191363,0.0770906138045205,CA,2022-09-05,0,0,1,1,0,0,1,1
206,12.239040953482,0.071169280177061,CA,2022-09-06,0,0,0,0,0,0,0,0
207,15.8564284358272,0.107995469291933,CA,2022-09-07,0,0,1,0,0,0,1,0
208,9.49256868359483,0.1068913109808845,CA,2022-09-08,0,0,1,1,0,0,1,1
