"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23C_50_CI","X23D_50_CI","recombinant_50_CI","X23B_50_CI","X23E_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","X23D_95_CI","recombinant_95_CI","X23B_95_CI","X23E_95_CI","other_95_CI"
"146",0.928263449602756,1.2633569600015,"AZ",2023-05-19,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"147",1.85384388533315,1.24713950819557,"AZ",2023-05-20,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
"148",1.14661764868652,0.395716399661211,"AZ",2023-05-21,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0
"149",1.30713459250271,0.409829173639872,"AZ",2023-05-22,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
"150",1.21038599123221,0.350634907024324,"AZ",2023-05-23,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1
"151",1.25037285320716,0.551556116948047,"AZ",2023-05-24,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1
"152",0.496783567861089,0.140330424887982,"AZ",2023-05-25,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"153",0.944851100053699,0.54792882034832,"AZ",2023-05-26,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
"154",0.526369633283271,0.155507086718392,"AZ",2023-05-27,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"155",2.0751995391582,0.597395157607682,"AZ",2023-05-28,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
"156",1.62626131805603,0.605020465139939,"AZ",2023-05-29,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0
"157",1.71428633488073,0.708468104309343,"AZ",2023-05-30,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1
"158",2.10164632430506,0.471583788154223,"AZ",2023-05-31,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
"159",2.18565303851229,0.836983945595635,"AZ",2023-06-01,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
"160",0.825601159546027,0.595216040946513,"AZ",2023-06-02,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
"161",0.908845285428254,0.447228285474537,"AZ",2023-06-03,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
"162",0.769859965889237,0.410005582776374,"AZ",2023-06-04,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
"163",0.629463127731606,0.471708625428302,"AZ",2023-06-05,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
"164",1.26815246350201,0.754899740087521,"AZ",2023-06-06,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
"165",1.14849982673923,0.588553147600978,"AZ",2023-06-07,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
"166",1.61266677029073,0.740539172627606,"AZ",2023-06-08,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0
