...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
167,1.97527233772536,0.0840405998326775,AZ,2022-08-12,1,0,0,0,1,1,0,0,0,1
168,0.867159116708269,0.0490838243410446,AZ,2022-08-13,1,1,1,0,1,1,0,1,0,1
169,12.2864800288074,0.270518958983839,CA,2022-07-03,0,1,1,1,0,0,0,0,0,0
170,1.8611295320916,0.244016500902781,CA,2022-07-04,0,1,1,1,1,1,0,0,0,1
171,24.5914363629339,0.2505272719290065,CA,2022-07-05,0,1,1,1,0,0,0,0,0,0
172,23.9385110359173,0.2327081171541595,CA,2022-07-06,0,1,1,1,0,0,0,0,0,0
173,16.6239875816673,0.221059213121331,CA,2022-07-07,0,1,1,1,0,0,0,0,0,0
174,18.2860299948154,0.2337736358663125,CA,2022-07-08,0,1,1,1,0,0,0,0,0,0
175,8.63900535704004,0.2056724900104235,CA,2022-07-09,0,0,1,1,1,0,0,0,0,1
176,10.3764266132715,0.2269657236911345,CA,2022-07-10,0,1,1,1,0,0,0,0,0,0
177,20.5288012130789,0.210099288309008,CA,2022-07-11,0,1,1,1,0,0,0,0,0,0
178,21.7323928014496,0.2001839780039135,CA,2022-07-12,0,0,1,0,0,0,0,0,0,0
179,15.3789756436029,0.193793104600908,CA,2022-07-13,0,1,1,1,1,0,0,0,0,1
180,14.7006770771167,0.1931219025436905,CA,2022-07-14,0,1,1,1,0,0,0,0,0,0
181,12.8400183483929,0.179657648055487,CA,2022-07-15,0,1,1,1,0,0,0,0,0,0
182,7.2931485610986,0.1559818806053665,CA,2022-07-16,0,1,1,1,0,0,0,0,0,0
183,14.9055527604097,0.1779987684686565,CA,2022-07-17,0,1,1,1,0,0,0,0,0,0
184,13.3881973423304,0.1520067606370085,CA,2022-07-18,0,1,1,1,0,0,0,0,0,0
185,16.9833833680984,0.159169354742374,CA,2022-07-19,0,1,1,1,0,0,0,0,0,0
186,13.9114364131845,0.146587923540894,CA,2022-07-20,0,1,1,1,0,0,0,0,0,0
187,10.7553958545998,0.1429144984467975,CA,2022-07-21,0,1,1,1,0,0,0,0,0,0
188,9.8763448184777,0.1405591570174325,CA,2022-07-22,0,1,1,1,0,0,0,0,0,0
189,16.432304902384,0.180462130236809,CA,2022-07-23,1,0,0,0,1,1,0,0,0,1
190,17.0557480887485,0.151133403641643,CA,2022-07-24,0,0,0,1,0,0,0,0,0,0
191,35.1751245803174,0.152101886489872,CA,2022-07-25,0,0,0,1,0,0,0,0,0,0
192,12.1622917253988,0.121422761128284,CA,2022-07-26,0,1,1,1,0,0,0,0,0,0
193,21.484217725943,0.1505544422981375,CA,2022-07-27,0,0,0,1,0,0,0,0,0,0
194,3.38289720800359,0.088906643975661,CA,2022-07-28,1,1,1,1,0,1,0,0,0,0
195,8.71037994258299,0.123893691611033,CA,2022-07-29,0,0,0,1,0,0,0,0,0,0
196,6.75601094886724,0.1092691290025535,CA,2022-07-30,0,0,0,1,1,0,0,0,0,1
197,15.7972767653869,0.1149991426700505,CA,2022-07-31,0,0,0,1,0,0,0,0,0,0
198,7.55453770717588,0.093182392508309,CA,2022-08-01,0,1,1,0,0,0,0,0,0,0
199,9.57944029052044,0.0982774571294725,CA,2022-08-02,0,1,0,1,0,0,0,0,0,0
200,22.9550836642549,0.1399121275759185,CA,2022-08-03,0,0,0,1,0,0,0,0,0,0
201,23.6240319434748,0.123699134268223,CA,2022-08-04,0,0,0,1,1,0,0,0,0,1
202,7.62621983526902,0.12365730716515,CA,2022-08-05,0,0,0,0,1,0,0,0,0,1
203,12.369514833179,0.125241300072173,CA,2022-08-06,0,0,0,1,1,0,0,0,0,1
204,2.62236302170367,0.0700940167446,CA,2022-08-07,1,1,1,1,0,1,0,0,0,0
205,23.8844222158369,0.1452408129624605,CA,2022-08-08,1,0,0,1,0,1,0,0,1,0
206,9.36078850977303,0.0972830922989535,CA,2022-08-09,0,0,0,1,1,0,0,0,0,1
207,13.2425678902813,0.093018876769555,CA,2022-08-10,0,0,0,1,0,0,0,0,0,0
208,18.0976596576098,0.1036261987199795,CA,2022-08-11,1,0,0,0,0,1,0,0,0,0
209,15.8588245689029,0.0892507818051675,CA,2022-08-12,1,0,0,1,0,1,0,0,0,0
210,15.4707649516491,0.0992792204320965,CA,2022-08-13,0,0,0,0,0,0,0,0,0,0
211,0.430321549491056,0.2413152198269655,CO,2022-07-03,1,1,1,1,1,1,1,0,0,1
212,0.497860143030339,0.2053544309316405,CO,2022-07-04,1,1,1,1,1,1,1,0,0,1
213,1.97845020388012,0.2373049448825625,CO,2022-07-05,1,1,1,1,1,0,0,0,0,1
214,1.3303786757787,0.2621863523940095,CO,2022-07-06,1,0,1,1,1,1,0,0,1,1
215,3.79318725554551,0.290697510426031,CO,2022-07-07,1,1,0,0,1,1,0,0,0,1
216,5.16537290176735,0.3321442323869215,CO,2022-07-08,0,0,0,0,1,0,0,0,0,1
217,0.546336247862818,0.176659516882183,CO,2022-07-09,1,1,1,1,1,0,0,0,0,1
218,1.04302631436025,0.4456180075020205,CO,2022-07-10,1,1,0,1,1,1,1,0,0,1
219,1.72587064197732,0.2929134003821455,CO,2022-07-11,1,1,0,1,1,1,1,0,0,1
220,1.40355061948979,0.1792377635795815,CO,2022-07-12,0,1,1,1,1,0,0,0,0,1
221,2.20615781358762,0.213038099602332,CO,2022-07-13,1,0,1,1,1,1,0,0,1,1
222,0.65958141290914,0.1899776858258725,CO,2022-07-14,1,1,1,1,1,1,0,0,1,1
223,0.718699315427172,0.202281331374932,CO,2022-07-15,1,1,1,1,1,1,0,1,0,1
224,1.80000353665818,0.4338638107800125,CO,2022-07-16,1,0,0,1,1,1,0,0,1,1
225,1.11336771237455,0.2540265625381655,CO,2022-07-17,1,0,1,1,1,1,0,0,0,1
226,0.898619029426566,0.1992612031590535,CO,2022-07-18,1,0,1,1,1,1,1,1,1,1
227,0.731329370486292,0.09159284936122,CO,2022-07-19,1,1,1,1,1,1,1,0,0,1
228,0.662600789106256,0.02790701118146785,CO,2022-07-20,1,1,1,1,1,1,0,0,1,1
229,2.18305394797439,0.091527566612225,CO,2022-07-21,1,0,1,1,1,1,0,0,0,1
230,1.26361178486252,0.1469088099842415,CO,2022-07-22,1,1,1,1,1,1,0,0,0,1
231,1.70604356469574,0.02270671922245905,CO,2022-07-23,1,0,0,1,1,1,0,0,0,1
232,0.703986861846482,0.132328918991027,CO,2022-07-24,1,1,1,1,1,1,1,0,0,1
233,2.49878517690898,0.1543611813562175,CO,2022-07-25,1,0,1,1,1,1,0,0,1,1
234,0.821110945654085,0.0888848716445265,CO,2022-07-26,1,1,1,1,1,1,1,1,1,1
235,0.666011471239819,0.1090564334644395,CO,2022-07-27,1,1,1,1,1,1,0,0,0,1
236,1.75560803335034,0.169558779906322,CO,2022-07-28,1,0,0,1,1,1,0,0,0,1
237,1.1849637213641,0.0484060766889076,CO,2022-07-29,1,1,1,1,1,1,0,0,1,1
238,0.582629847459202,0.062343008822953,CO,2022-07-30,1,1,1,1,1,1,0,1,0,1
239,0.899972755610607,0.083738322018281,CO,2022-07-31,1,1,1,0,1,1,0,0,0,1
240,2.72901714588412,0.18209918346452,CO,2022-08-01,1,0,0,1,1,1,0,0,1,1
241,1.01050610425565,0.0952824697192615,CO,2022-08-02,1,1,1,1,0,1,0,0,1,0
242,0.527488455239856,0.0578846539421365,CO,2022-08-03,1,1,1,1,1,1,0,0,1,1
243,0.990048819135484,0.140098467746322,CO,2022-08-04,1,1,1,1,1,1,0,0,0,1
244,0.352993974807729,0.0830188183519505,CO,2022-08-05,1,1,1,1,1,1,0,0,1,1
245,0.346549904544118,0.076823186179287,CO,2022-08-06,1,1,1,1,1,1,1,1,1,1
246,0.44530007812197703,0.110571054378898,CO,2022-08-07,1,1,1,1,1,1,0,0,1,1
247,1.10316074636312,0.1066137665878215,CO,2022-08-08,1,1,1,1,1,1,0,0,1,1
248,0.7921072611326,0.110841140988504,CO,2022-08-09,1,1,1,1,1,1,0,0,1,1
249,6.01039222754419,0.1895215887940075,CO,2022-08-10,1,1,0,0,1,1,0,0,0,1
250,1.21990075698872,0.0479869271970582,CO,2022-08-11,1,0,1,0,1,1,0,0,0,1
251,2.05927283569382,0.161739890733894,CO,2022-08-12,1,0,0,0,1,1,0,0,0,1
252,0.378050480977807,0.082852156690598,CO,2022-08-13,1,1,1,1,1,1,0,0,1,1
253,2.13670199581661,0.192781791685475,CT,2022-07-03,1,1,0,0,1,0,0,0,0,1
254,0.450182310158791,0.202993380309306,CT,2022-07-04,1,1,1,1,1,1,1,1,1,1
255,2.7495245241327,0.2567605000751695,CT,2022-07-05,0,1,1,1,1,0,0,0,0,1
256,4.76213884973036,0.1706635274182785,CT,2022-07-06,0,0,0,0,1,0,0,0,0,1
