...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
237,1.89267550583496,0.137782198070118,CO,2022-11-25,0,0,1,0,1,1,0,0,1,0,1,1
238,2.91649877463652,0.448002840379418,CO,2022-11-26,1,0,1,0,0,1,1,0,1,0,0,1
239,0.772461905741462,0.233464838301296,CO,2022-11-27,1,1,0,1,1,1,1,0,1,0,1,1
240,6.39212243590768,0.3395643622831435,CO,2022-11-28,1,0,1,0,1,1,0,0,1,0,1,1
241,2.70899493581146,0.37942172122741,CO,2022-11-29,1,0,0,0,1,1,1,0,0,0,0,1
242,6.70998430324441,0.4351732155398465,CO,2022-11-30,1,0,1,0,0,1,1,0,1,0,0,1
243,2.53532373420324,0.1961863720967065,CO,2022-12-01,1,0,0,1,1,1,1,0,0,1,1,1
244,6.15308601301421,0.4305756006696545,CO,2022-12-02,1,0,1,0,1,1,1,0,0,0,1,1
245,2.26148597664581,0.379428765960047,CO,2022-12-03,1,0,1,0,1,1,1,0,1,0,1,1
246,3.54646467922753,0.371290870072248,CO,2022-12-04,1,0,0,0,0,1,1,0,0,0,0,1
247,3.05399617459253,0.3459465548005685,CO,2022-12-05,1,0,1,0,1,0,1,0,1,0,1,0
248,3.34950117164419,0.2231130071245305,CO,2022-12-06,1,0,1,0,1,1,1,0,0,0,1,1
249,3.43411560343319,0.2724273091762115,CO,2022-12-07,1,0,1,0,1,1,0,0,1,0,1,1
250,2.23287032784534,0.421140854942355,CO,2022-12-08,1,0,1,0,1,0,1,0,1,0,1,0
251,3.18965253238561,0.61290335310546,CO,2022-12-09,1,0,1,0,1,1,1,0,1,0,1,0
252,1.02022210612485,0.2311634508314265,CO,2022-12-10,1,1,1,1,1,0,1,1,1,0,1,0
253,1.25546904818049,0.221616518328492,CT,2022-10-30,1,0,1,1,1,1,1,1,1,1,1,1
254,3.51644727228364,0.263281482993998,CT,2022-10-31,1,0,1,0,1,0,0,0,1,0,1,0
255,1.59609864655524,0.2774084794551235,CT,2022-11-01,1,1,1,1,1,1,1,0,1,0,1,1
