"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23H_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23H_95_CI","X23G_95_CI","other_95_CI"
"122",0.874304626028692,0.618787076353759,"AR",2023-11-07,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"123",0.472154049106724,0.340356540116375,"AR",2023-11-08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"124",NA,NA,"AR",2023-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,"AR",2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",6.82332233197002,0.384620075562464,"AZ",2023-10-01,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
"128",9.05915626854343,0.423309532339476,"AZ",2023-10-02,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
"129",1.06693841830229,0.324631207895389,"AZ",2023-10-03,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1
"130",2.55615131314213,0.471074974629039,"AZ",2023-10-04,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1
"131",2.06346378830098,0.362109868618818,"AZ",2023-10-05,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
"132",2.35566311527186,0.400949702598237,"AZ",2023-10-06,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1
"133",1.48713858004168,0.562181817455123,"AZ",2023-10-07,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1
"134",2.97121576973195,0.359260098513029,"AZ",2023-10-08,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
"135",2.4634557660503,0.355275236225974,"AZ",2023-10-09,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
"136",2.4759266991457,0.363703678746241,"AZ",2023-10-10,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1
"137",0.974499398569769,0.320887391628081,"AZ",2023-10-11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
"138",0.594307000126598,0.401974802580867,"AZ",2023-10-12,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"139",1.29460340242862,0.613065927045349,"AZ",2023-10-13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
"140",1.17667136825082,0.345646486847112,"AZ",2023-10-14,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
"141",2.24285802679881,0.412814235004351,"AZ",2023-10-15,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
"142",2.67722489345917,0.345288949848156,"AZ",2023-10-16,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
"143",2.39564009996145,0.389539913410862,"AZ",2023-10-17,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
"144",2.6371852209122,0.418565500609279,"AZ",2023-10-18,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0
"145",3.35046404971943,0.422250781387081,"AZ",2023-10-19,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0
"146",1.05067166934949,0.296075942758928,"AZ",2023-10-20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0
"147",1.56505689886854,0.314734613283778,"AZ",2023-10-21,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1
"148",1.96397593622192,0.329229140958025,"AZ",2023-10-22,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1
"149",5.45119426917472,0.384512295959455,"AZ",2023-10-23,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
"150",2.25839880846207,0.286631505783178,"AZ",2023-10-24,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
"151",1.09242982825128,0.323009346754091,"AZ",2023-10-25,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1
"152",0.205857974724642,0.159221342411546,"AZ",2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"153",0.907962236539102,0.303394997973254,"AZ",2023-10-27,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"154",2.11971372809244,0.472448104749502,"AZ",2023-10-28,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
"155",1.65319192959617,0.326224073809439,"AZ",2023-10-29,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
"156",3.35978848820042,0.367859247893872,"AZ",2023-10-30,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"157",2.30673623692375,0.363007333458297,"AZ",2023-10-31,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1
"158",1.40659302694596,0.330091371505329,"AZ",2023-11-01,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"159",2.27233846564051,0.350827639067798,"AZ",2023-11-02,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
"160",1.93330473194761,0.40247541434767,"AZ",2023-11-03,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1
"161",0.933349088838624,0.389550221544633,"AZ",2023-11-04,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
"162",3.36646325811787,0.380942782966845,"AZ",2023-11-05,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0
"163",3.73745655730838,0.351961525938721,"AZ",2023-11-06,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1
"164",1.35900181064631,0.314017060074545,"AZ",2023-11-07,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
"165",3.25799912644509,0.38721895404098,"AZ",2023-11-08,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
"166",1.56146311320094,0.362171251145421,"AZ",2023-11-09,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0
"167",1.72587243350524,0.38798374298088,"AZ",2023-11-10,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"168",1.57121759935135,0.357550114037107,"AZ",2023-11-11,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1
"169",1.29213151302952,0.407404431731337,"CA",2023-10-01,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1
"170",2.7442990286412,0.332584635522401,"CA",2023-10-02,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0
"171",2.36012216738378,0.346488259372296,"CA",2023-10-03,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1
"172",3.60511320208761,0.338645046569821,"CA",2023-10-04,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"173",5.97268071214784,0.441142226725945,"CA",2023-10-05,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
"174",2.57114390025528,0.411238400632994,"CA",2023-10-06,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1
"175",1.69680879309835,0.234573365878938,"CA",2023-10-07,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1
"176",0.686954320446005,0.296822404556448,"CA",2023-10-08,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
"177",1.66872911628963,0.339190443106453,"CA",2023-10-09,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0
