"","es_score","brier_score","location","target_date","X21L_50_CI","X22A_50_CI","X22B_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","other_50_CI","X21L_95_CI","X22A_95_CI","X22B_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","other_95_CI"
"139",2.00398242906592,0.421041706087376,"AZ",2022-10-28,1,1,0,1,1,1,1,1,1,0,1,0,1,1
"140",2.72426384318667,0.710043496365161,"AZ",2022-10-29,1,0,0,1,1,1,1,0,0,0,0,0,1,1
"141",2.5329853642313,0.663341189254056,"AZ",2022-10-30,0,0,1,1,0,1,1,0,0,0,1,0,0,1
"142",2.80116692115724,0.587175385895351,"AZ",2022-10-31,1,1,1,0,1,1,1,1,0,0,0,0,0,1
"143",1.99803198820914,0.514322578914993,"AZ",2022-11-01,1,1,1,1,1,1,1,1,0,0,0,0,0,1
"144",3.48253787483668,0.55026806238169,"AZ",2022-11-02,1,1,1,0,0,1,1,1,1,0,0,0,0,0
"145",6.89677776929198,0.748242416951083,"AZ",2022-11-03,1,0,0,1,1,0,1,1,0,0,0,0,0,1
"146",2.25732342095847,0.509302971395457,"AZ",2022-11-04,1,1,1,1,1,0,1,1,0,0,0,0,1,1
"147",4.35671899634376,0.642175911438377,"AZ",2022-11-05,1,1,1,0,0,0,1,1,1,0,0,0,0,1
"148",4.55095274276751,0.536920757448957,"AZ",2022-11-06,1,1,0,1,0,0,1,0,0,0,1,0,0,1
"149",4.59417022597552,0.555482162535531,"AZ",2022-11-07,0,0,1,1,1,1,1,0,0,0,0,0,1,1
"150",2.75939247053076,0.593892659203012,"AZ",2022-11-08,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"151",4.96170433646901,0.619052406657375,"AZ",2022-11-09,0,1,0,1,1,0,0,0,0,0,1,1,0,0
"152",3.79005637189681,0.622131641297407,"AZ",2022-11-10,1,1,1,0,1,1,1,1,0,0,0,0,0,1
"153",9.87388043946716,0.720932004442086,"AZ",2022-11-11,1,0,1,0,0,0,1,1,0,0,0,0,0,1
"154",4.52023787392453,0.549053616744139,"AZ",2022-11-12,1,1,0,1,0,0,1,1,0,0,0,0,0,1
"155",3.04781892670378,0.62543008134966,"AZ",2022-11-13,1,1,0,1,1,0,0,1,0,0,1,0,0,0
"156",3.95439796959387,0.558217795721233,"AZ",2022-11-14,1,1,1,1,1,1,1,1,0,0,0,0,0,1
"157",3.68063972841326,0.567360603388017,"AZ",2022-11-15,1,1,1,1,1,1,1,1,0,0,0,0,0,1
"158",3.59487051417591,0.604606969063243,"AZ",2022-11-16,1,1,1,1,1,1,1,1,1,0,0,0,0,1
"159",5.94500740396935,0.576647235114636,"AZ",2022-11-17,1,1,1,1,1,0,1,1,0,0,1,0,0,1
"160",3.80925317458569,0.574125426434778,"AZ",2022-11-18,1,1,1,1,1,0,1,1,0,0,1,0,0,0
"161",2.49736202646346,0.477285355133402,"AZ",2022-11-19,1,1,1,1,0,1,1,1,1,0,0,0,1,1
"162",3.91434230746339,0.61693195954351,"AZ",2022-11-20,1,1,0,1,1,0,1,1,1,0,0,0,0,1
"163",6.39116464260424,0.551427111396518,"AZ",2022-11-21,1,1,1,1,1,1,1,1,0,0,0,0,0,1
"164",14.9328051498363,0.670392927161024,"AZ",2022-11-22,1,1,0,0,0,0,1,0,1,0,0,0,0,1
"165",6.35905750587205,0.586938163094964,"AZ",2022-11-23,1,1,0,1,1,1,1,1,1,0,0,0,0,1
"166",1.25051509597329,0.637947985105635,"AZ",2022-11-24,0,1,1,1,1,1,1,0,1,0,1,0,1,1
"167",5.21466935876872,0.53937363819958,"AZ",2022-11-25,1,1,1,1,1,0,1,1,1,0,0,0,0,1
"168",5.21209932935433,0.628354649494641,"AZ",2022-11-26,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"169",2.86554960085408,0.383242876653287,"CA",2022-10-16,0,1,1,0,1,1,1,0,0,0,0,0,0,1
"170",4.68347764377607,0.420114725889857,"CA",2022-10-17,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"171",6.06528840589266,0.505625924792278,"CA",2022-10-18,1,1,0,0,0,1,1,0,0,0,0,0,1,1
"172",9.03121818633666,0.518793559085197,"CA",2022-10-19,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"173",2.78095383028969,0.448522436063282,"CA",2022-10-20,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"174",4.19075710722346,0.390218456808197,"CA",2022-10-21,1,0,0,1,1,1,0,0,0,0,0,0,1,1
"175",4.93475715456589,0.488050132874967,"CA",2022-10-22,1,0,1,1,0,1,0,0,0,0,0,0,1,0
"176",4.29290592363877,0.503962418049605,"CA",2022-10-23,0,1,1,1,0,1,0,0,0,0,0,0,1,0
"177",7.52127654655954,0.566414903588733,"CA",2022-10-24,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"178",7.21059507219172,0.555663640515233,"CA",2022-10-25,0,1,1,1,0,1,1,0,0,0,0,0,0,1
"179",5.0011476376317,0.554136589996096,"CA",2022-10-26,1,1,1,1,1,1,1,0,0,0,0,0,1,0
"180",4.89758449523252,0.551804669869091,"CA",2022-10-27,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"181",7.85928558425327,0.455632371874364,"CA",2022-10-28,1,1,0,0,1,1,1,1,0,0,0,0,0,1
"182",7.61127208667557,0.52850944898045,"CA",2022-10-29,1,1,0,1,1,1,1,0,1,0,1,0,0,0
"183",7.59291835417191,0.584177585673325,"CA",2022-10-30,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"184",7.91161866414119,0.578271132183183,"CA",2022-10-31,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"185",5.83515982609863,0.588900145766545,"CA",2022-11-01,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"186",4.69480053738296,0.585949700179728,"CA",2022-11-02,1,1,1,1,1,1,1,0,1,0,0,0,0,1
"187",6.69085908938121,0.602134107011297,"CA",2022-11-03,1,0,1,1,1,1,1,0,0,0,0,1,0,0
"188",11.4370600625973,0.564183909315992,"CA",2022-11-04,0,0,0,1,1,1,1,0,0,0,0,0,0,1
"189",5.71698102604995,0.613751776445149,"CA",2022-11-05,1,1,1,0,1,1,1,0,0,0,0,0,0,1
"190",6.4552926937003,0.621528439534655,"CA",2022-11-06,1,1,1,1,1,0,1,0,0,0,0,0,0,1
"191",10.8317484216324,0.615377921356172,"CA",2022-11-07,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"192",9.61274200733712,0.622712703220299,"CA",2022-11-08,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"193",12.7591456958575,0.596500843461491,"CA",2022-11-09,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"194",8.3521622962169,0.624532267499605,"CA",2022-11-10,0,1,1,1,1,1,1,0,1,0,0,0,0,0
"195",8.78615564913235,0.631823654003024,"CA",2022-11-11,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"196",8.89851338829578,0.639437082358943,"CA",2022-11-12,1,1,1,1,1,0,1,0,0,0,0,0,0,1
"197",17.1413224527138,0.637427923323794,"CA",2022-11-13,0,1,0,1,0,1,1,0,1,0,0,0,0,0
"198",11.2556086311857,0.626238045310354,"CA",2022-11-14,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"199",14.249004102318,0.633226609467725,"CA",2022-11-15,1,1,0,1,1,1,1,0,0,0,1,0,1,0
"200",29.5731430122176,0.643533216225379,"CA",2022-11-16,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"201",27.8018513048683,0.639985050972398,"CA",2022-11-17,0,1,0,1,1,1,0,0,0,0,0,1,0,0
"202",25.3088162080875,0.650151399976849,"CA",2022-11-18,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"203",22.0582977676459,0.670780105702667,"CA",2022-11-19,0,1,0,1,0,1,1,0,0,0,0,0,0,1
"204",19.2995159041104,0.600862740648171,"CA",2022-11-20,0,1,0,0,1,1,1,0,1,0,0,0,0,0
"205",26.1218189750149,0.646319809110381,"CA",2022-11-21,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"206",26.6317145901309,0.605191065539121,"CA",2022-11-22,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"207",22.6019619404299,0.618037791502784,"CA",2022-11-23,0,1,0,1,1,0,1,0,0,0,0,0,0,1
"208",2.08429066870606,0.552744187939654,"CA",2022-11-24,1,1,0,1,1,1,1,0,1,0,0,0,0,1
"209",25.5911853060973,0.555613885250103,"CA",2022-11-25,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"210",34.2860724753736,0.557680620772238,"CA",2022-11-26,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"211",1.02844558025793,0.339868469651516,"CO",2022-10-16,0,1,1,1,1,1,1,0,1,0,0,1,1,1
"212",1.80119265456544,0.100138649822104,"CO",2022-10-17,1,1,0,1,0,1,1,1,0,0,1,0,1,1
"213",0.822177592463834,0.400905471695707,"CO",2022-10-18,1,1,1,1,1,1,1,1,1,0,0,0,1,1
"214",1.0330522631363,0.415094667569311,"CO",2022-10-19,1,1,1,1,1,1,1,1,0,0,1,0,0,1
"215",1.52809303483916,0.595255420728059,"CO",2022-10-20,1,1,1,0,1,1,1,1,0,0,0,1,1,1
"216",0.941198957120963,0.72294574793065,"CO",2022-10-21,1,1,1,0,1,1,1,1,1,0,0,1,1,1
"217",0.380163257874374,0.472558853228871,"CO",2022-10-22,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"218",0.110691527795845,0.150639801177695,"CO",2022-10-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"219",1.28193012950813,0.504773124230603,"CO",2022-10-24,1,1,1,1,1,1,0,1,1,0,1,1,1,0
"220",1.66200716414691,0.55104022788317,"CO",2022-10-25,1,1,1,0,1,1,1,1,0,0,0,0,1,1
"221",1.51987714442707,0.417530723309112,"CO",2022-10-26,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"222",1.8027853078916,0.633207658357673,"CO",2022-10-27,0,0,1,1,1,1,1,0,0,0,1,0,1,1
"223",0.99643057136427,0.52282540359801,"CO",2022-10-28,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"224",1.08331272991802,0.585296877164973,"CO",2022-10-29,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"225",0.89766677219783,0.404226095113602,"CO",2022-10-30,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"226",2.20020157213669,0.658955245904275,"CO",2022-10-31,1,1,0,1,0,1,1,1,0,1,1,1,1,0
"227",1.48499795246233,0.607133515771676,"CO",2022-11-01,1,1,1,1,1,1,1,1,0,0,0,0,1,1
