...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
103,1.53840769620884,0.04948410524021015,AR,2022-11-10,1,1,0,1,1,1,1,1,1,0,1,0,1,1
104,0.290944813494726,0.050569591776347,AR,2022-11-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,0.104147197961636,0.051675224685365,AR,2022-11-12,1,1,1,1,1,1,1,1,1,0,1,0,1,1
106,NA,NA,AR,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,3.98043438526647,0.488482936436409,AR,2022-11-14,1,1,0,1,0,1,1,1,0,0,1,0,1,1
108,0.912674599789357,0.4576495984974365,AR,2022-11-15,1,1,1,1,1,1,1,1,0,0,1,1,1,1
109,0.112647356857225,0.0563356846696435,AR,2022-11-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,2.76663597178597,0.29809254655408,AR,2022-11-17,1,0,1,1,0,1,1,1,0,0,1,0,1,1
111,0.547182134962739,0.199345249119891,AR,2022-11-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,0.883564362483063,0.4079640572807775,AR,2022-11-19,1,1,1,1,1,1,0,1,1,0,1,1,1,0
113,1.37334974232226,0.469905181486721,AR,2022-11-20,1,1,1,1,0,1,1,1,1,0,1,0,1,1
114,1.04185371865768,0.223468149029607,AR,2022-11-21,1,1,1,1,1,1,1,1,0,1,1,0,1,1
115,6.13760213004666,0.603599804374235,AR,2022-11-22,1,1,0,0,0,1,1,1,0,0,0,0,1,1
116,3.89724488790473,0.53478180611997,AR,2022-11-23,1,1,0,1,0,1,0,1,0,0,1,0,1,0
117,1.14245220547438,0.491560952012163,AR,2022-11-24,1,1,1,1,1,1,0,1,1,0,1,0,1,0
118,4.27303401721205,0.65965160079661,AR,2022-11-25,1,1,0,1,0,1,1,1,0,0,1,0,1,1
119,2.32334783205649,0.716199233646995,AR,2022-11-26,1,1,0,0,1,1,0,1,1,0,0,0,1,0
120,0.792167753322174,0.440814834297052,AR,2022-11-27,1,1,1,1,1,1,1,0,0,0,1,0,1,1
121,3.55101298492818,0.287552828660928,AR,2022-11-28,1,0,1,1,0,1,1,1,1,0,1,0,0,1
122,1.99884348671092,0.26661933571629,AR,2022-11-29,1,0,1,1,0,1,1,0,0,0,1,0,1,1
123,4.18054950294492,0.4618024890974155,AR,2022-11-30,1,1,0,1,0,1,1,0,0,0,0,0,1,1
124,2.94334767333872,0.3849601223984515,AR,2022-12-01,1,0,1,1,0,0,1,1,0,0,0,0,0,1
125,5.19495330496211,0.57623111257776,AR,2022-12-02,1,1,0,1,0,1,1,1,1,0,1,0,1,1
126,0.950821862402201,0.447684087496846,AR,2022-12-03,1,1,1,0,1,1,1,1,1,0,0,0,1,1
127,0.971565135188145,0.1321001442282745,AZ,2022-10-23,1,1,0,1,1,1,1,1,0,0,1,0,1,1
128,1.62588275091962,0.2524545582341245,AZ,2022-10-24,1,1,1,1,0,1,1,1,1,0,1,0,1,1
129,2.05193530404298,0.276332873961333,AZ,2022-10-25,0,1,1,0,1,1,1,0,0,0,0,1,1,1
130,1.5651887442435,0.237030941331407,AZ,2022-10-26,1,1,1,1,1,1,1,1,0,0,0,0,1,1
131,3.05277968405187,0.3344340102226215,AZ,2022-10-27,1,0,0,1,0,1,1,1,0,0,0,0,1,1
132,1.74541615029048,0.208434154481685,AZ,2022-10-28,1,1,0,1,1,1,1,1,0,0,0,0,1,1
133,2.80214675238342,0.359275261517011,AZ,2022-10-29,1,0,0,1,1,1,1,1,0,0,1,0,1,1
134,2.47572298845955,0.329619687510469,AZ,2022-10-30,0,0,1,1,0,1,1,0,0,0,1,0,0,1
135,2.92533829555442,0.295482398837368,AZ,2022-10-31,1,1,1,0,1,1,1,1,0,0,0,0,1,1
136,1.70664547907877,0.254910098168093,AZ,2022-11-01,1,1,1,1,1,1,1,1,0,0,0,0,0,1
137,2.68875540131775,0.272810900029377,AZ,2022-11-02,1,1,1,0,1,1,1,1,1,0,0,0,0,1
138,7.47580027910633,0.3844886839751745,AZ,2022-11-03,1,0,0,1,0,0,1,1,0,0,1,0,0,1
139,2.41154902243095,0.255410108643011,AZ,2022-11-04,1,1,1,0,1,0,1,1,0,0,0,0,0,1
140,3.83780135652024,0.317172864457606,AZ,2022-11-05,1,1,1,0,0,0,1,1,0,0,0,0,0,1
141,3.79859393761968,0.2535322949938705,AZ,2022-11-06,1,1,0,1,0,0,1,0,0,0,1,0,0,1
142,3.80843593045238,0.277615676816425,AZ,2022-11-07,0,0,1,1,1,1,1,0,1,0,0,0,0,1
143,2.99954628310476,0.299958223973242,AZ,2022-11-08,1,0,1,1,1,1,1,1,0,0,1,1,0,1
144,5.87714764585053,0.318171073211405,AZ,2022-11-09,0,1,0,1,0,0,0,0,0,0,0,1,0,0
145,4.21010258993383,0.319576302695367,AZ,2022-11-10,1,1,0,0,1,1,1,1,0,0,0,0,0,1
146,8.24183385235952,0.3457539296230015,AZ,2022-11-11,1,0,1,0,0,0,1,1,0,0,0,0,0,1
147,3.461177825971,0.2603047596646045,AZ,2022-11-12,1,1,0,1,1,0,1,1,0,0,1,0,1,1
148,4.4301961392066,0.3302626138808345,AZ,2022-11-13,1,1,0,1,0,1,0,0,0,0,0,0,0,0
149,4.80358068687549,0.284644023352099,AZ,2022-11-14,1,1,1,1,0,1,1,1,1,0,0,0,1,1
150,3.09661525341934,0.285070348443483,AZ,2022-11-15,1,1,1,1,1,1,1,1,0,0,0,0,1,1
151,3.58380669269874,0.3075110433429285,AZ,2022-11-16,1,1,1,1,1,1,1,1,0,1,1,0,0,1
152,4.16525826389346,0.282817056662344,AZ,2022-11-17,1,1,1,0,1,0,1,1,0,0,0,0,0,1
