"","es_score","brier_score","location","target_date","X22A_50_CI","X22B_50_CI","X22C_50_CI","other_50_CI","X22A_95_CI","X22B_95_CI","X22C_95_CI","other_95_CI"
"121",3.07699515607077,0.240416520214307,"AR",2022-08-29,1,1,1,1,0,0,1,1
"122",4.17357355229639,0.199346200564546,"AR",2022-08-30,1,1,1,1,0,0,1,1
"123",2.83133100538232,0.290139378258432,"AR",2022-08-31,1,1,1,0,0,0,1,0
"124",2.75241333647149,0.289760576976984,"AR",2022-09-01,1,1,1,1,0,0,0,1
"125",1.18457693401037,0.411416337426391,"AR",2022-09-02,1,1,1,0,0,0,1,0
"126",1.20629391945916,0.0960290548383169,"AR",2022-09-03,1,1,1,1,1,1,1,1
"127",0.9496761007383,0.29721297839452,"AZ",2022-07-24,1,1,1,1,0,0,1,1
"128",2.56660353336531,0.254342310041691,"AZ",2022-07-25,1,1,0,1,0,0,0,0
"129",1.51938456776173,0.239864511953569,"AZ",2022-07-26,1,1,1,1,0,0,0,1
"130",2.12426691586062,0.270323871463028,"AZ",2022-07-27,1,1,1,1,0,0,0,1
"131",1.57934080511364,0.152304594410371,"AZ",2022-07-28,0,1,1,1,0,0,0,0
"132",4.5768870765476,0.363521123322439,"AZ",2022-07-29,0,0,1,1,1,0,0,1
"133",1.29506608460331,0.273909658112504,"AZ",2022-07-30,1,1,1,1,0,0,0,1
"134",2.0832815520602,0.115497641070614,"AZ",2022-07-31,1,0,1,1,0,0,0,0
"135",5.20096087841252,0.495095968510286,"AZ",2022-08-01,1,0,0,0,0,0,0,1
"136",2.48144941565616,0.236555452791254,"AZ",2022-08-02,1,1,1,1,0,0,0,1
"137",5.20296675197499,0.474677487969318,"AZ",2022-08-03,0,0,1,0,0,0,1,0
"138",0.902431082008131,0.208116570506817,"AZ",2022-08-04,1,1,1,1,0,0,1,1
"139",1.45979869007091,0.187529476364809,"AZ",2022-08-05,1,1,1,1,1,0,0,1
"140",1.3637792693294,0.210782950770445,"AZ",2022-08-06,1,1,1,1,0,0,0,0
"141",2.12511905115368,0.278042671961631,"AZ",2022-08-07,0,1,0,0,0,0,0,1
"142",4.08266426178561,0.116611249650537,"AZ",2022-08-08,0,0,1,1,0,0,1,0
"143",7.52507321005606,0.156031481476236,"AZ",2022-08-09,0,0,1,0,0,0,0,1
"144",1.48873865972637,0.248424666642526,"AZ",2022-08-10,1,1,1,1,0,0,1,0
"145",1.72152623765296,0.21597528700016,"AZ",2022-08-11,1,1,1,1,0,0,1,0
"146",3.15889413918905,0.172905399563093,"AZ",2022-08-12,0,0,0,1,0,0,0,1
"147",2.56037625806712,0.126130941451084,"AZ",2022-08-13,0,0,0,1,0,0,0,1
"148",1.76627750112922,0.180566783593705,"AZ",2022-08-14,1,0,1,1,0,0,0,1
"149",5.25363726555039,0.25028036687553,"AZ",2022-08-15,0,1,1,0,0,0,0,0
"150",7.84232043826255,0.118070396834428,"AZ",2022-08-16,0,0,1,1,0,0,1,1
"151",4.90540062800538,0.188203452270453,"AZ",2022-08-17,0,0,1,0,0,0,1,0
"152",1.09736498115314,0.29766274343171,"AZ",2022-08-18,1,1,1,1,0,0,0,1
"153",1.90758614960573,0.21419526031708,"AZ",2022-08-19,1,0,1,1,0,0,0,0
"154",1.83249379837727,0.157739234583328,"AZ",2022-08-20,0,0,1,1,0,0,1,1
"155",1.50988158825355,0.364964930119482,"AZ",2022-08-21,1,1,1,0,0,0,1,0
"156",5.66794058449131,0.24644778645426,"AZ",2022-08-22,0,0,1,1,0,0,0,1
"157",7.09773008734065,0.162593356651911,"AZ",2022-08-23,0,0,1,1,0,0,0,1
"158",1.8327949152419,0.323815677477526,"AZ",2022-08-24,1,1,1,1,0,0,1,1
"159",1.62778558424271,0.221102262056481,"AZ",2022-08-25,0,0,1,1,0,0,1,1
"160",4.71978689213852,0.283679330053153,"AZ",2022-08-26,0,0,1,0,0,0,1,0
"161",5.1376003456596,0.235769310790313,"AZ",2022-08-27,0,0,1,1,0,0,1,1
