"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","recombinant_50_CI","X23G_50_CI","X23H_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","recombinant_95_CI","X23G_95_CI","X23H_95_CI","other_95_CI"
"107",1.94711807273832,0.446986347042674,"AR",2023-10-16,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
"108",0.823938032257988,1.1326462890177,"AR",2023-10-17,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"109",NA,NA,"AR",2023-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1.37019574064679,0.324131680945852,"AR",2023-10-19,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
"111",0.206354038415778,0.320637634583051,"AR",2023-10-20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"112",0.206820078353688,0.317205920508105,"AR",2023-10-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",NA,NA,"AR",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2.38150193347945,0.788121988993257,"AR",2023-10-23,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1
"115",0.639476401470464,0.921387219936731,"AR",2023-10-24,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"116",1.23030633720818,1.1389590517355,"AR",2023-10-25,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"117",NA,NA,"AR",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",0.458855595150231,0.618711827285671,"AR",2023-10-27,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"119",NA,NA,"AR",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0.843809698573901,1.14402219626653,"AR",2023-10-30,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"122",NA,NA,"AR",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",0.953441527974274,1.30505204360585,"AR",2023-11-01,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
"124",NA,NA,"AR",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",0.869656332336838,1.14477068505813,"AR",2023-11-03,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"126",NA,NA,"AR",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2.00958213135588,0.74137763228378,"AZ",2023-09-24,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1
"128",3.05073966580934,0.788721922067987,"AZ",2023-09-25,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0
"129",2.84247518289326,0.780136802754022,"AZ",2023-09-26,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
"130",2.07599124597352,0.712115509503159,"AZ",2023-09-27,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1
"131",0.901434675340192,0.70441805569902,"AZ",2023-09-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"132",0.753399990682326,0.788708601674397,"AZ",2023-09-29,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1
"133",1.31295578720284,0.740239286737273,"AZ",2023-09-30,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1
"134",5.17782758311034,0.760719939769735,"AZ",2023-10-01,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1
"135",6.78345820873213,0.82233759252471,"AZ",2023-10-02,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"136",1.475936080743,0.675694661575918,"AZ",2023-10-03,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1
"137",2.30938462106344,0.900575228094836,"AZ",2023-10-04,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"138",1.7576102716235,0.714861709411487,"AZ",2023-10-05,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1
"139",1.66584941144719,0.780475340910132,"AZ",2023-10-06,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1
"140",1.33714479087915,1.04807471721422,"AZ",2023-10-07,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1
"141",2.46818345198161,0.714322330123942,"AZ",2023-10-08,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1
"142",4.07887269602148,0.720334314140519,"AZ",2023-10-09,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1
"143",3.24831873139556,0.73624971163369,"AZ",2023-10-10,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"144",1.27493103416191,0.707340594478614,"AZ",2023-10-11,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1
"145",0.498227141011023,0.715664194965327,"AZ",2023-10-12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"146",1.21345519171196,1.15195139489578,"AZ",2023-10-13,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
"147",1.15817953788159,0.690525735348455,"AZ",2023-10-14,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
"148",1.86054176002382,0.809415682492334,"AZ",2023-10-15,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1
"149",4.32918346725851,0.714477312355968,"AZ",2023-10-16,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0
"150",2.63911506649932,0.782864364683358,"AZ",2023-10-17,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1
"151",2.67648229905455,0.836718383558411,"AZ",2023-10-18,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
"152",2.04721838909299,0.75790674746358,"AZ",2023-10-19,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1
"153",1.51917693503081,0.638284504191941,"AZ",2023-10-20,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1
"154",2.62534106469076,0.686500950631017,"AZ",2023-10-21,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1
"155",3.37024836057822,0.709368607529715,"AZ",2023-10-22,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1
"156",4.89207421254618,0.765812966731184,"AZ",2023-10-23,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"157",3.69009758963881,0.652085885950891,"AZ",2023-10-24,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
"158",1.91312585896177,0.695313727808854,"AZ",2023-10-25,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0
"159",0.385658089042114,0.564798910299572,"AZ",2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"160",0.915844218271414,0.642516885514074,"AZ",2023-10-27,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
"161",2.16208054361041,0.938118595501621,"AZ",2023-10-28,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1
"162",3.90697707018214,0.73420715615934,"AZ",2023-10-29,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1
"163",5.46333765476975,0.768049032913143,"AZ",2023-10-30,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
"164",2.94382315389007,0.742967228178303,"AZ",2023-10-31,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1
"165",1.53600167691108,0.670643762394411,"AZ",2023-11-01,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1
"166",3.76568427780479,0.778666120357151,"AZ",2023-11-02,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
"167",2.20840383560255,0.84108512751685,"AZ",2023-11-03,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1
"168",0.771076603467645,0.746913284203343,"AZ",2023-11-04,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"169",1.87247316030532,0.718393348766121,"CA",2023-09-24,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0
"170",2.73083321729125,0.67952018668099,"CA",2023-09-25,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
"171",3.48499563818902,0.685509269902341,"CA",2023-09-26,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
"172",2.7137698224582,0.76249230360778,"CA",2023-09-27,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
"173",3.23198036065052,0.734662639337949,"CA",2023-09-28,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"174",1.95756389038214,0.821886327188137,"CA",2023-09-29,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"175",1.03903794170017,0.734398370687429,"CA",2023-09-30,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0
"176",1.23233575619012,0.802775680095897,"CA",2023-10-01,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1
"177",3.55522043646643,0.678507685765369,"CA",2023-10-02,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
