"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23D_50_CI","X23F_50_CI","X24A_50_CI","X23H_50_CI","X23I_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23D_95_CI","X23F_95_CI","X24A_95_CI","X23H_95_CI","X23I_95_CI","other_95_CI"
"69",NA,NA,"AL",2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,"AL",2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",0.25753817489844,0.48368631285546,"AL",2024-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"73",NA,NA,"AL",2024-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,"AL",2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,"AL",2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",0.601695063896569,0.728929216911725,"AL",2024-01-26,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"77",NA,NA,"AL",2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,"AL",2024-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,"AL",2024-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,"AL",2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",0.191346191966156,0.278432594433513,"AL",2024-02-01,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"83",NA,NA,"AL",2024-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"AR",2023-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,"AR",2023-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,"AR",2023-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",0.741961054799999,0.804531212122807,"AR",2023-12-27,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
"89",1.45614297307638,0.629388413199906,"AR",2023-12-28,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"90",NA,NA,"AR",2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"AR",2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,"AR",2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",0.250600170439282,0.386307613205112,"AR",2024-01-02,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"95",1.04448549586033,0.371086697464887,"AR",2024-01-03,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
"96",1.13972061168907,0.684583161319618,"AR",2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"97",0.229734750407094,0.341417055217832,"AR",2024-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98",NA,NA,"AR",2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"AR",2024-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,"AR",2024-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",0.887828835185653,1.28126628911253,"AR",2024-01-10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
"103",0.475894617045305,0.25993026311993,"AR",2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
"104",0.784621015303304,0.775916558414691,"AR",2024-01-12,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
"105",NA,NA,"AR",2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,"AR",2024-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,"AR",2024-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,"AR",2024-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,"AR",2024-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",0.137804165507879,0.1728429847118,"AR",2024-01-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"112",NA,NA,"AR",2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",0.123708288814079,0.146952709729831,"AR",2024-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"115",NA,NA,"AR",2024-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",0.326752466335477,0.131631957898379,"AR",2024-01-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"117",NA,NA,"AR",2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,"AR",2024-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"AR",2024-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,"AR",2024-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,"AR",2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",0.0948437798987822,0.0840043529226203,"AR",2024-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"125",NA,NA,"AR",2024-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2.05579030124603,0.65350944605084,"AZ",2023-12-24,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0
"128",1.70205716526678,0.665685199818074,"AZ",2023-12-25,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
"129",3.21236730676454,0.612651751116856,"AZ",2023-12-26,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"130",1.64882186805307,0.639678029239871,"AZ",2023-12-27,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1
"131",1.08541467018889,0.626944836518943,"AZ",2023-12-28,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"132",0.727054168529429,0.678922504637085,"AZ",2023-12-29,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1
"133",0.456791302586717,0.227816484646788,"AZ",2023-12-30,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"134",0.813904614861644,0.337537309817783,"AZ",2023-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"135",2.51653522026763,0.604756598590659,"AZ",2024-01-01,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
"136",3.39788574001433,0.607056009744882,"AZ",2024-01-02,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1
"137",1.16265885177044,0.646976897921162,"AZ",2024-01-03,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"138",0.7626874083121,0.452972609615695,"AZ",2024-01-04,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
"139",0.427786154301689,0.484039315037196,"AZ",2024-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"140",0.69980866149157,0.24260649669803,"AZ",2024-01-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"141",0.862551027436955,0.081531077872923,"AZ",2024-01-07,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
"142",1.02547612231399,0.326680275437661,"AZ",2024-01-08,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"143",1.25526628785214,0.370323018011671,"AZ",2024-01-09,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1
"144",0.129194286831326,0.0510927808723896,"AZ",2024-01-10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"145",2.55289596936151,0.705701485723923,"AZ",2024-01-11,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
"146",1.12977102927711,0.463630744676572,"AZ",2024-01-12,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"147",0.796396484282364,0.307842069234951,"AZ",2024-01-13,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"148",3.15181844647703,0.5261490878526,"AZ",2024-01-14,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
"149",2.87481449928454,0.351602134752198,"AZ",2024-01-15,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0
"150",0.046203031466007,0.0178418749084525,"AZ",2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"151",2.37933001538333,0.372182202888337,"AZ",2024-01-17,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0
"152",1.03526186123692,0.458777094468184,"AZ",2024-01-18,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"153",0.0895811895718369,0.0100301350863445,"AZ",2024-01-19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"154",0.888218372069533,0.448804487271622,"AZ",2024-01-20,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"155",4.12702933394841,0.430334701421602,"AZ",2024-01-21,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
"156",0.844407807881931,0.108852548673679,"AZ",2024-01-22,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"157",1.08717656200206,0.150527255949314,"AZ",2024-01-23,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"158",3.57023060981557,0.748540880620785,"AZ",2024-01-24,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0
"159",0.0176777867417648,0.00294199721847619,"AZ",2024-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"160",1.27610676944091,0.956158476198286,"AZ",2024-01-26,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
"161",2.21583715632381,0.274435128099753,"AZ",2024-01-27,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0
