...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,recombinant_50_CI,X23G_50_CI,X23H_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,recombinant_95_CI,X23G_95_CI,X23H_95_CI,other_95_CI
138,1.01490034565555,0.3586363272386955,AZ,2023-09-28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
139,0.764583570419092,0.3977604877076885,AZ,2023-09-29,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,1.36071979086677,0.37013390959967,AZ,2023-09-30,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1
141,6.40243083570858,0.3852689801821655,AZ,2023-10-01,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
142,7.45873545348127,0.4164307646482575,AZ,2023-10-02,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
143,1.34609165270218,0.3292135986648445,AZ,2023-10-03,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1
144,2.28153196331693,0.450245295274639,AZ,2023-10-04,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1
145,2.13462031318166,0.366094197984621,AZ,2023-10-05,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
146,2.14436147200987,0.399721700062442,AZ,2023-10-06,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1
147,1.33664405295646,0.53662854145414,AZ,2023-10-07,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1
148,3.12666779347066,0.36201609678477,AZ,2023-10-08,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
149,3.28656847988909,0.355769693106066,AZ,2023-10-09,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1
150,2.63409305109013,0.3615829542659725,AZ,2023-10-10,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
151,1.2434027214673,0.339514473240823,AZ,2023-10-11,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1
152,0.574963486136849,0.4034818381761605,AZ,2023-10-12,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,1.17862788642862,0.570780034815985,AZ,2023-10-13,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
154,1.11011164596821,0.3332620603095665,AZ,2023-10-14,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
155,1.96368185710204,0.410285816052135,AZ,2023-10-15,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0
156,3.49548551089853,0.3470958579424415,AZ,2023-10-16,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
157,2.174616228518,0.386561125592723,AZ,2023-10-17,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1
158,2.28481759232046,0.403985112104048,AZ,2023-10-18,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
159,2.54641654429099,0.401326295297369,AZ,2023-10-19,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
160,1.59671011251256,0.309783263355504,AZ,2023-10-20,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1
161,2.48357448383451,0.3300671271669445,AZ,2023-10-21,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1
162,3.12718035202573,0.3408930398131405,AZ,2023-10-22,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
163,3.78802288751936,0.3744263420298375,AZ,2023-10-23,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1
164,3.42583286085792,0.309132218740594,AZ,2023-10-24,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1
165,1.60294659470127,0.3303620483368585,AZ,2023-10-25,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1
166,0.319974572441404,0.215915238455124,AZ,2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
167,1.0619308928661,0.3206498360961125,AZ,2023-10-27,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
168,1.91802524228547,0.4686755431606855,AZ,2023-10-28,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
169,2.75927988571306,0.373423832282863,CA,2023-09-17,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1
