...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
147,1.21195000343674,0.176096864640826,AZ,2023-03-11,0,1,1,1,1,1,1,1,0,1,1,0
148,1.17769890810803,0.074082011889433,AZ,2023-03-12,1,1,1,1,0,1,0,1,0,1,0,1
149,2.58697729346033,0.152227162414387,AZ,2023-03-13,1,1,0,0,1,0,0,0,0,0,1,0
150,0.724411144995834,0.079330827586878,AZ,2023-03-14,1,1,1,1,1,1,1,0,1,1,1,0
151,1.04754284383354,0.115881320268751,AZ,2023-03-15,1,1,1,1,0,1,0,1,0,1,0,1
152,0.647699620011003,0.00661003093785385,AZ,2023-03-16,1,1,1,1,1,1,1,0,0,1,1,1
153,1.88338731102457,0.59573529445671,AZ,2023-03-17,1,0,0,1,0,1,1,0,0,1,0,1
154,2.14177744123011,0.576420369463645,AZ,2023-03-18,0,1,0,1,1,1,0,1,0,1,0,1
155,1.55860326809677,0.17203613286025,AZ,2023-03-19,1,1,1,0,1,1,0,0,0,0,1,1
156,2.06148153151284,0.09128178353621,AZ,2023-03-20,1,1,1,1,0,1,0,1,0,1,1,0
157,1.2631387955338,0.1699816383911075,AZ,2023-03-21,1,1,1,1,0,1,0,0,0,1,0,1
158,0.776608750532356,0.0973391689475555,AZ,2023-03-22,1,1,1,1,1,1,0,0,0,1,1,0
159,0.580453099192332,0.1136161583271,AZ,2023-03-23,1,1,1,1,1,1,0,1,0,1,1,1
160,0.274901445222027,0.00770783281189935,AZ,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
161,0.018341275059028,0.0080946676718198,AZ,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
162,0.813688088418682,0.1023377024558755,AZ,2023-03-26,1,1,1,1,1,1,0,1,0,1,1,1
163,2.03747834277379,0.113204495279425,AZ,2023-03-27,1,1,1,1,0,1,0,0,0,1,1,1
164,2.48169551896711,0.04919048099239345,AZ,2023-03-28,1,1,1,1,1,1,1,0,0,1,0,1
165,0.972983010280738,0.0105456629755438,AZ,2023-03-29,1,1,1,1,1,1,1,1,0,1,0,1
166,1.53860879467399,0.2214365674075545,AZ,2023-03-30,1,1,1,0,0,1,0,0,0,0,0,1
167,0.0868753915370228,0.0125095807191895,AZ,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1
168,0.790035678250221,0.283091941098065,AZ,2023-04-01,0,1,1,1,1,1,0,1,0,1,1,1
169,2.81127272821785,0.168979128953047,CA,2023-02-19,1,0,1,1,1,1,0,0,0,0,1,1
170,3.89522494725083,0.146277820910381,CA,2023-02-20,1,1,0,1,1,1,0,1,0,0,1,1
171,2.12622779183677,0.181267447797521,CA,2023-02-21,1,1,1,1,1,1,0,1,0,1,0,0
172,4.07596788262068,0.170659013349697,CA,2023-02-22,0,1,1,1,1,1,0,1,0,0,1,0
173,5.40096338903985,0.1853660679965135,CA,2023-02-23,1,1,1,0,1,0,0,0,0,0,0,0
174,9.91670915545997,0.1228286958489905,CA,2023-02-24,0,1,0,1,1,1,0,0,0,1,0,1
175,4.479122455891,0.2347467614751565,CA,2023-02-25,1,1,0,1,0,0,0,0,0,0,0,0
176,1.44081566296039,0.1458085057663955,CA,2023-02-26,1,1,1,1,1,1,0,1,0,1,1,0
177,6.21987267389985,0.186770643866503,CA,2023-02-27,0,1,0,1,1,1,0,1,0,0,0,0
178,4.34834587928609,0.1687306614910965,CA,2023-02-28,0,1,1,1,0,1,0,1,0,1,0,0
179,3.6758436618081,0.1552999860058005,CA,2023-03-01,1,1,1,1,1,1,0,0,0,1,0,0
180,3.65741002252681,0.139117177069046,CA,2023-03-02,1,1,1,1,0,1,0,0,0,0,0,0
181,4.77102538056131,0.153010087527382,CA,2023-03-03,1,1,1,1,1,0,0,0,0,0,0,0
182,4.86257839564313,0.132714368796042,CA,2023-03-04,0,0,1,1,0,1,0,1,0,0,0,0
183,4.11647011129024,0.061446124418655,CA,2023-03-05,0,1,0,1,1,1,0,0,0,0,1,1
184,3.50178935992672,0.163355446753024,CA,2023-03-06,0,1,0,1,1,1,0,1,0,1,1,1
185,3.86873182878423,0.1758063353974665,CA,2023-03-07,1,1,0,1,1,1,0,1,0,1,1,0
186,8.80034846331548,0.178888988993626,CA,2023-03-08,1,0,0,0,0,1,0,0,0,0,0,0
187,4.91123085148364,0.0923201826718555,CA,2023-03-09,0,1,0,1,1,1,0,0,0,0,1,0
188,3.54532350778097,0.127528373103557,CA,2023-03-10,1,1,1,1,0,1,0,1,0,1,0,0
189,3.20912694500258,0.08807411793262,CA,2023-03-11,1,1,0,1,1,1,0,1,0,0,0,1
190,3.95626755773679,0.1472503497375255,CA,2023-03-12,1,1,1,1,0,0,0,0,0,1,0,0
191,4.78544792520937,0.166487260896573,CA,2023-03-13,1,0,0,1,0,1,0,0,0,1,0,0
