"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23H_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23H_95_CI","X23G_95_CI","other_95_CI"
"119",NA,NA,"AR",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",3.32042535975074,1.21256479609257,"AR",2023-11-06,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0
"122",0.88961896086846,1.28880673655727,"AR",2023-11-07,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"123",0.13095333317197,0.178666667565099,"AR",2023-11-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"124",NA,NA,"AR",2023-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,"AR",2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",5.08022209169295,0.756693286053398,"AZ",2023-10-01,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1
"128",7.33487504745572,0.829951946486353,"AZ",2023-10-02,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"129",1.43783201932589,0.670947510334182,"AZ",2023-10-03,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1
"130",2.18405307999414,0.888628799291198,"AZ",2023-10-04,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1
"131",1.76333222895178,0.71047449441551,"AZ",2023-10-05,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
"132",1.76561864867612,0.785229727905247,"AZ",2023-10-06,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
"133",1.35931943106221,1.06167520027857,"AZ",2023-10-07,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1
"134",2.46884383703827,0.713897661803783,"AZ",2023-10-08,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
"135",3.9671381933251,0.720757761465961,"AZ",2023-10-09,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1
"136",3.22834257248288,0.735895560190539,"AZ",2023-10-10,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0
"137",1.31704063724242,0.70171403001198,"AZ",2023-10-11,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1
"138",0.506349888756844,0.715022372855073,"AZ",2023-10-12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"139",1.18369259920679,1.13195998147302,"AZ",2023-10-13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1
"140",1.18272025125491,0.700826066457895,"AZ",2023-10-14,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"141",1.89911463055913,0.810064296742524,"AZ",2023-10-15,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1
"142",4.43381056233474,0.715342587457474,"AZ",2023-10-16,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1
"143",2.2454644132414,0.776609698706829,"AZ",2023-10-17,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1
"144",2.53426158437819,0.825645730688874,"AZ",2023-10-18,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1
"145",2.16089577021797,0.764800989975596,"AZ",2023-10-19,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1
"146",1.49631023642489,0.631340229405405,"AZ",2023-10-20,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0
"147",2.66702665976851,0.681742317545974,"AZ",2023-10-21,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1
"148",3.17616050841416,0.695441675322672,"AZ",2023-10-22,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
"149",4.27666035070617,0.760877928225837,"AZ",2023-10-23,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
"150",3.52018161149058,0.635690686135596,"AZ",2023-10-24,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
"151",1.75276786707598,0.689629499940481,"AZ",2023-10-25,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
"152",0.373319627249822,0.543150444797892,"AZ",2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"153",0.946055949911803,0.629594281054975,"AZ",2023-10-27,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"154",2.12502137838467,0.948913770981718,"AZ",2023-10-28,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
"155",3.922773041706,0.721713671013138,"AZ",2023-10-29,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"156",5.54981792878256,0.765066625858929,"AZ",2023-10-30,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1
"157",2.51617248070871,0.735695392282872,"AZ",2023-10-31,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
"158",1.35334520416395,0.667849246587228,"AZ",2023-11-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
"159",3.65580394340258,0.76117413003185,"AZ",2023-11-02,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1
"160",2.12892306171822,0.828731602731683,"AZ",2023-11-03,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
"161",0.747824369422841,0.755632779610904,"AZ",2023-11-04,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1
"162",3.64180421668917,0.773790681972597,"AZ",2023-11-05,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
"163",7.88849202349341,0.749926237386574,"AZ",2023-11-06,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"164",3.82656220138306,0.704078042245365,"AZ",2023-11-07,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
"165",3.31379890607674,0.787713643233223,"AZ",2023-11-08,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1
"166",2.29678162803933,0.800616133132271,"AZ",2023-11-09,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0
"167",1.08348895928721,0.717370696223504,"AZ",2023-11-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"168",1.37112587341315,0.718713679123082,"AZ",2023-11-11,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1
"169",1.22777435907117,0.807428305088805,"CA",2023-10-01,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1
"170",4.20310789367858,0.69575456277296,"CA",2023-10-02,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0
"171",3.67858532442273,0.706889829306209,"CA",2023-10-03,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
"172",6.25399485403399,0.708282955586498,"CA",2023-10-04,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
"173",4.07328816351861,0.835851033335317,"CA",2023-10-05,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"174",2.44263317259142,0.820941097858403,"CA",2023-10-06,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"175",2.12382659006959,0.547352644222625,"CA",2023-10-07,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1
"176",0.851421222297482,0.622021921241661,"CA",2023-10-08,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1
"177",2.36715610147855,0.693845589848133,"CA",2023-10-09,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
