"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23H_50_CI","X23I_50_CI","X24A_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23H_95_CI","X23I_95_CI","X24A_95_CI","other_95_CI"
"95",NA,NA,"AR",2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1.67507237270677,1.16624895764698,"AR",2023-12-07,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1
"97",NA,NA,"AR",2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"AR",2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",0.470011162161741,0.652326942983625,"AR",2023-12-10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"100",NA,NA,"AR",2023-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",1.10510297512147,1.03010693950547,"AR",2023-12-12,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1
"102",0.827297100760867,1.15479812201219,"AR",2023-12-13,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"103",2.04498688372691,0.750976037154711,"AR",2023-12-14,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0
"104",0.682824225201035,0.880407021516236,"AR",2023-12-15,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
"105",NA,NA,"AR",2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1.50570136062194,0.891896219851965,"AR",2023-12-18,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0
"108",0.751166117758153,0.622207958825153,"AR",2023-12-19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"109",NA,NA,"AR",2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1.42793035397377,0.718456931473339,"AR",2023-12-21,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
"111",0.909649905866299,0.593737632151069,"AR",2023-12-22,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1
"112",NA,NA,"AR",2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,"AR",2023-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,"AR",2023-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",1.06826937387218,0.976850483915999,"AR",2023-12-27,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"117",1.18369910594871,0.622695276235255,"AR",2023-12-28,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1
"118",NA,NA,"AR",2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"AR",2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",0.670589750510094,0.795632964943147,"AR",2024-01-02,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
"123",2.17287539771459,0.792890032951467,"AR",2024-01-03,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0
"124",2.47242169698898,0.918915178828848,"AR",2024-01-04,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1
"125",0.675892485650806,0.787678076491684,"AR",2024-01-05,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"126",NA,NA,"AR",2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",4.30812638973198,0.94635897010559,"AZ",2023-11-26,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
"128",2.18028733991596,0.648321316679622,"AZ",2023-11-27,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0
"129",5.54879782545359,0.717617399603986,"AZ",2023-11-28,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
"130",2.45993403316768,0.670664483668691,"AZ",2023-11-29,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1
"131",0.75890075563297,0.68962827112432,"AZ",2023-11-30,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"132",1.0830199989067,0.652744632072422,"AZ",2023-12-01,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
"133",1.64186785601713,0.684563191014046,"AZ",2023-12-02,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0
"134",2.6907697013561,0.66264721298745,"AZ",2023-12-03,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0
"135",3.81606532909952,0.76233986617566,"AZ",2023-12-04,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
"136",4.61731322930765,0.607726240179114,"AZ",2023-12-05,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"137",2.69638770888984,0.815392079693523,"AZ",2023-12-06,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1
"138",1.879521316347,0.606201929869985,"AZ",2023-12-07,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1
"139",0.596480288907469,0.529521240169177,"AZ",2023-12-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"140",0.952818352907078,0.27648017922079,"AZ",2023-12-09,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"141",1.04812464238626,0.902217309406882,"AZ",2023-12-10,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1
"142",1.83309873581079,0.801351307321511,"AZ",2023-12-11,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1
"143",3.47313090166933,0.949088912336059,"AZ",2023-12-12,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
"144",2.31972144273323,0.82066230482915,"AZ",2023-12-13,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
"145",1.71653722206545,0.687789928192346,"AZ",2023-12-14,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1
"146",0.988406862416032,0.715638015670892,"AZ",2023-12-15,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1
"147",3.80267871491186,0.91828576273142,"AZ",2023-12-16,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0
"148",1.7436906774703,0.476248745656928,"AZ",2023-12-17,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0
"149",7.51831390452083,0.860779941219414,"AZ",2023-12-18,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
"150",9.34846404267249,0.976199662772229,"AZ",2023-12-19,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
"151",2.5155831090056,0.832025711406675,"AZ",2023-12-20,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0
"152",1.64617957429388,0.780888247174712,"AZ",2023-12-21,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1
"153",1.5504150241065,0.866411234860695,"AZ",2023-12-22,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1
"154",0.732289144277813,0.595159752571197,"AZ",2023-12-23,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
"155",5.41761058058682,0.905191609394938,"AZ",2023-12-24,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1
"156",5.14195785221248,1.04559050913455,"AZ",2023-12-25,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1
"157",16.5776331950764,0.95732278483414,"AZ",2023-12-26,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
"158",7.13652728039708,0.949766535073825,"AZ",2023-12-27,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1
"159",2.39609528395008,0.779271791026672,"AZ",2023-12-28,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1
"160",1.42467386448751,0.895228891963049,"AZ",2023-12-29,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1
"161",1.50918373978035,1.05952684521621,"AZ",2023-12-30,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1
"162",3.6720357841918,0.919955935572016,"AZ",2023-12-31,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0
"163",15.1664773762269,0.933946760072331,"AZ",2024-01-01,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"164",22.9932749320525,0.922612082936223,"AZ",2024-01-02,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0
"165",3.35524476890387,0.892711874314557,"AZ",2024-01-03,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1
"166",2.44959530357918,1.06591628486519,"AZ",2024-01-04,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1
"167",1.14365707345312,0.765505211079179,"AZ",2024-01-05,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
"168",5.23292547930818,0.918282435759324,"AZ",2024-01-06,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1
"169",1.17291499292465,0.518416950122443,"CA",2023-11-26,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
"170",3.01835394364638,0.75063524299041,"CA",2023-11-27,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0
