...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI
210,82.7971473306637,0.3930208090628175,CA,2022-11-12,1,0,0,0,0,0,0,0,0,0,0,0
211,0.15844257753696,0.00962902873156425,CO,2022-10-02,1,1,1,1,1,1,1,1,1,1,1,1
212,0.378808878343529,0.071722671413463,CO,2022-10-03,1,1,1,1,1,1,1,1,1,1,1,1
213,0.23124464349074,0.00994692743055835,CO,2022-10-04,1,1,1,1,1,1,1,0,0,1,1,1
214,0.34271918745326,0.0992829998118085,CO,2022-10-05,1,1,1,1,1,1,1,0,0,1,1,1
215,0.389494045472929,0.1104254267289665,CO,2022-10-06,1,1,1,1,1,1,1,0,0,1,1,1
216,1.81969787534523,0.293003885850916,CO,2022-10-07,1,1,0,0,0,1,1,0,0,0,0,1
217,0.642928678026317,0.210054670545847,CO,2022-10-08,1,1,1,1,1,1,1,0,0,1,1,1
218,1.73189045699271,0.562383102711865,CO,2022-10-09,1,0,0,1,0,1,1,0,0,1,0,1
219,3.50125935194905,0.258581823128713,CO,2022-10-10,1,0,0,1,0,1,1,1,1,0,0,0
220,3.88999311166025,0.2758982130888485,CO,2022-10-11,1,1,0,0,0,1,1,0,0,0,0,1
221,0.88092369373814,0.1359247397385885,CO,2022-10-12,1,1,1,0,1,1,1,0,1,0,1,1
222,1.92412366957797,0.2869455686162055,CO,2022-10-13,1,1,0,1,0,1,1,0,0,1,0,1
223,1.56227053609781,0.261545161308334,CO,2022-10-14,0,1,0,1,1,1,0,0,0,1,1,1
224,1.85444818144865,0.34649553672153,CO,2022-10-15,1,1,0,1,0,1,1,0,0,1,0,1
225,0.899795846765271,0.157349668480754,CO,2022-10-16,0,1,1,1,1,1,0,1,0,1,1,1
226,0.786448712097021,0.014520945346471,CO,2022-10-17,1,1,1,1,1,1,1,0,0,1,1,0
227,2.05561782056387,0.2159823930438005,CO,2022-10-18,1,1,0,1,0,1,1,0,0,1,0,1
228,2.23831264083511,0.2363541609398435,CO,2022-10-19,1,1,0,1,0,1,1,0,0,1,0,1
229,2.19256144929719,0.326924273009632,CO,2022-10-20,1,1,0,0,1,1,1,1,0,0,0,1
230,1.52371170040964,0.424936326343396,CO,2022-10-21,1,1,0,0,0,1,1,0,0,0,0,1
231,0.782549325229701,0.280293878753891,CO,2022-10-22,1,1,1,1,0,1,1,1,0,1,0,1
232,0.026062824533496,0.0195179151209723,CO,2022-10-23,1,1,1,1,1,1,1,1,0,0,1,1
233,2.50236391299991,0.267098689254624,CO,2022-10-24,1,1,0,0,0,0,1,0,0,0,1,1
234,4.02206275140796,0.296264218926626,CO,2022-10-25,1,1,0,0,0,1,1,0,0,0,0,1
235,3.15644795342805,0.230819612485441,CO,2022-10-26,1,0,0,1,0,1,1,0,0,1,0,1
236,3.50847758047384,0.3482048122665345,CO,2022-10-27,0,0,0,1,0,1,0,0,0,0,0,1
237,1.46751609077059,0.2728723978185265,CO,2022-10-28,1,1,0,0,1,1,1,0,1,0,0,0
238,2.35123406635426,0.3835255976035555,CO,2022-10-29,1,1,0,1,0,1,1,1,0,1,0,1
239,0.970019708675829,0.204889931542331,CO,2022-10-30,1,1,1,1,0,1,1,0,0,1,0,1
240,5.20206248149412,0.430704079157318,CO,2022-10-31,1,1,0,1,0,1,1,0,0,1,0,1
241,6.08278790412667,0.3591528449537695,CO,2022-11-01,1,1,0,0,0,1,1,1,0,0,0,0
242,6.51704972171601,0.426775176446102,CO,2022-11-02,1,1,0,0,0,1,1,0,0,0,0,1
243,2.39401225109296,0.2584483137609695,CO,2022-11-03,1,0,1,0,0,1,1,0,0,1,0,1
244,4.78221552984216,0.333439555028914,CO,2022-11-04,1,1,0,1,0,1,1,1,0,0,0,0
245,2.11510683585144,0.380308810486634,CO,2022-11-05,1,0,0,0,1,0,1,0,0,0,1,1
246,8.06075860704737,0.4342838426430295,CO,2022-11-06,1,1,0,0,0,1,1,0,0,0,0,1
247,10.3082585193519,0.3431125880421195,CO,2022-11-07,1,0,0,1,0,1,1,0,0,0,0,1
248,9.90867276412558,0.3631615289532015,CO,2022-11-08,1,1,0,1,0,1,1,0,0,0,0,1
249,7.02182488435284,0.3162454316089035,CO,2022-11-09,1,0,0,1,0,1,1,0,0,1,0,1
250,3.69797091711628,0.320430622513713,CO,2022-11-10,1,1,0,1,0,0,1,0,0,0,0,0
251,2.43989971544538,0.364919003530168,CO,2022-11-11,1,1,0,0,0,1,1,0,0,0,0,1
252,6.54842884331108,0.4075685144035805,CO,2022-11-12,1,1,0,1,0,1,1,0,0,0,0,1
253,0.906110284032324,0.1617843930403555,CT,2022-10-02,1,1,1,1,0,1,1,0,0,1,0,1
254,3.7568419957962,0.1919775553209995,CT,2022-10-03,1,0,1,1,0,0,1,0,0,1,0,0
255,2.10765606948378,0.095127745087548,CT,2022-10-04,1,0,0,0,1,1,1,0,0,1,1,1
