...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,other_95_CI
136,0.77690867379001,0.161300517724049,AZ,2023-05-23,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,1.93574062427486,0.288122495747871,AZ,2023-05-24,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
138,0.265104913235924,0.0311482131634933,AZ,2023-05-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,1.2105087597408,0.2975717379184035,AZ,2023-05-26,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0
140,0.290983327533484,0.0333001959694906,AZ,2023-05-27,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
141,3.02730957562717,0.3118024031014675,AZ,2023-05-28,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
142,1.63013945810928,0.3007330903089595,AZ,2023-05-29,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1
143,2.58953509181478,0.3873620523592175,AZ,2023-05-30,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
144,1.28624173997151,0.205761805608157,AZ,2023-05-31,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1
145,2.60458331606108,0.512621621621415,AZ,2023-06-01,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
146,0.860240792132638,0.2872921256577295,AZ,2023-06-02,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
147,0.828075636758154,0.219017183462595,AZ,2023-06-03,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
148,0.69800672178043,0.1803931137856905,AZ,2023-06-04,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
149,0.622012035258208,0.2287794322807145,AZ,2023-06-05,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
150,1.77150617217985,0.4321717782161895,AZ,2023-06-06,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
151,1.10440032656118,0.27970153224884,AZ,2023-06-07,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
152,2.2174411130133,0.3934931299158735,AZ,2023-06-08,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1
153,1.82186934460234,0.428490362735925,AZ,2023-06-09,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1
154,1.25235821905882,0.48272799544125,AZ,2023-06-10,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1
155,0.59679598155708,0.2058196937000465,AZ,2023-06-11,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
156,2.46309464772992,0.3882671195647865,AZ,2023-06-12,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
157,3.70794078151791,0.511757340400245,AZ,2023-06-13,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
158,2.76126362217085,0.3060479807340435,AZ,2023-06-14,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0
159,1.62849976569203,0.74189085939169,AZ,2023-06-15,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1
160,0.578405503471635,0.227404131820138,AZ,2023-06-16,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
161,0.709649548365852,0.361418122913658,AZ,2023-06-17,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
162,9.2626221514752,0.54711844007619,AZ,2023-06-18,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
163,7.9722710392799,0.4590864105017925,AZ,2023-06-19,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
164,5.79996009950587,0.55982870250973,AZ,2023-06-20,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1
165,3.02341861225256,0.3880846642524405,AZ,2023-06-21,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
166,3.11058810852427,0.4435720303481965,AZ,2023-06-22,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
167,0.11324650257205,0.080488206577926,AZ,2023-06-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,1.83849205868195,0.496345884058011,AZ,2023-06-24,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1
169,5.93361081599018,0.60433835192938,CA,2023-05-14,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0
170,6.88285549645658,0.392267599290778,CA,2023-05-15,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0
171,1.33609241074575,0.2325996839529135,CA,2023-05-16,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
172,2.35872875974976,0.326857427881242,CA,2023-05-17,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0
173,3.4286221454155,0.349290345124943,CA,2023-05-18,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
174,1.1199336882034,0.2225520570105715,CA,2023-05-19,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
175,0.693325364563567,0.053196818616654,CA,2023-05-20,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
176,1.26671942467048,0.4886755066647525,CA,2023-05-21,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1
177,2.16151685219125,0.2961922830568905,CA,2023-05-22,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
178,1.65731021862686,0.2860615912900055,CA,2023-05-23,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
